<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
A..I..S..D.,20190227,4840.00,4840.00,4650.00,4713.00,1415022572,300269,110,D,4725.00,4650.00
A..I..S..D.,20190226,4800.00,4890.00,4589.00,4725.00,2612507656,552962,167,D,4747.00,4750.00
A..I..S..D.,20190225,4640.00,4825.00,4503.00,4747.00,6835834162,1439962,307,D,4596.00,4825.00
A..I..S..D.,20190224,4500.00,4700.00,4500.00,4596.00,1478168260,321651,91,D,4621.00,4628.00
A..I..S..D.,20190223,4900.00,4900.00,4563.00,4621.00,3803439586,823038,230,D,4803.00,4563.00
A..I..S..D.,20190220,4930.00,4930.00,4700.00,4803.00,2389126058,497436,162,D,4726.00,4794.00
A..I..S..D.,20190219,4650.00,4930.00,4600.00,4726.00,4895730442,1035863,260,D,4754.00,4841.00
A..I..S..D.,20190218,4929.00,4931.00,4570.00,4754.00,1817683593,382321,167,D,4785.00,4570.00
A..I..S..D.,20190217,4780.00,5000.00,4750.00,4785.00,3015911618,630307,170,D,5000.00,4780.00
A..I..S..D.,20190216,5100.00,5174.00,4966.00,5000.00,4450088415,890078,228,D,5227.00,4966.00
A..I..S..D.,20190213,5242.00,5350.00,5015.00,5227.00,9023981582,1726560,411,D,5099.00,5098.00
A..I..S..D.,20190212,5040.00,5240.00,4952.00,5099.00,6496955055,1274083,358,D,4999.00,5240.00
A..I..S..D.,20190210,4927.00,5090.00,4905.00,4999.00,4047185980,809527,225,D,4897.00,5047.00
A..I..S..D.,20190206,4797.00,4904.00,4653.00,4897.00,8988717435,1835676,181,D,4671.00,4904.00
A..I..S..D.,20190205,4549.00,4790.00,4548.00,4671.00,1624957446,347858,133,D,4787.00,4690.00
A..I..S..D.,20190204,4880.00,4880.00,4669.00,4787.00,2454804816,512801,184,D,4772.00,4754.00
A..I..S..D.,20190203,4700.00,4855.00,4491.00,4772.00,2325857032,487429,242,D,4693.00,4790.00
A..I..S..D.,20190202,4692.00,4708.00,4521.00,4693.00,8248244286,1757436,407,D,4484.00,4699.00
A..I..S..D.,20190130,4281.00,4517.00,4281.00,4484.00,3447479610,768849,137,D,4302.00,4517.00
A..I..S..D.,20190129,4265.00,4380.00,4265.00,4302.00,752265376,174846,76,D,4280.00,4280.00
A..I..S..D.,20190128,4444.00,4444.00,4236.00,4280.00,2757880684,644347,142,D,4370.00,4260.00
A..I..S..D.,20190127,4544.00,4544.00,4313.00,4370.00,1889700866,432452,144,D,4454.00,4313.00
A..I..S..D.,20190126,4550.00,4694.00,4401.00,4454.00,1225698237,275198,109,D,4517.00,4401.00
A..I..S..D.,20190123,4485.00,4565.00,4305.00,4517.00,1948846250,431400,228,D,4348.00,4411.00
A..I..S..D.,20190122,4281.00,4506.00,4281.00,4348.00,10339431584,2377825,324,D,4299.00,4400.00
A..I..S..D.,20190121,4510.00,4510.00,4278.00,4299.00,1486312670,345719,117,D,4503.00,4281.00
A..I..S..D.,20190120,4738.00,4738.00,4412.00,4503.00,1037518549,230410,179,D,4592.00,4501.00
A..I..S..D.,20190119,4550.00,4700.00,4509.00,4592.00,1748181840,380703,135,D,4612.00,4599.00
