<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Abadan.Petr.,20190227,4180.00,4250.00,4141.00,4226.00,7127003394,1686391,341,D,4181.00,4250.00
Abadan.Petr.,20190226,4100.00,4250.00,4070.00,4181.00,6919099688,1654864,417,D,4149.00,4160.00
Abadan.Petr.,20190225,4241.00,4241.00,4110.00,4149.00,6697449698,1614284,354,D,4183.00,4147.00
Abadan.Petr.,20190224,4324.00,4324.00,4140.00,4183.00,6096377942,1457381,436,D,4302.00,4195.00
Abadan.Petr.,20190223,4250.00,4337.00,4220.00,4302.00,13378119929,3109863,671,D,4131.00,4220.00
Abadan.Petr.,20190220,4060.00,4233.00,4000.00,4131.00,7839709977,1897875,504,D,4083.00,4220.00
Abadan.Petr.,20190219,4218.00,4219.00,4000.00,4083.00,5836823912,1429437,359,D,4170.00,4136.00
Abadan.Petr.,20190218,4150.00,4259.00,4077.00,4170.00,6646617536,1593993,336,D,4169.00,4149.00
Abadan.Petr.,20190217,4210.00,4269.00,4126.00,4169.00,4793216532,1149672,376,D,4210.00,4138.00
Abadan.Petr.,20190216,4119.00,4288.00,4119.00,4210.00,8396311668,1994220,458,D,4089.00,4220.00
Abadan.Petr.,20190213,3950.00,4140.00,3950.00,4089.00,8678808477,2122472,541,D,4039.00,4119.00
Abadan.Petr.,20190212,4165.00,4165.00,4028.00,4039.00,19690693413,4874539,872,D,4240.00,4028.00
Abadan.Petr.,20190210,4399.00,4399.00,4165.00,4240.00,13002704870,3066707,763,D,4298.00,4184.00
Abadan.Petr.,20190206,4302.00,4302.00,4203.00,4298.00,72916190796,16966572,2256,D,4098.00,4290.00
Abadan.Petr.,20190205,3968.00,4108.00,3960.00,4098.00,37759267623,9214223,1095,D,3913.00,4108.00
Abadan.Petr.,20190204,3888.00,3987.00,3851.00,3913.00,6604542803,1687636,373,D,3805.00,3940.00
Abadan.Petr.,20190203,3895.00,3940.00,3715.00,3805.00,4950580139,1301139,292,D,3896.00,3850.00
Abadan.Petr.,20190202,3887.00,3969.00,3805.00,3896.00,6320097158,1622390,323,D,3832.00,3860.00
Abadan.Petr.,20190130,3899.00,3954.00,3790.00,3832.00,7808625570,2037665,370,D,3911.00,3848.00
Abadan.Petr.,20190129,3916.00,4044.00,3850.00,3911.00,5512868975,1409405,316,D,3950.00,3855.00
Abadan.Petr.,20190128,4000.00,4050.00,3921.00,3950.00,3401072082,860967,275,D,4019.00,3925.00
Abadan.Petr.,20190127,4166.00,4166.00,3970.00,4019.00,9113986424,2267645,487,D,4115.00,3998.00
