<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Abouraihan.P.,20190227,8539.00,8539.00,8200.00,8391.00,690190096,81698,53,D,8328.00,8200.00
Abouraihan.P.,20190226,8330.00,8570.00,8220.00,8328.00,982165827,117348,95,D,8199.00,8429.00
Abouraihan.P.,20190225,7830.00,8320.00,7830.00,8199.00,3541709977,431979,118,D,7924.00,8150.00
Abouraihan.P.,20190224,8000.00,8300.00,7611.00,7924.00,502176959,64286,49,D,8004.00,7820.00
Abouraihan.P.,20190223,7651.00,8044.00,7651.00,8004.00,5142142541,642423,175,D,7661.00,8044.00
Abouraihan.P.,20190220,7687.00,7687.00,7500.00,7661.00,1831939415,239129,65,D,7322.00,7610.00
Abouraihan.P.,20190219,7200.00,7334.00,7200.00,7322.00,1703817890,232695,64,D,6985.00,7334.00
Abouraihan.P.,20190218,7000.00,7250.00,6750.00,6985.00,331191304,47916,20,D,7017.00,7120.00
Abouraihan.P.,20190217,7395.00,7395.00,6963.00,7017.00,1028560934,146845,41,D,7230.00,6965.00
Abouraihan.P.,20190216,7250.00,7300.00,7000.00,7230.00,346763458,49305,41,D,7321.00,7300.00
Abouraihan.P.,20190213,7325.00,7325.00,7230.00,7321.00,163659155,22564,19,D,7333.00,7280.00
Abouraihan.P.,20190212,7450.00,7587.00,7270.00,7333.00,396727821,53998,45,D,7325.00,7300.00
Abouraihan.P.,20190210,7608.00,7608.00,7206.00,7325.00,675509141,92175,50,D,7321.00,7261.00
Abouraihan.P.,20190206,7191.00,7610.00,7191.00,7321.00,982435281,134155,62,D,7309.00,7400.00
Abouraihan.P.,20190205,7500.00,7700.00,7152.00,7309.00,666496267,92312,74,D,7440.00,7270.00
Abouraihan.P.,20190204,7351.00,7800.00,7283.00,7440.00,1366275517,183630,48,D,7559.00,7321.00
Abouraihan.P.,20190203,7370.00,7835.00,7350.00,7559.00,456258007,61794,28,D,7675.00,7385.00
Abouraihan.P.,20190202,7965.00,7965.00,7350.00,7675.00,497708373,65149,37,D,7701.00,7351.00
Abouraihan.P.,20190130,7998.00,7998.00,7640.00,7701.00,1713153359,222455,109,D,8042.00,7671.00
Abouraihan.P.,20190129,8268.00,8290.00,7748.00,8042.00,2519769819,313334,71,D,8064.00,7760.00
Abouraihan.P.,20190128,8087.00,8300.00,7856.00,8064.00,4757091970,589944,119,D,8269.00,8010.00
Abouraihan.P.,20190127,8360.00,8387.00,8000.00,8269.00,2082704455,251877,122,D,7988.00,8087.00
Abouraihan.P.,20190126,7793.00,8030.00,7631.00,7988.00,7397827306,926156,139,D,7648.00,8026.00
Abouraihan.P.,20190123,7710.00,7723.00,7359.00,7648.00,3117133977,407576,131,D,7356.00,7626.00
Abouraihan.P.,20190122,7579.00,7585.00,7300.00,7356.00,1656572073,225205,98,D,7510.00,7350.00
Abouraihan.P.,20190121,7510.00,7585.00,7203.00,7510.00,4241854826,564855,152,D,7224.00,7399.00
Abouraihan.P.,20190120,7020.00,7400.00,7020.00,7224.00,3825860118,529600,163,D,7218.00,7382.00
Abouraihan.P.,20190119,7230.00,7329.00,7187.00,7218.00,1007126060,139498,93,D,7204.00,7187.00
Abouraihan.P.,20190116,7200.00,7439.00,7000.00,7204.00,1007341213,139706,97,D,7150.00,7200.00
Abouraihan.P.,20190115,7083.00,7157.00,7081.00,7150.00,15204085432,2126476,246,D,6817.00,7157.00
Abouraihan.P.,20190114,6792.00,7089.00,6660.00,6817.00,28532668487,4185526,268,D,6793.00,7068.00
Abouraihan.P.,20190113,6760.00,6850.00,6760.00,6793.00,603250880,88420,50,D,6754.00,6847.00
Abouraihan.P.,20190112,6839.00,6850.00,6709.00,6754.00,612015215,90168,60,D,6708.00,6713.00
Abouraihan.P.,20190109,6800.00,6800.00,6700.00,6708.00,175297280,25983,24,D,6700.00,6789.00
Abouraihan.P.,20190108,6613.00,6800.00,6613.00,6700.00,524704302,78191,56,D,6689.00,6800.00
Abouraihan.P.,20190107,6611.00,6779.00,6610.00,6689.00,468485800,69469,71,D,6645.00,6779.00
Abouraihan.P.,20190106,6600.00,6700.00,6600.00,6645.00,197372912,29634,26,D,6641.00,6620.00
Abouraihan.P.,20190105,6650.00,6751.00,6571.00,6641.00,215298511,32546,39,D,6648.00,6613.00
Abouraihan.P.,20190102,6660.00,6785.00,6563.00,6648.00,384234717,57439,41,D,6623.00,6643.00
Abouraihan.P.,20190101,6840.00,6840.00,6601.00,6623.00,1192001908,179983,116,D,6714.00,6750.00
Abouraihan.P.,20181231,6900.00,6900.00,6690.00,6714.00,551088320,82130,29,D,6718.00,6700.00
Abouraihan.P.,20181230,6780.00,6789.00,6713.00,6718.00,1062300954,158137,71,D,6704.00,6789.00
Abouraihan.P.,20181229,6535.00,6840.00,6534.00,6704.00,730954236,109972,84,D,6843.00,6708.00
Abouraihan.P.,20181226,6940.00,6940.00,6776.00,6843.00,602037400,88060,60,D,6851.00,6779.00
Abouraihan.P.,20181225,6960.00,6960.00,6532.00,6851.00,1404206758,204956,87,D,6874.00,6787.00
Abouraihan.P.,20181224,6780.00,6995.00,6780.00,6874.00,926286946,134258,104,D,6715.00,6940.00
Abouraihan.P.,20181223,6570.00,6900.00,6570.00,6715.00,583191491,86686,68,D,6699.00,6720.00
Abouraihan.P.,20181222,6628.00,6890.00,6561.00,6699.00,2340154526,349316,100,D,6777.00,6700.00
Abouraihan.P.,20181219,6920.00,7000.00,6617.00,6777.00,626604353,94148,71,D,6964.00,6700.00
Abouraihan.P.,20181218,6935.00,7279.00,6915.00,6964.00,956891010,138165,108,D,7278.00,6915.00
Abouraihan.P.,20181217,7750.00,7750.00,7244.00,7278.00,2979295957,409333,203,D,7625.00,7244.00
Abouraihan.P.,20181216,7635.00,7635.00,7400.00,7625.00,9585759554,1257226,347,D,7272.00,7634.00
Abouraihan.P.,20181215,6970.00,7330.00,6632.00,7272.00,14784938308,2033235,387,D,6981.00,7330.00
Abouraihan.P.,20181212,6661.00,6995.00,6661.00,6981.00,118672697,17601,20,D,7011.00,6991.00
Abouraihan.P.,20181211,6954.00,7020.00,6796.00,7011.00,211612139,30835,27,D,7048.00,6850.00
Abouraihan.P.,20181210,7150.00,7199.00,6794.00,7048.00,499826811,72130,32,D,7151.00,7080.00
Abouraihan.P.,20181209,7299.00,7299.00,7200.00,7151.00,465629786,64213,37,D,7081.00,7200.00
Abouraihan.P.,20181208,7000.00,7390.00,7000.00,7081.00,95505704,13362,21,D,7075.00,7100.00
Abouraihan.P.,20181205,7019.00,7100.00,6853.00,7075.00,1442093831,203843,44,D,7205.00,7099.00
Abouraihan.P.,20181204,7299.00,7299.00,7019.00,7205.00,553827551,78814,29,D,7388.00,7019.00
Abouraihan.P.,20181203,7200.00,7200.00,7107.00,7388.00,287513890,40370,44,D,7481.00,7107.00
Abouraihan.P.,20181202,7188.00,7300.00,7188.00,7481.00,281820634,38989,24,D,7566.00,7300.00
Abouraihan.P.,20181201,7210.00,7210.00,7210.00,7566.00,66440150,9215,14,D,7589.00,7210.00
Abouraihan.P.,20181128,7856.00,7856.00,7237.00,7589.00,214242263,28694,24,D,7617.00,7237.00
Abouraihan.P.,20181127,7700.00,7700.00,7407.00,7617.00,531102766,71688,35,D,7796.00,7407.00
Abouraihan.P.,20181126,7902.00,7902.00,7450.00,7796.00,567007800,72735,69,D,7526.00,7650.00
Abouraihan.P.,20181113,9898.00,10099.00,9800.00,9966.00,1085241869,108793,73,D,9812.00,9985.00
Abouraihan.P.,20181112,9697.00,9899.00,9500.00,9812.00,730403105,74202,77,D,9755.00,9898.00
Abouraihan.P.,20181111,9373.00,9700.00,9373.00,9755.00,16421455,1711,8,D,9757.00,9600.00
Abouraihan.P.,20181110,10000.00,10000.00,9325.00,9757.00,289807956,30176,24,D,9811.00,9501.00
Abouraihan.P.,20181106,9814.00,9999.00,9600.00,9811.00,119493640,12210,17,D,9814.00,9975.00
Abouraihan.P.,20181105,10023.00,10023.00,9420.00,9814.00,283717250,28551,13,D,9774.00,9610.00
Abouraihan.P.,20181104,10145.00,10145.00,9411.00,9774.00,499133086,50798,21,D,9733.00,9760.00
Abouraihan.P.,20181103,9316.00,10095.00,9316.00,9733.00,86918285,8728,9,D,9714.00,10095.00
Abouraihan.P.,20181031,9600.00,10179.00,9600.00,9714.00,118191200,11974,19,D,9696.00,10000.00
Abouraihan.P.,20181029,9000.00,9829.00,9000.00,9696.00,888066015,90752,31,D,9362.00,9828.00
Abouraihan.P.,20181028,9152.00,9500.00,9152.00,9362.00,675472775,73367,25,D,9633.00,9200.00
Abouraihan.P.,20181027,9414.00,9450.00,9414.00,9633.00,610559127,64820,20,D,9909.00,9414.00
Abouraihan.P.,20181024,10800.00,10800.00,9886.00,9909.00,1210310526,122145,19,D,10406.00,9886.00
Abouraihan.P.,20181023,10938.00,10938.00,10000.00,10406.00,215252325,20839,24,D,10423.00,10010.00
Abouraihan.P.,20181022,10475.00,10475.00,10040.00,10423.00,2712946079,260294,65,D,9978.00,10348.00
Abouraihan.P.,20181021,10025.00,10287.00,9710.00,9978.00,1060418871,106109,51,D,9799.00,10287.00
Abouraihan.P.,20181020,9700.00,9800.00,9700.00,9799.00,1141486988,116486,16,D,9334.00,9800.00
Abouraihan.P.,20181017,9548.00,9747.00,8825.00,9334.00,638706503,68196,52,D,9288.00,9740.00
Abouraihan.P.,20181016,9289.00,9289.00,9200.00,9288.00,7926519091,853419,57,D,8847.00,9289.00
Abouraihan.P.,20181015,8152.00,8995.00,8152.00,8847.00,702286455,78215,30,D,8567.00,8995.00
Abouraihan.P.,20181014,8330.00,8423.00,8330.00,8567.00,440116300,52835,12,D,8768.00,8330.00
Abouraihan.P.,20181013,8996.00,8996.00,8423.00,8768.00,288605060,33820,41,D,8866.00,8423.00
Abouraihan.P.,20181010,8628.00,9200.00,8628.00,8866.00,600046078,68809,58,D,9082.00,9000.00
Abouraihan.P.,20181009,9072.00,9500.00,9071.00,9082.00,2049719291,225681,81,D,9548.00,9071.00
Abouraihan.P.,20181008,9548.00,9548.00,9548.00,9548.00,2184124096,228752,74,D,10050.00,9548.00
Abouraihan.P.,20181007,9982.00,9982.00,9982.00,10050.00,1001294420,100310,16,D,10507.00,9982.00
Abouraihan.P.,20181006,10507.00,10509.00,10507.00,10507.00,1713796263,163109,40,D,11059.00,10507.00
Abouraihan.P.,20181003,10661.00,10661.00,10661.00,11059.00,356685077,33457,24,D,11222.00,10661.00
Abouraihan.P.,20181002,10703.00,10703.00,10703.00,11222.00,95417245,8915,11,D,11266.00,10703.00
Abouraihan.P.,20181001,11784.00,11784.00,11195.00,11266.00,191518575,16645,15,D,11225.00,11195.00
Abouraihan.P.,20180926,11530.00,11530.00,11530.00,11225.00,577653000,50100,11,D,10990.00,11530.00
Abouraihan.P.,20180925,10995.00,10995.00,10900.00,10990.00,3816492293,347284,114,D,10472.00,10995.00
Abouraihan.P.,20180924,10720.00,10720.00,10200.00,10472.00,2381452699,227411,149,D,10213.00,10300.00
Abouraihan.P.,20180923,10190.00,10222.00,10190.00,10213.00,3236173446,316872,102,D,9736.00,10222.00
Abouraihan.P.,20180922,9495.00,9968.00,9021.00,9736.00,5829431641,598772,171,D,9043.00,9601.00
Abouraihan.P.,20180918,9000.00,9390.00,9000.00,9043.00,2002275670,221428,25,D,8943.00,9390.00
Abouraihan.P.,20180917,9000.00,9094.00,8800.00,8943.00,2882571007,322311,143,D,8666.00,9000.00
Abouraihan.P.,20180916,8649.00,8670.00,8600.00,8666.00,3922010456,452581,106,D,8258.00,8670.00
Abouraihan.P.,20180915,8256.00,8258.00,8256.00,8258.00,2484775910,300895,36,D,7865.00,8258.00
Abouraihan.P.,20180912,7663.00,7893.00,7663.00,7865.00,2207734698,280699,86,D,7518.00,7893.00
Abouraihan.P.,20180911,7629.00,7630.00,7578.00,7518.00,319175493,41946,20,D,7465.00,7600.00
Abouraihan.P.,20180910,7650.00,7650.00,7453.00,7465.00,292740261,38936,22,D,7437.00,7550.00
Abouraihan.P.,20180909,7431.00,7669.00,7431.00,7437.00,370908260,49649,23,D,7412.00,7651.00
Abouraihan.P.,20180908,7342.00,7700.00,7342.00,7412.00,220160568,28892,9,D,7342.00,7700.00
Abouraihan.P.,20180905,7070.00,7300.00,7070.00,7342.00,137691642,19040,9,D,7364.00,7300.00
Abouraihan.P.,20180904,7400.00,7400.00,7026.00,7364.00,160180632,22125,16,D,7394.00,7200.00
Abouraihan.P.,20180903,7398.00,7489.00,7200.00,7394.00,151771730,20435,13,D,7387.00,7215.00
Abouraihan.P.,20180902,7932.00,7932.00,7332.00,7387.00,1719021118,232720,59,D,7717.00,7340.00
Abouraihan.P.,20180901,7564.00,7930.00,7563.00,7717.00,3623230266,469513,99,D,7205.00,7879.00
Abouraihan.P.,20180829,7269.00,7269.00,7269.00,7205.00,683504070,94030,9,D,6923.00,7269.00
Abouraihan.P.,20180828,6924.00,6924.00,6600.00,6923.00,920235132,132918,30,D,6595.00,6924.00
Abouraihan.P.,20180827,6434.00,6597.00,6434.00,6595.00,1381397598,209455,27,D,6283.00,6597.00
Abouraihan.P.,20180826,6280.00,6283.00,6168.00,6283.00,922264846,146798,36,D,5984.00,6283.00
Abouraihan.P.,20180825,6189.00,6248.00,6150.00,5984.00,72249570,11630,10,D,5958.00,6248.00
Abouraihan.P.,20180821,6050.00,6060.00,6050.00,5958.00,7089440,1171,3,D,5957.00,6060.00
Abouraihan.P.,20180820,5957.00,6000.00,5957.00,5957.00,10795600,1805,3,D,5957.00,6000.00
Abouraihan.P.,20180819,5853.00,5853.00,5853.00,5957.00,965745,165,1,D,5957.00,5853.00
Abouraihan.P.,20180818,5850.00,6149.00,5850.00,5957.00,26562285,4527,3,D,5961.00,6149.00
Abouraihan.P.,20180815,5800.00,5800.00,5800.00,5961.00,5800000,1000,2,D,5962.00,5800.00
Abouraihan.P.,20180814,5852.00,6195.00,5850.00,5962.00,63275190,10802,6,D,5973.00,6190.00
Abouraihan.P.,20180813,5966.00,5966.00,5850.00,5973.00,299662060,51100,18,D,6059.00,5850.00
Abouraihan.P.,20180812,5922.00,6000.00,5922.00,6059.00,85815365,14460,12,D,6077.00,6000.00
Abouraihan.P.,20180811,6000.00,6255.00,6000.00,6077.00,2667790,438,3,D,6077.00,6255.00
Abouraihan.P.,20180808,5920.00,6000.00,5920.00,6077.00,75767106,12797,15,D,6096.00,6000.00
Abouraihan.P.,20180807,6021.00,6140.00,5885.00,6096.00,111842910,18845,14,D,6128.00,5920.00
Abouraihan.P.,20180806,6417.00,6417.00,6123.00,6128.00,49657262,7820,12,D,6112.00,6123.00
Abouraihan.P.,20180805,6323.00,6323.00,6320.00,6112.00,217924271,34467,21,D,6022.00,6323.00
Abouraihan.P.,20180804,5903.00,6200.00,5903.00,6022.00,303039636,49035,15,D,5905.00,6200.00
Abouraihan.P.,20180801,6002.00,6040.00,6002.00,5905.00,25630278,4256,6,D,5901.00,6040.00
Abouraihan.P.,20180731,5840.00,6442.00,5840.00,5901.00,955353856,161900,39,D,6137.00,6120.00
Abouraihan.P.,20180730,6401.00,6401.00,6390.00,6137.00,98225510,15346,17,D,6097.00,6401.00
Abouraihan.P.,20180729,6277.00,6277.00,6277.00,6097.00,287530539,45807,8,D,5979.00,6277.00
Abouraihan.P.,20180728,6272.00,6272.00,6272.00,5979.00,12362112,1971,4,D,5974.00,6272.00
Abouraihan.P.,20180724,6233.00,6233.00,6233.00,5974.00,90203976,14472,3,D,5937.00,6233.00
Abouraihan.P.,20180723,6164.00,6164.00,6164.00,5937.00,160861908,26097,10,D,5871.00,6164.00
Abouraihan.P.,20180722,6114.00,6114.00,6114.00,5871.00,116166000,19000,5,D,5823.00,6114.00
Abouraihan.P.,20180721,6000.00,6167.00,5785.00,5823.00,676034220,116104,16,D,5878.00,6167.00
Abouraihan.P.,20180718,5800.00,5800.00,5800.00,5878.00,34800000,6000,4,D,5882.00,5800.00
Abouraihan.P.,20180717,5900.00,5900.00,5900.00,5882.00,21481900,3641,5,D,5881.00,5900.00
Abouraihan.P.,20180716,5900.00,5900.00,5811.00,5881.00,68085883,11669,13,D,5886.00,5811.00
Abouraihan.P.,20180715,5900.00,5900.00,5803.00,5886.00,130220119,22336,14,D,5900.00,5811.00
Abouraihan.P.,20180714,6190.00,6190.00,6188.00,5900.00,7085980,1145,3,D,5897.00,6188.00
Abouraihan.P.,20180711,5805.00,5850.00,5804.00,5897.00,167903760,28844,10,D,5922.00,5820.00
Abouraihan.P.,20180710,5860.00,5860.00,5858.00,5922.00,37773590,6448,3,D,5926.00,5858.00
Abouraihan.P.,20180708,5813.00,5900.00,5800.00,5926.00,422457248,71973,12,D,6021.00,5897.00
Abouraihan.P.,20180707,5890.00,5900.00,5890.00,6021.00,4446060,754,2,D,6022.00,5900.00
Abouraihan.P.,20180704,5851.00,5851.00,5850.00,6022.00,146260000,25000,3,D,6069.00,5850.00
Abouraihan.P.,20180703,6375.00,6375.00,5880.00,6069.00,30766832,5122,7,D,6072.00,5950.00
Abouraihan.P.,20180702,5824.00,5871.00,5824.00,6072.00,12532382,2142,3,D,6076.00,5870.00
Abouraihan.P.,20180701,5960.00,6220.00,5952.00,6076.00,24821606,4159,7,D,6080.00,6220.00
Abouraihan.P.,20180627,6350.00,6350.00,5970.00,6080.00,8133850,1342,3,D,6080.00,6300.00
Abouraihan.P.,20180626,6090.00,6115.00,6090.00,6080.00,119169000,19500,4,D,6074.00,6112.00
Abouraihan.P.,20180625,6030.00,6336.00,6100.00,6074.00,188097530,30430,11,D,6035.00,6110.00
Abouraihan.P.,20180624,6223.00,6223.00,6074.00,6035.00,300598281,48610,14,D,5927.00,6074.00
Abouraihan.P.,20180623,6014.00,6209.00,6014.00,5927.00,32037310,5165,6,D,5914.00,6209.00
Abouraihan.P.,20180620,6164.00,6165.00,6164.00,5914.00,101450108,16456,13,D,5872.00,6165.00
Abouraihan.P.,20180619,6050.00,6099.00,6000.00,5872.00,146742424,24114,15,D,5815.00,6099.00
Abouraihan.P.,20180618,5614.00,6000.00,5614.00,5815.00,592300774,102010,8,D,5878.00,5920.00
Abouraihan.P.,20180617,5878.00,5878.00,5878.00,5878.00,1115726692,189814,16,D,5599.00,5878.00
Abouraihan.P.,20180613,5630.00,5632.00,5630.00,5599.00,568977820,101026,13,D,5364.00,5632.00
Abouraihan.P.,20180612,5600.00,5600.00,5500.00,5364.00,112850400,20509,17,D,5334.00,5600.00
Abouraihan.P.,20180611,5500.00,5537.00,5500.00,5334.00,151320273,27389,13,D,5274.00,5537.00
Abouraihan.P.,20180610,5401.00,5531.00,5400.00,5274.00,20183060,3690,8,D,5268.00,5531.00
Abouraihan.P.,20180609,5326.00,5326.00,5326.00,5268.00,5326,1,1,D,5268.00,5326.00
Abouraihan.P.,20180603,5533.00,5533.00,5204.00,5268.00,27841152,5332,3,D,5270.00,5204.00
Abouraihan.P.,20180602,5499.00,5500.00,5499.00,5270.00,40145700,7300,2,D,5254.00,5500.00
Abouraihan.P.,20180530,5275.00,5282.00,5140.00,5254.00,311079580,59610,18,D,5292.00,5200.00
Abouraihan.P.,20180529,5220.00,5449.00,5220.00,5292.00,2068870,388,2,D,5292.00,5449.00
Abouraihan.P.,20180528,5200.00,5347.00,5101.00,5292.00,154321748,29371,14,D,5305.00,5346.00
Abouraihan.P.,20180527,5200.00,5200.00,5190.00,5305.00,150848970,29049,10,D,5343.00,5200.00
Abouraihan.P.,20180526,5599.00,5599.00,5150.00,5343.00,144797762,27092,18,D,5342.00,5153.00
Abouraihan.P.,20180523,5342.00,5342.00,5342.00,5342.00,6509178922,1218491,61,D,5088.00,5342.00
Abouraihan.P.,20180522,5088.00,5088.00,5088.00,5088.00,31087680,6110,3,D,4846.00,5088.00
Abouraihan.P.,20180516,6029.00,6046.00,5870.00,5946.00,1213833060,204140,34,D,5843.00,6046.00
Abouraihan.P.,20180515,5920.00,5924.00,5920.00,5843.00,6515600,1100,2,D,5842.00,5924.00
Abouraihan.P.,20180514,5880.00,5999.00,5880.00,5842.00,447432860,76092,4,D,5767.00,5999.00
Abouraihan.P.,20180513,5603.00,5900.00,5603.00,5767.00,1822780,317,5,D,5767.00,5900.00
Abouraihan.P.,20180512,6020.00,6020.00,5900.00,5767.00,113319042,19173,6,D,5738.00,6020.00
Abouraihan.P.,20180509,5571.00,5998.00,5571.00,5738.00,10279476,1830,2,D,5740.00,5998.00
Abouraihan.P.,20180508,5572.00,6149.00,5571.00,5740.00,274453273,49248,7,D,5864.00,6149.00
Abouraihan.P.,20180505,5604.00,5604.00,5604.00,5864.00,2802000,500,1,D,5865.00,5604.00
Abouraihan.P.,20180430,5700.00,5700.00,5699.00,5865.00,292229623,51277,12,D,5998.00,5699.00
