<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Amin.Pharm.,20190227,3171.00,3171.00,3050.00,3095.00,1010094780,326395,81,D,3109.00,3050.00
Amin.Pharm.,20190226,3110.00,3190.00,3090.00,3109.00,2624788879,844222,109,D,3153.00,3097.00
Amin.Pharm.,20190225,3164.00,3199.00,3100.00,3153.00,3057114237,969543,190,D,3118.00,3150.00
Amin.Pharm.,20190224,3056.00,3168.00,3056.00,3118.00,2047935608,656771,101,D,3172.00,3090.00
Amin.Pharm.,20190223,3200.00,3220.00,3100.00,3172.00,1627817011,513130,111,D,3191.00,3155.00
Amin.Pharm.,20190220,3230.00,3250.00,3172.00,3191.00,778348398,243159,107,D,3162.00,3220.00
Amin.Pharm.,20190219,3110.00,3250.00,3059.00,3162.00,3852612896,1218550,234,D,3128.00,3230.00
Amin.Pharm.,20190218,3000.00,3190.00,3000.00,3128.00,1162262028,371523,90,D,3039.00,3115.00
Amin.Pharm.,20190217,3109.00,3110.00,3000.00,3039.00,952908604,313776,92,D,3077.00,3040.00
Amin.Pharm.,20190216,3100.00,3140.00,3030.00,3077.00,1416918398,460501,123,D,3180.00,3050.00
Amin.Pharm.,20190213,3311.00,3330.00,3129.00,3180.00,3810952749,1198283,272,D,3293.00,3290.00
Amin.Pharm.,20190212,3228.00,3311.00,3228.00,3293.00,3116648844,946304,207,D,3154.00,3311.00
Amin.Pharm.,20190210,3089.00,3174.00,3050.00,3154.00,4870447971,1544278,275,D,3023.00,3174.00
Amin.Pharm.,20190206,3100.00,3100.00,2980.00,3023.00,2318449267,767032,152,D,3038.00,3059.00
Amin.Pharm.,20190205,3110.00,3110.00,2981.00,3038.00,680075447,225244,73,D,3078.00,3010.00
Amin.Pharm.,20190204,3229.00,3229.00,3040.00,3078.00,864685206,281778,82,D,3128.00,3070.00
Amin.Pharm.,20190203,3131.00,3180.00,3060.00,3128.00,2811893136,898834,163,D,3085.00,3072.00
Amin.Pharm.,20190202,3051.00,3150.00,3002.00,3085.00,1061146314,343959,127,D,3030.00,3055.00
Amin.Pharm.,20190130,3134.00,3140.00,2991.00,3030.00,2715153241,895956,219,D,3050.00,3000.00
Amin.Pharm.,20190129,3080.00,3160.00,3013.00,3050.00,3866180942,1267671,233,D,3171.00,3100.00
Amin.Pharm.,20190128,3137.00,3210.00,3065.00,3171.00,3429888743,1081644,147,D,3120.00,3148.00
Amin.Pharm.,20190127,3080.00,3180.00,3080.00,3120.00,1551425696,497284,155,D,3239.00,3113.00
