<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
BMLT-O-980222,20190227,300.00,300.00,280.00,280.00,426000000,1520,17,D,284.00,280.00
BMLT-O-980222,20190226,300.00,300.00,269.00,284.00,56900000,200,2,D,227.00,269.00
BMLT-O-980222,20190225,200.00,260.00,200.00,227.00,186000000,820,12,D,185.00,200.00
BMLT-O-980222,20190224,145.00,280.00,145.00,185.00,411500000,2225,23,D,145.00,200.00
BMLT-O-980222,20190223,144.00,145.00,144.00,145.00,43400000,300,6,D,123.00,145.00
BMLT-O-980222,20190220,110.00,130.00,110.00,123.00,74000000,600,7,D,143.00,130.00
BMLT-O-980222,20190219,150.00,150.00,130.00,143.00,43000000,300,3,D,130.00,150.00
BMLT-O-980222,20190217,130.00,130.00,130.00,130.00,13000000,100,3,D,135.00,130.00
BMLT-O-980222,20190216,130.00,140.00,130.00,135.00,27000000,200,2,D,185.00,140.00
BMLT-O-980222,20190213,170.00,200.00,170.00,185.00,74000000,400,5,D,260.00,200.00
BMLT-O-980222,20190210,260.00,260.00,260.00,260.00,26000000,100,4,D,260.00,260.00
BMLT-O-980222,20190205,260.00,260.00,260.00,260.00,52000000,200,5,D,260.00,260.00
BMLT-O-980222,20190204,250.00,270.00,250.00,260.00,52000000,200,2,D,210.00,270.00
BMLT-O-980222,20190203,200.00,220.00,200.00,210.00,63000000,300,4,D,305.00,220.00
BMLT-O-980222,20190202,300.00,310.00,300.00,305.00,61000000,200,2,D,330.00,310.00
BMLT-O-980222,20190130,320.00,340.00,320.00,330.00,66000000,200,5,D,360.00,340.00
BMLT-O-980222,20190128,351.00,370.00,351.00,360.00,72100000,200,2,D,394.00,370.00
BMLT-O-980222,20190127,394.00,394.00,394.00,394.00,39400000,100,4,D,290.00,394.00
BMLT-O-980222,20190126,293.00,300.00,285.00,290.00,60800000,210,3,D,242.00,300.00
BMLT-O-980222,20190123,228.00,270.00,228.00,242.00,54550000,225,6,D,224.00,270.00
BMLT-O-980222,20190122,224.00,224.00,224.00,224.00,22400000,100,4,D,321.00,224.00
BMLT-O-980222,20190120,321.00,321.00,321.00,321.00,32100000,100,2,D,1.00,321.00
