<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
BMLT-O-980222,20190227,100.00,110.00,100.00,105.00,105000000,1000,10,D,82.00,110.00
BMLT-O-980222,20190226,82.00,82.00,82.00,82.00,8200000,100,2,D,72.00,82.00
BMLT-O-980222,20190224,52.00,90.00,52.00,72.00,293800000,4100,44,D,52.00,90.00
BMLT-O-980222,20190223,52.00,52.00,52.00,52.00,5200000,100,1,D,50.00,52.00
BMLT-O-980222,20190220,40.00,55.00,40.00,50.00,20000000,400,4,D,76.00,55.00
BMLT-O-980222,20190219,76.00,76.00,76.00,76.00,7600000,100,1,D,76.00,76.00
BMLT-O-980222,20190213,70.00,80.00,70.00,76.00,30500000,400,4,D,100.00,80.00
BMLT-O-980222,20190206,100.00,100.00,100.00,100.00,10000000,100,3,D,115.00,100.00
BMLT-O-980222,20190204,110.00,120.00,110.00,115.00,23000000,200,2,D,91.00,120.00
BMLT-O-980222,20190203,70.00,113.00,70.00,91.00,45500000,500,6,D,145.00,113.00
BMLT-O-980222,20190202,120.00,170.00,120.00,145.00,29000000,200,2,D,155.00,170.00
BMLT-O-980222,20190130,150.00,160.00,150.00,155.00,31000000,200,2,D,171.00,160.00
BMLT-O-980222,20190128,163.00,180.00,163.00,171.00,34300000,200,3,D,196.00,180.00
BMLT-O-980222,20190127,219.00,219.00,191.00,196.00,39128000,200,4,D,131.00,200.00
BMLT-O-980222,20190126,131.00,132.00,131.00,131.00,26300000,200,4,D,84.00,132.00
BMLT-O-980222,20190123,84.00,84.00,84.00,84.00,8400000,100,6,D,89.00,84.00
BMLT-O-980222,20190122,83.00,95.00,83.00,89.00,17800000,200,3,D,119.00,95.00
BMLT-O-980222,20190120,118.00,132.00,118.00,119.00,249200000,2100,22,D,1.00,132.00
