<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bank.of.M.E.,20190227,2720.00,2720.00,2660.00,2675.00,14155128591,5290960,172,D,2655.00,2702.00
Bank.of.M.E.,20190226,2700.00,2700.00,2571.00,2655.00,2620991085,997550,196,D,2671.00,2688.00
Bank.of.M.E.,20190225,2588.00,2723.00,2567.00,2671.00,16018721121,5996883,1210,D,2594.00,2700.00
Bank.of.M.E.,20190224,2576.00,2620.00,2570.00,2594.00,5163699597,1987531,142,D,2585.00,2615.00
Bank.of.M.E.,20190223,2533.00,2630.00,2533.00,2585.00,6739613537,2605958,144,D,2566.00,2600.00
Bank.of.M.E.,20190220,2600.00,2600.00,2522.00,2566.00,4923876649,1914410,135,D,2554.00,2564.00
Bank.of.M.E.,20190219,2551.00,2600.00,2511.00,2554.00,3172098089,1239838,98,D,2551.00,2570.00
Bank.of.M.E.,20190218,2522.00,2630.00,2500.00,2551.00,4103702962,1592678,197,D,2517.00,2562.00
Bank.of.M.E.,20190217,2563.00,2563.00,2500.00,2517.00,5901421279,2352677,144,D,2563.00,2501.00
Bank.of.M.E.,20190216,2515.00,2560.00,2509.00,2563.00,1834110633,721955,107,D,2571.00,2560.00
Bank.of.M.E.,20190213,2559.00,2590.00,2526.00,2571.00,4957899153,1934479,144,D,2590.00,2560.00
Bank.of.M.E.,20190212,2580.00,2599.00,2558.00,2590.00,2815501931,1092542,88,D,2598.00,2588.00
Bank.of.M.E.,20190210,2551.00,2601.00,2551.00,2598.00,11457343113,4409668,293,D,2568.00,2598.00
Bank.of.M.E.,20190206,2550.00,2588.00,2550.00,2568.00,11062165765,4307642,191,D,2556.00,2584.00
Bank.of.M.E.,20190205,2551.00,2590.00,2549.00,2556.00,10225717230,4000133,184,D,2580.00,2550.00
Bank.of.M.E.,20190204,2543.00,2601.00,2543.00,2580.00,8115739248,3145261,197,D,2593.00,2580.00
Bank.of.M.E.,20190203,2600.00,2600.00,2550.00,2593.00,17119899063,6601883,300,D,2597.00,2562.00
Bank.of.M.E.,20190202,2600.00,2605.00,2581.00,2597.00,3911278192,1506613,177,D,2599.00,2588.00
Bank.of.M.E.,20190130,2561.00,2603.00,2561.00,2599.00,21872839840,8417050,429,D,2584.00,2600.00
Bank.of.M.E.,20190129,2604.00,2604.00,2561.00,2584.00,3177770822,1231122,145,D,2587.00,2581.00
Bank.of.M.E.,20190128,2585.00,2610.00,2560.00,2587.00,6755696882,2613678,164,D,2612.00,2570.00
Bank.of.M.E.,20190127,2630.00,2630.00,2547.00,2612.00,28781701709,11017467,436,D,2599.00,2604.00
Bank.of.M.E.,20190126,2620.00,2640.00,2564.00,2599.00,4688703901,1801465,178,D,2593.00,2592.00
Bank.of.M.E.,20190123,2540.00,2659.00,2525.00,2593.00,7884998579,3041357,247,D,2560.00,2599.00
Bank.of.M.E.,20190122,2577.00,2600.00,2551.00,2560.00,1872523112,728532,103,D,2557.00,2560.00
Bank.of.M.E.,20190121,2580.00,2600.00,2521.00,2557.00,8038417866,3143936,288,D,2549.00,2536.00
Bank.of.M.E.,20190120,2530.00,2579.00,2490.00,2549.00,6715712503,2635308,216,D,2566.00,2570.00
Bank.of.M.E.,20190119,2588.00,2588.00,2524.00,2566.00,7263065425,2830632,216,D,2547.00,2580.00
Bank.of.M.E.,20190116,2548.00,2600.00,2491.00,2547.00,39908599666,15668358,465,D,2540.00,2540.00
Bank.of.M.E.,20190115,2515.00,2559.00,2515.00,2540.00,12334955821,4856092,294,D,2533.00,2545.00
Bank.of.M.E.,20190114,2515.00,2600.00,2511.00,2533.00,2340244262,920915,135,D,2529.00,2537.00
Bank.of.M.E.,20190113,2550.00,2575.00,2480.00,2529.00,6731970964,2663797,220,D,2556.00,2559.00
Bank.of.M.E.,20190112,2518.00,2584.00,2518.00,2556.00,9262909778,3623808,162,D,2570.00,2554.00
Bank.of.M.E.,20190109,2511.00,2592.00,2511.00,2570.00,8508395889,3311219,264,D,2552.00,2580.00
Bank.of.M.E.,20190108,2570.00,2599.00,2500.00,2552.00,4998178669,1964209,172,D,2568.00,2550.00
Bank.of.M.E.,20190107,2517.00,2585.00,2514.00,2568.00,37187991890,14481488,718,D,2570.00,2571.00
Bank.of.M.E.,20190106,2560.00,2635.00,2511.00,2570.00,7614424044,2962759,287,D,2555.00,2561.00
Bank.of.M.E.,20190105,2502.00,2600.00,2502.00,2555.00,4789916472,1893237,221,D,2606.00,2513.00
Bank.of.M.E.,20190102,2665.00,2666.00,2550.00,2606.00,16698792853,6407741,359,D,2597.00,2597.00
Bank.of.M.E.,20190101,2587.00,2694.00,2453.00,2597.00,14829956087,5710114,510,D,2566.00,2630.00
Bank.of.M.E.,20181231,2504.00,2580.00,2504.00,2566.00,2807887796,1108462,172,D,2588.00,2550.00
Bank.of.M.E.,20181230,2501.00,2640.00,2493.00,2588.00,16056652296,6205425,516,D,2564.00,2500.00
Bank.of.M.E.,20181229,2645.00,2645.00,2550.00,2564.00,3928149982,1523028,222,D,2546.00,2560.00
