<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Behpardakht.Mellat,20190227,11995.00,11999.00,11812.00,12121.00,349373342,29394,31,D,12134.00,11840.00
Behpardakht.Mellat,20190226,11950.00,12189.00,11700.00,12134.00,418098698,34520,31,D,12135.00,12188.00
Behpardakht.Mellat,20190225,12137.00,12239.00,12020.00,12135.00,995553587,82103,45,D,12137.00,12020.00
Behpardakht.Mellat,20190224,12161.00,12161.00,11670.00,12137.00,612667829,51523,39,D,12161.00,11872.00
Behpardakht.Mellat,20190223,12000.00,12214.00,11987.00,12161.00,1293955201,106998,76,D,12176.00,12214.00
Behpardakht.Mellat,20190220,12000.00,12300.00,11855.00,12176.00,1463484828,121147,86,D,12201.00,12299.00
Behpardakht.Mellat,20190219,11701.00,11998.00,11650.00,12201.00,123125803,10456,35,D,12209.00,11700.00
Behpardakht.Mellat,20190218,12000.00,12120.00,11731.00,12209.00,1811517250,153252,57,D,12348.00,11900.00
Behpardakht.Mellat,20190217,12226.00,12226.00,11820.00,12348.00,1322230871,110633,54,D,12442.00,11820.00
Behpardakht.Mellat,20190216,12300.00,12689.00,12000.00,12442.00,2105497325,171930,85,D,12525.00,12050.00
Behpardakht.Mellat,20190213,12570.00,12789.00,12110.00,12525.00,1745807715,139388,78,D,12570.00,12141.00
Behpardakht.Mellat,20190210,12111.00,12375.00,12111.00,12570.00,168444560,13830,25,D,12580.00,12287.00
Behpardakht.Mellat,20190206,12750.00,12750.00,12201.00,12580.00,309462740,25065,30,D,12591.00,12207.00
Behpardakht.Mellat,20190205,12088.00,12295.00,12088.00,12591.00,469606212,38689,55,D,12623.00,12120.00
Behpardakht.Mellat,20190204,12500.00,12500.00,12320.00,12623.00,781158037,63066,33,D,12652.00,12490.00
Behpardakht.Mellat,20190203,12200.00,12374.00,12200.00,12652.00,586924278,48004,50,D,12690.00,12235.00
Behpardakht.Mellat,20190202,12323.00,12350.00,12250.00,12690.00,424134672,34494,82,D,12715.00,12263.00
Behpardakht.Mellat,20190130,12360.00,12820.00,12356.00,12715.00,384395312,30881,42,D,12730.00,12431.00
Behpardakht.Mellat,20190129,12600.00,12900.00,12360.00,12730.00,779248230,61007,25,D,12725.00,12445.00
Behpardakht.Mellat,20190128,12307.00,12996.00,12307.00,12725.00,68927443,5351,21,D,12724.00,12900.00
Behpardakht.Mellat,20190127,12702.00,13200.00,12695.00,12724.00,1056835225,81931,51,D,12695.00,12695.00
Behpardakht.Mellat,20190126,13056.00,13264.00,12710.00,12695.00,1217981351,93569,63,D,12633.00,12850.00
Behpardakht.Mellat,20190123,12316.00,13000.00,12316.00,12633.00,617868623,48419,69,D,12621.00,12800.00
Behpardakht.Mellat,20190122,12216.00,13100.00,12216.00,12621.00,1056975395,83656,47,D,12619.00,13000.00
Behpardakht.Mellat,20190121,12521.00,12848.00,12326.00,12619.00,623458199,49336,43,D,12617.00,12354.00
Behpardakht.Mellat,20190120,12799.00,12800.00,12300.00,12617.00,1237935978,99016,81,D,12641.00,12520.00
Behpardakht.Mellat,20190119,12866.00,12958.00,12719.00,12641.00,697134651,54122,116,D,12616.00,12900.00
Behpardakht.Mellat,20190116,12510.00,12700.00,12221.00,12616.00,1951450918,157942,152,D,12713.00,12700.00
Behpardakht.Mellat,20190115,12770.00,12770.00,12311.00,12713.00,3042036083,243982,190,D,12891.00,12311.00
Behpardakht.Mellat,20190114,12806.00,12806.00,12630.00,12891.00,503119480,39513,40,D,12903.00,12660.00
Behpardakht.Mellat,20190113,12889.00,12889.00,12601.00,12903.00,690471292,54528,101,D,12928.00,12797.00
Behpardakht.Mellat,20190112,12611.00,12998.00,12600.00,12928.00,3656672784,288857,190,D,13194.00,12602.00
Behpardakht.Mellat,20190109,12900.00,13069.00,12755.00,13194.00,890794880,69061,73,D,13234.00,12901.00
Behpardakht.Mellat,20190108,13011.00,13200.00,12910.00,13234.00,1225537156,94014,96,D,13272.00,12916.00
Behpardakht.Mellat,20190107,13050.00,13299.00,13050.00,13272.00,495316295,37574,52,D,13278.00,13086.00
