<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Behshahr.Ind.,20190227,6412.00,6500.00,6270.00,6395.00,3614074266,565153,227,D,6315.00,6499.00
Behshahr.Ind.,20190226,6360.00,6454.00,6260.00,6315.00,4529214557,717245,198,D,6315.00,6266.00
Behshahr.Ind.,20190225,6284.00,6459.00,6252.00,6315.00,8629090028,1366546,322,D,6282.00,6351.00
Behshahr.Ind.,20190224,6537.00,6537.00,6252.00,6282.00,4102379049,653062,189,D,6353.00,6283.00
Behshahr.Ind.,20190223,6420.00,6499.00,6211.00,6353.00,2832647240,445866,192,D,6411.00,6261.00
Behshahr.Ind.,20190220,6550.00,6550.00,6361.00,6411.00,1744819087,272992,107,D,6454.00,6392.00
Behshahr.Ind.,20190219,6628.00,6672.00,6350.00,6454.00,3706436595,574300,135,D,6628.00,6400.00
Behshahr.Ind.,20190218,6666.00,6757.00,6590.00,6628.00,1000815415,151045,96,D,6629.00,6590.00
Behshahr.Ind.,20190217,6651.00,6695.00,6580.00,6629.00,827163020,125106,91,D,6637.00,6618.00
Behshahr.Ind.,20190216,6796.00,6796.00,6482.00,6637.00,2589731582,390409,208,D,6767.00,6640.00
Behshahr.Ind.,20190213,6666.00,6980.00,6414.00,6767.00,19582764002,2893963,649,D,6659.00,6873.00
Behshahr.Ind.,20190212,6551.00,6695.00,6421.00,6659.00,1157944472,176481,94,D,6736.00,6630.00
Behshahr.Ind.,20190210,6571.00,6818.00,6571.00,6736.00,638206900,96436,72,D,6774.00,6590.00
Behshahr.Ind.,20190206,6890.00,6890.00,6610.00,6774.00,837651151,124701,89,D,6799.00,6820.00
Behshahr.Ind.,20190205,6850.00,6850.00,6560.00,6799.00,1069353145,160508,113,D,6890.00,6816.00
Behshahr.Ind.,20190204,6831.00,6937.00,6800.00,6890.00,6748290180,979405,244,D,6607.00,6850.00
Behshahr.Ind.,20190203,6499.00,6793.00,6320.00,6607.00,12116482840,1833996,236,D,6470.00,6788.00
Behshahr.Ind.,20190202,6443.00,6549.00,6395.00,6470.00,7495243083,1158427,145,D,6507.00,6499.00
Behshahr.Ind.,20190130,6593.00,6600.00,6443.00,6507.00,2005958757,308244,97,D,6506.00,6455.00
Behshahr.Ind.,20190129,6523.00,6679.00,6470.00,6506.00,8043431073,1236397,143,D,6523.00,6480.00
Behshahr.Ind.,20190128,6689.00,6689.00,6411.00,6523.00,6438983009,987097,175,D,6601.00,6570.00
Behshahr.Ind.,20190127,6700.00,6700.00,6500.00,6601.00,6105568629,924936,174,D,6728.00,6600.00
Behshahr.Ind.,20190126,6650.00,6950.00,6650.00,6728.00,7864902518,1169032,251,D,6428.00,6691.00
Behshahr.Ind.,20190122,6600.00,6700.00,6400.00,6428.00,19469925736,3028885,238,D,6592.00,6610.00
Behshahr.Ind.,20190121,6690.00,6691.00,6520.00,6592.00,2001121256,305055,137,D,6694.00,6562.00
Behshahr.Ind.,20190120,6759.00,6850.00,6614.00,6694.00,3015927621,450510,228,D,6771.00,6671.00
Behshahr.Ind.,20190119,6778.00,6899.00,6691.00,6771.00,2861981068,422713,186,D,6713.00,6755.00
Behshahr.Ind.,20190116,6711.00,6888.00,6640.00,6713.00,5741413987,855268,223,D,6815.00,6787.00
Behshahr.Ind.,20190115,6987.00,6987.00,6707.00,6815.00,4925219136,722723,171,D,6893.00,6760.00
Behshahr.Ind.,20190114,6900.00,7000.00,6813.00,6893.00,3695355861,536115,155,D,6930.00,6944.00
Behshahr.Ind.,20190113,6940.00,6961.00,6850.00,6930.00,3465006265,499995,245,D,6934.00,6920.00
Behshahr.Ind.,20190112,7090.00,7128.00,6800.00,6934.00,2571136686,371454,181,D,7090.00,6969.00
Behshahr.Ind.,20190109,6978.00,7130.00,6978.00,7090.00,5930548741,836466,167,D,6977.00,7118.00
Behshahr.Ind.,20190108,6982.00,7091.00,6640.00,6977.00,26274243245,3765895,497,D,6779.00,7040.00
Behshahr.Ind.,20190107,6712.00,6852.00,6700.00,6779.00,6201592427,914890,228,D,6765.00,6852.00
Behshahr.Ind.,20190106,6700.00,6829.00,6661.00,6765.00,7709942415,1139721,185,D,6794.00,6799.00
Behshahr.Ind.,20190105,7025.00,7025.00,6740.00,6794.00,2953800486,434788,152,D,6865.00,6740.00
Behshahr.Ind.,20190102,6939.00,6990.00,6651.00,6865.00,8612485324,1254555,397,D,6803.00,6840.00
Behshahr.Ind.,20190101,6860.00,7074.00,6702.00,6803.00,10167462396,1494656,375,D,7054.00,6846.00
Behshahr.Ind.,20181231,7135.00,7139.00,6856.00,7054.00,10836263800,1536233,258,D,7113.00,6905.00
Behshahr.Ind.,20181230,7130.00,7198.00,7040.00,7113.00,22614138510,3179250,289,D,7129.00,7052.00
Behshahr.Ind.,20181229,7031.00,7250.00,7020.00,7129.00,14045768438,1970268,313,D,7020.00,7110.00
Behshahr.Ind.,20181226,6689.00,7072.00,6688.00,7020.00,38827364911,5531219,529,D,6736.00,7070.00
Behshahr.Ind.,20181225,6777.00,6900.00,6570.00,6736.00,10036482096,1489898,233,D,6711.00,6789.00
Behshahr.Ind.,20181224,6800.00,6800.00,6540.00,6711.00,6186443917,921782,182,D,6665.00,6711.00
Behshahr.Ind.,20181223,6420.00,6790.00,6420.00,6665.00,5376650520,806755,183,D,6583.00,6770.00
Behshahr.Ind.,20181222,6603.00,6800.00,6315.00,6583.00,7871362512,1195736,267,D,6647.00,6769.00
Behshahr.Ind.,20181219,6800.00,6895.00,6600.00,6647.00,4187279575,629940,191,D,6889.00,6720.00
Behshahr.Ind.,20181218,6730.00,6990.00,6730.00,6889.00,4330237020,628598,143,D,6864.00,6803.00
Behshahr.Ind.,20181217,6690.00,7000.00,6490.00,6864.00,13101182837,1908635,292,D,6677.00,6879.00
Behshahr.Ind.,20181216,6974.00,6980.00,6609.00,6677.00,14523563704,2175069,354,D,6956.00,6680.00
Behshahr.Ind.,20181215,7049.00,7100.00,6815.00,6956.00,20294724861,2917661,634,D,7173.00,6900.00
Behshahr.Ind.,20181212,7098.00,7294.00,6955.00,7173.00,25419410009,3543845,666,D,6976.00,7042.00
Behshahr.Ind.,20181211,6955.00,7046.00,6721.00,6976.00,28859762860,4136926,489,D,6711.00,7046.00
Behshahr.Ind.,20181210,6499.00,6769.00,6473.00,6711.00,28845161821,4298015,597,D,6447.00,6769.00
Behshahr.Ind.,20181209,6270.00,6471.00,6160.00,6447.00,41877372537,6495533,468,D,6163.00,6471.00
Behshahr.Ind.,20181208,6110.00,6247.00,6065.00,6163.00,8785818173,1425689,238,D,6205.00,6195.00
Behshahr.Ind.,20181205,6150.00,6270.00,6135.00,6205.00,5503249736,886882,206,D,6190.00,6199.00
Behshahr.Ind.,20181204,6200.00,6244.00,6050.00,6190.00,21064093336,3402883,316,D,6171.00,6235.00
Behshahr.Ind.,20181203,6209.00,6350.00,6087.00,6171.00,5725643231,927861,229,D,6087.00,6250.00
Behshahr.Ind.,20181202,6000.00,6180.00,5921.00,6087.00,3986097639,654883,235,D,5914.00,6083.00
Behshahr.Ind.,20181201,6199.00,6199.00,5890.00,5914.00,18422802176,3115179,575,D,6199.00,5900.00
Behshahr.Ind.,20181128,6499.00,6499.00,6132.00,6199.00,12075311995,1947958,512,D,6454.00,6132.00
Behshahr.Ind.,20181127,6432.00,6700.00,6301.00,6454.00,9311128543,1442777,458,D,6432.00,6413.00
Behshahr.Ind.,20181126,6670.00,6690.00,6251.00,6432.00,7697092026,1196651,443,D,6559.00,6439.00
Behshahr.Ind.,20181124,6700.00,6780.00,6345.00,6559.00,18715152760,2853478,558,D,6533.00,6669.00
