<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bime.Ma.Co.,20190227,1880.00,1880.00,1820.00,1836.00,862322889,469904,69,D,1841.00,1843.00
Bime.Ma.Co.,20190226,1906.00,1917.00,1815.00,1841.00,1968107174,1068755,91,D,1896.00,1820.00
Bime.Ma.Co.,20190225,1850.00,1918.00,1850.00,1896.00,2487178465,1312006,182,D,1828.00,1909.00
Bime.Ma.Co.,20190224,1812.00,1858.00,1799.00,1828.00,1547636048,846551,136,D,1779.00,1855.00
Bime.Ma.Co.,20190223,1731.00,1816.00,1730.00,1779.00,1799550846,1011361,142,D,1759.00,1810.00
Bime.Ma.Co.,20190220,1789.00,1802.00,1720.00,1759.00,3364197828,1913060,180,D,1792.00,1740.00
Bime.Ma.Co.,20190219,1797.00,1800.00,1775.00,1792.00,1243449052,694022,82,D,1788.00,1775.00
Bime.Ma.Co.,20190218,1750.00,1800.00,1750.00,1788.00,1157233965,647085,132,D,1789.00,1765.00
Bime.Ma.Co.,20190217,1786.00,1833.00,1750.00,1789.00,2498359003,1396556,156,D,1786.00,1750.00
Bime.Ma.Co.,20190216,1800.00,1847.00,1770.00,1786.00,2865897448,1604471,242,D,1804.00,1792.00
Bime.Ma.Co.,20190213,1816.00,1835.00,1775.00,1804.00,1469560930,814459,138,D,1851.00,1784.00
Bime.Ma.Co.,20190212,1855.00,1861.00,1831.00,1851.00,2186423566,1180954,247,D,1826.00,1847.00
Bime.Ma.Co.,20190210,1793.00,1860.00,1780.00,1826.00,1315410632,720432,110,D,1828.00,1860.00
Bime.Ma.Co.,20190206,1826.00,1879.00,1783.00,1828.00,2297457037,1256962,152,D,1873.00,1815.00
Bime.Ma.Co.,20190205,1940.00,1953.00,1844.00,1873.00,3038538313,1622472,219,D,1938.00,1863.00
Bime.Ma.Co.,20190204,1938.00,1970.00,1886.00,1938.00,1551941318,800862,173,D,1891.00,1925.00
Bime.Ma.Co.,20190203,1879.00,1920.00,1870.00,1891.00,1214027233,641917,118,D,1847.00,1887.00
Bime.Ma.Co.,20190202,1890.00,1890.00,1830.00,1847.00,2527187251,1368308,153,D,1866.00,1832.00
Bime.Ma.Co.,20190130,1910.00,1910.00,1850.00,1866.00,1266604296,678961,140,D,1922.00,1871.00
Bime.Ma.Co.,20190129,1952.00,1977.00,1900.00,1922.00,2822097179,1467986,168,D,1985.00,1900.00
Bime.Ma.Co.,20190128,2047.00,2047.00,1950.00,1985.00,1966372614,990784,133,D,2017.00,1960.00
Bime.Ma.Co.,20190127,2046.00,2055.00,2004.00,2017.00,6461774016,3203608,295,D,2109.00,2010.00
Bime.Ma.Co.,20190126,2148.00,2150.00,2081.00,2109.00,3091870690,1466048,230,D,2105.00,2086.00
Bime.Ma.Co.,20190123,2150.00,2150.00,2073.00,2105.00,2725546073,1294695,180,D,2050.00,2114.00
Bime.Ma.Co.,20190122,1961.00,2109.00,1920.00,2050.00,3985848265,1944522,240,D,2009.00,2092.00
Bime.Ma.Co.,20190121,2100.00,2100.00,1957.00,2009.00,2869154231,1428248,193,D,2060.00,2000.00
Bime.Ma.Co.,20190120,2120.00,2120.00,2037.00,2060.00,5809685195,2820290,346,D,2144.00,2080.00
Bime.Ma.Co.,20190119,2202.00,2230.00,2118.00,2144.00,8138783299,3796374,389,D,2229.00,2150.00
Bime.Ma.Co.,20190116,2200.00,2283.00,2190.00,2229.00,7620518991,3419522,395,D,2219.00,2191.00
Bime.Ma.Co.,20190115,2212.00,2250.00,2181.00,2219.00,8321047153,3750561,426,D,2205.00,2230.00
Bime.Ma.Co.,20190114,2186.00,2254.00,2160.00,2205.00,5989276334,2715860,372,D,2186.00,2215.00
Bime.Ma.Co.,20190113,2245.00,2300.00,2100.00,2186.00,6951130591,3179135,411,D,2209.00,2166.00
Bime.Ma.Co.,20190112,2150.00,2240.00,2144.00,2209.00,9473139311,4287844,494,D,2140.00,2190.00
Bime.Ma.Co.,20190109,2051.00,2154.00,2040.00,2140.00,18499127099,8645433,675,D,2052.00,2154.00
Bime.Ma.Co.,20190108,2089.00,2100.00,2003.00,2052.00,7887011824,3842647,481,D,2089.00,2034.00
Bime.Ma.Co.,20190107,2138.00,2138.00,2000.00,2089.00,11789169808,5642605,622,D,2037.00,2069.00
Bime.Ma.Co.,20190106,2037.00,2037.00,2001.00,2037.00,16036547734,7873279,488,D,1940.00,2037.00
Bime.Ma.Co.,20190105,1900.00,1944.00,1898.00,1940.00,16671954680,8592051,689,D,1852.00,1944.00
Bime.Ma.Co.,20190102,1865.00,1899.00,1800.00,1852.00,3396887471,1834367,224,D,1842.00,1895.00
Bime.Ma.Co.,20190101,1820.00,1870.00,1800.00,1842.00,4118043583,2236014,181,D,1785.00,1828.00
Bime.Ma.Co.,20181231,1791.00,1792.00,1760.00,1785.00,1276923520,715268,142,D,1787.00,1791.00
Bime.Ma.Co.,20181230,1830.00,1830.00,1777.00,1787.00,1841018191,1030311,162,D,1777.00,1782.00
Bime.Ma.Co.,20181229,1793.00,1796.00,1733.00,1777.00,2182389005,1228236,166,D,1711.00,1768.00
Bime.Ma.Co.,20181224,1715.00,1723.00,1643.00,1711.00,6884667331,4024547,287,D,1641.00,1719.00
Bime.Ma.Co.,20181223,1620.00,1646.00,1620.00,1641.00,1270842886,774317,58,D,1568.00,1646.00
Bime.Ma.Co.,20181222,1528.00,1606.00,1520.00,1568.00,1684295813,1073991,121,D,1530.00,1606.00
Bime.Ma.Co.,20181219,1560.00,1560.00,1505.00,1530.00,979108025,639742,101,D,1560.00,1530.00
Bime.Ma.Co.,20181218,1609.00,1640.00,1545.00,1560.00,1582463544,1014533,139,D,1626.00,1587.00
Bime.Ma.Co.,20181217,1620.00,1650.00,1583.00,1626.00,860368258,528899,59,D,1624.00,1620.00
Bime.Ma.Co.,20181216,1650.00,1670.00,1600.00,1624.00,1258989200,775398,116,D,1680.00,1620.00
Bime.Ma.Co.,20181215,1666.00,1720.00,1660.00,1680.00,790938589,472467,62,D,1701.00,1680.00
Bime.Ma.Co.,20181212,1692.00,1720.00,1660.00,1701.00,2269760321,1334563,152,D,1667.00,1702.00
Bime.Ma.Co.,20181211,1651.00,1698.00,1640.00,1667.00,753625182,452273,72,D,1670.00,1694.00
Bime.Ma.Co.,20181210,1690.00,1718.00,1650.00,1670.00,814084019,487652,66,D,1672.00,1660.00
Bime.Ma.Co.,20181209,1725.00,1768.00,1640.00,1672.00,3063390303,1832481,245,D,1721.00,1690.00
Bime.Ma.Co.,20181208,1691.00,1775.00,1651.00,1721.00,4745911823,2757821,285,D,1691.00,1712.00
Bime.Ma.Co.,20181205,1671.00,1720.00,1650.00,1691.00,1711252861,1011988,182,D,1643.00,1670.00
Bime.Ma.Co.,20181204,1735.00,1735.00,1630.00,1643.00,4297228224,2615235,277,D,1715.00,1640.00
Bime.Ma.Co.,20181203,1756.00,1799.00,1697.00,1715.00,4994758330,2912461,282,D,1786.00,1719.00
Bime.Ma.Co.,20181202,1899.00,1910.00,1756.00,1786.00,5790598139,3241373,273,D,1848.00,1756.00
Bime.Ma.Co.,20181201,1920.00,1970.00,1793.00,1848.00,4943490756,2675682,227,D,1887.00,1793.00
Bime.Ma.Co.,20181128,1900.00,1928.00,1850.00,1887.00,2043473383,1083082,102,D,1886.00,1856.00
Bime.Ma.Co.,20181127,1975.00,1975.00,1852.00,1886.00,1767952794,937424,112,D,1906.00,1860.00
Bime.Ma.Co.,20181126,1905.00,1920.00,1887.00,1906.00,1902305512,998257,162,D,1905.00,1910.00
Bime.Ma.Co.,20181124,1900.00,1980.00,1881.00,1905.00,2430602152,1275923,153,D,1980.00,1881.00
Bime.Ma.Co.,20181121,1983.00,1983.00,1920.00,1980.00,5626309161,2841368,206,D,1889.00,1930.00
Bime.Ma.Co.,20181120,1889.00,1894.00,1811.00,1889.00,6544824286,3465226,239,D,1804.00,1894.00
Bime.Ma.Co.,20181119,1702.00,1833.00,1700.00,1804.00,4885402967,2707686,249,D,1746.00,1833.00
Bime.Ma.Co.,20181118,1865.00,1867.00,1719.00,1746.00,2725965324,1560854,136,D,1809.00,1719.00
Bime.Ma.Co.,20181117,1890.00,1890.00,1805.00,1809.00,10266933910,5674614,393,D,1899.00,1850.00
Bime.Ma.Co.,20181114,1871.00,1950.00,1871.00,1899.00,1809948854,952938,135,D,1937.00,1917.00
Bime.Ma.Co.,20181113,1950.00,1980.00,1900.00,1937.00,3740061296,1931022,223,D,1958.00,1949.00
Bime.Ma.Co.,20181112,1925.00,1995.00,1900.00,1958.00,1669167182,852490,112,D,1951.00,1960.00
Bime.Ma.Co.,20181111,1956.00,2000.00,1925.00,1951.00,1440264288,738131,122,D,1985.00,1976.00
Bime.Ma.Co.,20181110,2037.00,2115.00,1956.00,1985.00,4308872371,2171075,283,D,2058.00,1956.00
Bime.Ma.Co.,20181106,2149.00,2159.00,2003.00,2058.00,2872867583,1395969,229,D,2101.00,2080.00
Bime.Ma.Co.,20181105,2157.00,2157.00,2061.00,2101.00,3030561884,1442163,199,D,2061.00,2070.00
Bime.Ma.Co.,20181104,2033.00,2081.00,1971.00,2061.00,6333470328,3073557,295,D,1982.00,2081.00
