<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bojnourd.Cement,20190227,7518.00,7518.00,7518.00,7518.00,1178822400,156800,30,D,7160.00,7518.00
Bojnourd.Cement,20190226,7450.00,7500.00,7135.00,7160.00,4167821473,582102,104,D,7510.00,7440.00
Bojnourd.Cement,20190225,7581.00,7640.00,7281.00,7510.00,2054249613,273540,122,D,7619.00,7619.00
Bojnourd.Cement,20190224,7900.00,8000.00,7581.00,7619.00,2516114918,330253,105,D,7980.00,7581.00
Bojnourd.Cement,20190223,7969.00,8300.00,7968.00,7980.00,1812454825,227131,117,D,8387.00,8090.00
Bojnourd.Cement,20190220,8260.00,8701.00,8246.00,8387.00,6141211354,732189,185,D,8680.00,8246.00
Bojnourd.Cement,20190219,8985.00,9300.00,8536.00,8680.00,1423026283,163942,89,D,8985.00,8536.00
Bojnourd.Cement,20190218,8940.00,9439.00,8609.00,8985.00,7323153396,815026,227,D,9062.00,9208.00
Bojnourd.Cement,20190217,9100.00,9133.00,9040.00,9062.00,1432905956,158117,65,D,9515.00,9040.00
Bojnourd.Cement,20190216,9594.00,9630.00,9211.00,9515.00,8336381301,876156,237,D,9175.00,9400.00
Bojnourd.Cement,20190213,9198.00,9203.00,9005.00,9175.00,20415110557,2225063,272,D,8765.00,9203.00
Bojnourd.Cement,20190212,8600.00,8780.00,8350.00,8765.00,31426087041,3585424,483,D,8362.00,8780.00
Bojnourd.Cement,20190210,8299.00,8377.00,8299.00,8362.00,9029570459,1079775,216,D,7979.00,8377.00
Bojnourd.Cement,20190206,7983.00,7983.00,7660.00,7979.00,8578718760,1075204,113,D,7603.00,7983.00
Bojnourd.Cement,20190205,7409.00,8170.00,7409.00,7603.00,9773634043,1285438,270,D,7798.00,7952.00
Bojnourd.Cement,20190204,7801.00,7801.00,7637.00,7798.00,730478550,95560,74,D,8038.00,7637.00
Bojnourd.Cement,20190203,8088.00,8088.00,7741.00,8038.00,334410042,43162,32,D,8148.00,7741.00
Bojnourd.Cement,20190202,7945.00,8190.00,7775.00,8148.00,2151010070,264002,41,D,7875.00,7775.00
Bojnourd.Cement,20190130,7210.00,7921.00,7196.00,7875.00,4533427429,575641,117,D,7544.00,7502.00
Bojnourd.Cement,20190129,7566.00,8100.00,7515.00,7544.00,4028445869,534025,145,D,7910.00,7523.00
Bojnourd.Cement,20190128,7827.00,8087.00,7700.00,7910.00,2906544126,367457,119,D,7827.00,8000.00
Bojnourd.Cement,20190127,8245.00,8245.00,7694.00,7827.00,4034370669,515420,107,D,8098.00,7694.00
Bojnourd.Cement,20190126,8499.00,8499.00,8001.00,8098.00,1553176338,191807,92,D,8357.00,8001.00
Bojnourd.Cement,20190123,8500.00,8515.00,8055.00,8357.00,3186475108,381282,153,D,8110.00,8320.00
Bojnourd.Cement,20190122,7901.00,8116.00,7901.00,8110.00,5776304344,712213,158,D,7730.00,8116.00
Bojnourd.Cement,20190121,8000.00,8000.00,7662.00,7730.00,4599546911,595036,129,D,8065.00,7662.00
Bojnourd.Cement,20190120,8389.00,8389.00,7850.00,8065.00,2539280165,314861,125,D,8254.00,7950.00
Bojnourd.Cement,20190119,8490.00,8497.00,8011.00,8254.00,5450386695,660366,234,D,8111.00,8190.00
