<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Butane.Group,20190227,8200.00,8257.00,7702.00,7938.00,2504185743,315477,156,D,7914.00,8000.00
Butane.Group,20190226,7855.00,8057.00,7800.00,7914.00,1901157821,241071,152,D,8084.00,8037.00
Butane.Group,20190225,8288.00,8290.00,7850.00,8084.00,2235164209,276525,235,D,8176.00,8090.00
Butane.Group,20190224,8188.00,8288.00,8033.00,8176.00,3087068231,377599,272,D,7942.00,8215.00
Butane.Group,20190223,7889.00,7952.00,7701.00,7942.00,6920543959,871341,267,D,7574.00,7952.00
Butane.Group,20190220,7458.00,7661.00,7391.00,7574.00,2200844606,290592,141,D,7297.00,7661.00
Butane.Group,20190219,7211.00,7399.00,7211.00,7297.00,2650667835,363262,161,D,7372.00,7365.00
Butane.Group,20190218,7600.00,7600.00,7250.00,7372.00,3298876997,447485,212,D,7540.00,7260.00
Butane.Group,20190217,7470.00,7620.00,7470.00,7540.00,1921889359,255096,115,D,7600.00,7600.00
Butane.Group,20190216,7650.00,7690.00,7265.00,7600.00,1838367227,242115,170,D,7645.00,7609.00
Butane.Group,20190213,7900.00,7900.00,7537.00,7645.00,3689892889,482681,225,D,7933.00,7645.00
Butane.Group,20190212,7777.00,8089.00,7777.00,7933.00,1258547511,160788,126,D,8074.00,7780.00
Butane.Group,20190210,8007.00,8100.00,7853.00,8074.00,614961275,77297,82,D,8119.00,8000.00
Butane.Group,20190206,8200.00,8273.00,8000.00,8119.00,2668104208,328634,138,D,8161.00,8149.00
Butane.Group,20190205,8161.00,8180.00,7901.00,8161.00,8595220951,1053211,301,D,7791.00,8180.00
Butane.Group,20190204,7480.00,7920.00,7480.00,7791.00,1131161323,145088,102,D,7786.00,7800.00
Butane.Group,20190203,7960.00,7960.00,7724.00,7786.00,5814209528,746720,341,D,8130.00,7777.00
Butane.Group,20190202,8270.00,8270.00,8002.00,8130.00,536546991,66273,96,D,8140.00,8040.00
Butane.Group,20190130,8103.00,8299.00,7962.00,8140.00,2938704253,361020,209,D,8186.00,8260.00
Butane.Group,20190129,8378.00,8378.00,8128.00,8186.00,640910493,78661,90,D,8201.00,8140.00
Butane.Group,20190128,8464.00,8464.00,8130.00,8201.00,2496265555,304391,138,D,8309.00,8200.00
Butane.Group,20190127,8233.00,8450.00,8200.00,8309.00,2569588296,309236,189,D,8231.00,8329.00
Butane.Group,20190126,8000.00,8478.00,7991.00,8231.00,11149489500,1354585,537,D,8168.00,8300.00
Butane.Group,20190123,8205.00,8287.00,8100.00,8168.00,3916699116,479510,201,D,8172.00,8100.00
Butane.Group,20190122,8001.00,8415.00,7910.00,8172.00,1219770661,147423,104,D,8060.00,8200.00
Butane.Group,20190121,8111.00,8200.00,8000.00,8060.00,4473031378,554956,223,D,8255.00,8020.00
Butane.Group,20190120,8475.00,8475.00,8172.00,8255.00,2367677820,286803,197,D,8457.00,8290.00
Butane.Group,20190119,8600.00,8650.00,8301.00,8457.00,3000500053,354792,186,D,8664.00,8471.00
Butane.Group,20190116,8800.00,8800.00,8591.00,8664.00,3739882349,431659,236,D,8828.00,8600.00
Butane.Group,20190115,8910.00,8910.00,8670.00,8828.00,6599802513,747591,324,D,8581.00,8790.00
Butane.Group,20190114,8624.00,8800.00,8190.00,8581.00,12923024232,1506073,507,D,8488.00,8680.00
Butane.Group,20190113,8724.00,8724.00,8350.00,8488.00,1634183898,192359,148,D,8472.00,8530.00
Butane.Group,20190112,8289.00,8556.00,8111.00,8472.00,10253564239,1210333,434,D,8149.00,8556.00
Butane.Group,20190109,8115.00,8340.00,8115.00,8149.00,3406387042,417997,185,D,8195.00,8150.00
Butane.Group,20190108,8350.00,8389.00,8000.00,8195.00,2923264837,356721,215,D,8208.00,8299.00
Butane.Group,20190107,8080.00,8300.00,8080.00,8208.00,2440155163,297303,202,D,8098.00,8120.00
Butane.Group,20190106,8200.00,8265.00,8010.00,8098.00,1674952342,206230,157,D,8031.00,8120.00
Butane.Group,20190105,8070.00,8149.00,7952.00,8031.00,2829155667,352277,284,D,8150.00,8138.00
Butane.Group,20190102,8392.00,8395.00,8006.00,8150.00,6370158717,781647,415,D,8417.00,8052.00
Butane.Group,20190101,8550.00,8580.00,8330.00,8417.00,2466509866,293028,200,D,8653.00,8412.00
Butane.Group,20181231,8740.00,8800.00,8300.00,8653.00,2562836845,296178,216,D,8660.00,8580.00
Butane.Group,20181230,8597.00,8677.00,8300.00,8660.00,7033860688,812188,345,D,8264.00,8677.00
Butane.Group,20181229,8220.00,8599.00,7971.00,8264.00,5089149165,615833,338,D,8276.00,8596.00
Butane.Group,20181226,8150.00,8490.00,8090.00,8276.00,3033808199,366580,271,D,8428.00,8251.00
Butane.Group,20181225,8759.00,8759.00,8418.00,8428.00,9405107118,1115994,386,D,8861.00,8450.00
Butane.Group,20181224,8778.00,9000.00,8690.00,8861.00,4086617471,461191,211,D,8787.00,8766.00
Butane.Group,20181223,8510.00,9150.00,8510.00,8787.00,7671002439,873013,398,D,8777.00,8900.00
Butane.Group,20181222,8300.00,8800.00,8300.00,8777.00,4346009415,495153,177,D,8482.00,8769.00
Butane.Group,20181219,8663.00,8663.00,8337.00,8482.00,1661809972,195410,161,D,8431.00,8586.00
Butane.Group,20181218,8757.00,8757.00,8320.00,8431.00,3139097411,372338,174,D,8712.00,8599.00
Butane.Group,20181217,8990.00,8990.00,8469.00,8712.00,5732861536,658038,199,D,8913.00,8606.00
Butane.Group,20181216,9103.00,9120.00,8862.00,8913.00,4093988448,459312,286,D,9328.00,8862.00
