<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Cement.INV..Co.,20190227,1362.00,1435.00,1362.00,1409.00,247884064,176953,23,D,1410.00,1412.00
Cement.INV..Co.,20190226,1395.00,1410.00,1355.00,1410.00,181928647,132564,18,D,1413.00,1410.00
Cement.INV..Co.,20190225,1430.00,1430.00,1355.00,1413.00,259032413,189623,29,D,1418.00,1375.00
Cement.INV..Co.,20190224,1420.00,1433.00,1378.00,1418.00,2197828482,1535453,181,D,1365.00,1433.00
Cement.INV..Co.,20190223,1311.00,1385.00,1311.00,1365.00,415265380,305878,47,D,1366.00,1370.00
Cement.INV..Co.,20190220,1310.00,1359.00,1310.00,1366.00,389136149,290211,35,D,1371.00,1335.00
Cement.INV..Co.,20190219,1313.00,1360.00,1313.00,1371.00,361123196,268810,30,D,1375.00,1321.00
Cement.INV..Co.,20190218,1325.00,1377.00,1315.00,1375.00,412693289,310269,43,D,1384.00,1348.00
Cement.INV..Co.,20190217,1330.00,1385.00,1322.00,1384.00,194494425,141105,19,D,1384.00,1380.00
Cement.INV..Co.,20190216,1321.00,1375.00,1321.00,1384.00,75407112,56530,16,D,1386.00,1340.00
Cement.INV..Co.,20190213,1411.00,1423.00,1350.00,1386.00,199065120,145490,24,D,1387.00,1350.00
Cement.INV..Co.,20190212,1380.00,1435.00,1373.00,1387.00,1060165663,752848,100,D,1373.00,1400.00
Cement.INV..Co.,20190210,1351.00,1381.00,1350.00,1373.00,542005354,397852,53,D,1376.00,1381.00
Cement.INV..Co.,20190206,1313.00,1373.00,1313.00,1376.00,55833012,42115,14,D,1377.00,1330.00
Cement.INV..Co.,20190205,1350.00,1358.00,1319.00,1377.00,422354529,319175,44,D,1388.00,1320.00
Cement.INV..Co.,20190204,1335.00,1364.00,1332.00,1388.00,425592560,318060,39,D,1398.00,1344.00
Cement.INV..Co.,20190203,1350.00,1350.00,1339.00,1398.00,404626995,302107,42,D,1409.00,1339.00
Cement.INV..Co.,20190202,1486.00,1486.00,1348.00,1409.00,1127276066,807658,97,D,1418.00,1351.00
Cement.INV..Co.,20190130,1398.00,1420.00,1376.00,1418.00,4214050974,2972619,249,D,1353.00,1420.00
Cement.INV..Co.,20190129,1321.00,1388.00,1317.00,1353.00,330281754,244743,37,D,1353.00,1335.00
Cement.INV..Co.,20190128,1310.00,1405.00,1310.00,1353.00,702251354,516518,72,D,1351.00,1351.00
Cement.INV..Co.,20190127,1315.00,1335.00,1315.00,1351.00,189091674,142841,20,D,1353.00,1324.00
Cement.INV..Co.,20190126,1361.00,1380.00,1316.00,1353.00,447380920,337318,29,D,1359.00,1316.00
Cement.INV..Co.,20190123,1417.00,1419.00,1335.00,1359.00,807228174,593677,72,D,1358.00,1350.00
Cement.INV..Co.,20190122,1267.00,1373.00,1267.00,1358.00,2159296968,1577446,115,D,1308.00,1351.00
Cement.INV..Co.,20190121,1265.00,1300.00,1262.00,1308.00,138288278,107119,15,D,1309.00,1268.00
Cement.INV..Co.,20190120,1310.00,1350.00,1301.00,1309.00,294140218,222331,43,D,1307.00,1301.00
Cement.INV..Co.,20190119,1335.00,1336.00,1307.00,1307.00,350471745,267631,34,D,1307.00,1307.00
Cement.INV..Co.,20190116,1300.00,1307.00,1292.00,1307.00,265230938,203573,19,D,1308.00,1300.00
Cement.INV..Co.,20190115,1266.00,1310.00,1266.00,1308.00,246849759,190334,22,D,1309.00,1300.00
Cement.INV..Co.,20190114,1300.00,1300.00,1266.00,1309.00,338495002,262388,33,D,1312.00,1300.00
Cement.INV..Co.,20190113,1290.00,1300.00,1280.00,1312.00,499782818,387452,33,D,1317.00,1290.00
Cement.INV..Co.,20190112,1300.00,1325.00,1280.00,1317.00,582710813,449570,42,D,1324.00,1290.00
Cement.INV..Co.,20190109,1302.00,1339.00,1297.00,1324.00,432275739,332459,35,D,1329.00,1300.00
Cement.INV..Co.,20190108,1300.00,1308.00,1293.00,1329.00,341045970,262115,31,D,1333.00,1293.00
Cement.INV..Co.,20190107,1289.00,1319.00,1281.00,1333.00,432069129,334156,39,D,1342.00,1307.00
Cement.INV..Co.,20190106,1281.00,1305.00,1281.00,1342.00,128355560,99281,18,D,1345.00,1305.00
Cement.INV..Co.,20190105,1292.00,1311.00,1291.00,1345.00,507147553,391413,71,D,1358.00,1291.00
Cement.INV..Co.,20190102,1331.00,1341.00,1306.00,1358.00,712171361,541122,63,D,1374.00,1306.00
Cement.INV..Co.,20190101,1409.00,1410.00,1359.00,1374.00,390646454,277666,25,D,1369.00,1367.00
Cement.INV..Co.,20181231,1340.00,1405.00,1320.00,1369.00,1411089761,1010768,88,D,1339.00,1380.00
Cement.INV..Co.,20181230,1337.00,1337.00,1314.00,1339.00,71937723,54351,9,D,1339.00,1315.00
Cement.INV..Co.,20181229,1300.00,1396.00,1300.00,1339.00,397871723,288671,64,D,1332.00,1350.00
Cement.INV..Co.,20181226,1310.00,1391.00,1262.00,1332.00,1310512081,980366,92,D,1328.00,1281.00
Cement.INV..Co.,20181225,1339.00,1339.00,1290.00,1328.00,47176424,36332,12,D,1329.00,1301.00
Cement.INV..Co.,20181224,1273.00,1389.00,1273.00,1329.00,421442824,310285,78,D,1323.00,1350.00
Cement.INV..Co.,20181223,1245.00,1375.00,1245.00,1323.00,593513420,433485,38,D,1310.00,1332.00
Cement.INV..Co.,20181222,1254.00,1310.00,1254.00,1310.00,329664016,262735,31,D,1319.00,1310.00
Cement.INV..Co.,20181219,1320.00,1379.00,1319.00,1319.00,2632183284,1995362,71,D,1388.00,1319.00
Cement.INV..Co.,20181218,1319.00,1322.00,1319.00,1388.00,17090493,12943,11,D,1388.00,1321.00
Cement.INV..Co.,20181217,1350.00,1360.00,1342.00,1388.00,878089330,654195,35,D,1412.00,1342.00
Cement.INV..Co.,20181216,1368.00,1369.00,1361.00,1412.00,752211495,552495,28,D,1432.00,1361.00
Cement.INV..Co.,20181215,1409.00,1409.00,1365.00,1432.00,157290356,114946,35,D,1436.00,1365.00
Cement.INV..Co.,20181212,1391.00,1392.00,1373.00,1436.00,346863424,252099,43,D,1445.00,1373.00
Cement.INV..Co.,20181211,1401.00,1425.00,1395.00,1445.00,90481700,64568,21,D,1447.00,1395.00
Cement.INV..Co.,20181210,1405.00,1419.00,1405.00,1447.00,874752974,616796,18,D,1461.00,1406.00
Cement.INV..Co.,20181209,1412.00,1442.00,1410.00,1461.00,132981609,94160,18,D,1464.00,1410.00
Cement.INV..Co.,20181208,1436.00,1436.00,1411.00,1464.00,160273725,112285,19,D,1466.00,1429.00
Cement.INV..Co.,20181205,1413.00,1450.00,1411.00,1466.00,520028690,360491,38,D,1472.00,1450.00
Cement.INV..Co.,20181204,1420.00,1451.00,1404.00,1472.00,222247958,155140,26,D,1476.00,1412.00
Cement.INV..Co.,20181203,1426.00,1428.00,1406.00,1476.00,188227938,132927,43,D,1480.00,1420.00
Cement.INV..Co.,20181202,1459.00,1486.00,1431.00,1480.00,425737087,292998,68,D,1485.00,1434.00
Cement.INV..Co.,20181201,1420.00,1494.00,1400.00,1485.00,3765861489,2536692,199,D,1423.00,1445.00
Cement.INV..Co.,20181128,1400.00,1400.00,1372.00,1423.00,92945296,67578,14,D,1425.00,1374.00
Cement.INV..Co.,20181127,1360.00,1380.00,1360.00,1425.00,23618122,17228,8,D,1425.00,1380.00
Cement.INV..Co.,20181126,1361.00,1365.00,1360.00,1425.00,226839679,166642,29,D,1431.00,1365.00
Cement.INV..Co.,20181124,1381.00,1399.00,1380.00,1431.00,80019966,57867,18,D,1432.00,1383.00
Cement.INV..Co.,20181121,1386.00,1400.00,1381.00,1432.00,207171418,149113,34,D,1436.00,1392.00
Cement.INV..Co.,20181120,1395.00,1395.00,1386.00,1436.00,115315831,83056,22,D,1438.00,1386.00
Cement.INV..Co.,20181119,1386.00,1445.00,1386.00,1438.00,68536030,49098,19,D,1439.00,1419.00
Cement.INV..Co.,20181118,1453.00,1453.00,1381.00,1439.00,575426899,414348,50,D,1453.00,1400.00
Cement.INV..Co.,20181117,1401.00,1430.00,1401.00,1453.00,625964124,441282,54,D,1463.00,1413.00
Cement.INV..Co.,20181114,1426.00,1460.00,1426.00,1463.00,459279610,320580,61,D,1469.00,1430.00
Cement.INV..Co.,20181113,1500.00,1500.00,1424.00,1469.00,89163784,61150,23,D,1469.00,1450.00
Cement.INV..Co.,20181112,1404.00,1477.00,1404.00,1469.00,382410243,262822,46,D,1471.00,1475.00
Cement.INV..Co.,20181111,1450.00,1485.00,1450.00,1471.00,463660895,318133,37,D,1474.00,1453.00
Cement.INV..Co.,20181110,1487.00,1487.00,1440.00,1474.00,177326873,122423,34,D,1476.00,1455.00
Cement.INV..Co.,20181106,1487.00,1487.00,1460.00,1476.00,338650228,230635,61,D,1477.00,1474.00
Cement.INV..Co.,20181105,1415.00,1485.00,1412.00,1477.00,2924591463,1979583,42,D,1447.00,1477.00
Cement.INV..Co.,20181104,1440.00,1460.00,1421.00,1447.00,705068803,491396,50,D,1451.00,1431.00
Cement.INV..Co.,20181103,1474.00,1490.00,1429.00,1451.00,197360026,136608,23,D,1452.00,1434.00
