<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Charkheshgar,20190227,1628.00,1630.00,1584.00,1594.00,2475981716,1553302,228,D,1609.00,1607.00
Charkheshgar,20190226,1601.00,1647.00,1580.00,1609.00,1460400528,907547,178,D,1624.00,1623.00
Charkheshgar,20190225,1631.00,1685.00,1611.00,1624.00,3499956828,2154984,429,D,1695.00,1621.00
Charkheshgar,20190224,1707.00,1740.00,1648.00,1695.00,2868331438,1692550,314,D,1668.00,1690.00
Charkheshgar,20190223,1640.00,1705.00,1600.00,1668.00,5044240612,3023954,519,D,1648.00,1689.00
Charkheshgar,20190220,1603.00,1664.00,1603.00,1648.00,7267968152,4409980,813,D,1585.00,1640.00
Charkheshgar,20190219,1510.00,1593.00,1510.00,1585.00,2246562639,1417497,259,D,1518.00,1593.00
Charkheshgar,20190218,1499.00,1545.00,1499.00,1518.00,919087147,605561,119,D,1504.00,1508.00
Charkheshgar,20190217,1552.00,1552.00,1483.00,1504.00,1394003537,926897,182,D,1540.00,1499.00
Charkheshgar,20190216,1543.00,1553.00,1520.00,1540.00,1524761900,989885,213,D,1531.00,1544.00
Charkheshgar,20190213,1525.00,1554.00,1507.00,1531.00,1114180454,727819,173,D,1523.00,1541.00
Charkheshgar,20190212,1517.00,1555.00,1501.00,1523.00,1069283822,701884,140,D,1539.00,1517.00
Charkheshgar,20190210,1560.00,1560.00,1510.00,1539.00,830734565,539738,113,D,1525.00,1555.00
Charkheshgar,20190206,1522.00,1564.00,1496.00,1525.00,2233812442,1464825,201,D,1506.00,1541.00
Charkheshgar,20190205,1505.00,1536.00,1490.00,1506.00,1577868277,1047857,182,D,1527.00,1518.00
Charkheshgar,20190204,1501.00,1548.00,1500.00,1527.00,1110839135,727495,113,D,1512.00,1519.00
Charkheshgar,20190203,1550.00,1550.00,1490.00,1512.00,1380378334,913248,156,D,1533.00,1538.00
