<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Chin.Chin,20190227,13400.00,13847.00,12755.00,13246.00,323988691,24668,19,D,13426.00,13111.00
Chin.Chin,20190226,14110.00,14110.00,13060.00,13426.00,71177890,5368,15,D,13452.00,13420.00
Chin.Chin,20190225,13070.00,13728.00,13070.00,13452.00,588841614,43775,40,D,13081.00,13301.00
Chin.Chin,20190224,13523.00,13523.00,13031.00,13081.00,633432368,48423,45,D,13561.00,13060.00
Chin.Chin,20190223,14000.00,14000.00,13370.00,13561.00,974702133,71873,82,D,14073.00,13406.00
Chin.Chin,20190220,14219.00,14220.00,13653.00,14073.00,2091259942,148604,134,D,13543.00,13998.00
Chin.Chin,20190219,13900.00,13900.00,13500.00,13543.00,502618184,37152,52,D,13728.00,13600.00
Chin.Chin,20190218,13997.00,14150.00,13500.00,13728.00,50155977,3650,14,D,13727.00,13500.00
Chin.Chin,20190217,13900.00,13998.00,13650.00,13727.00,430479500,31435,36,D,13846.00,13800.00
Chin.Chin,20190216,13940.00,13951.00,13600.00,13846.00,334548160,24268,46,D,13939.00,13706.00
Chin.Chin,20190213,14099.00,14099.00,13401.00,13939.00,2089952564,149940,127,D,14099.00,14000.00
Chin.Chin,20190212,14350.00,14350.00,13900.00,14099.00,4506415404,319633,182,D,13685.00,13989.00
Chin.Chin,20190210,13680.00,13688.00,13600.00,13685.00,1882292592,137547,81,D,13037.00,13688.00
Chin.Chin,20190206,12905.00,13130.00,12905.00,13037.00,483305391,37039,16,D,12898.00,13130.00
Chin.Chin,20190205,12898.00,12898.00,12898.00,12898.00,667316724,51738,14,D,12892.00,12898.00
Chin.Chin,20190204,12892.00,13000.00,12892.00,12892.00,282664892,21916,19,D,12886.00,12892.00
Chin.Chin,20190203,13000.00,13000.00,12800.00,12886.00,470553114,36516,26,D,12878.00,12886.00
Chin.Chin,20190202,13499.00,13499.00,12547.00,12878.00,1702905930,132230,29,D,13046.00,12878.00
Chin.Chin,20190130,13150.00,13630.00,12857.00,13046.00,1529532384,117240,67,D,13007.00,12857.00
Chin.Chin,20190129,12850.00,13171.00,12850.00,13007.00,1166199837,89656,73,D,12912.00,13000.00
Chin.Chin,20190128,12998.00,13100.00,12843.00,12912.00,503501473,38991,35,D,12862.00,12844.00
Chin.Chin,20190127,13026.00,13026.00,12836.00,12862.00,2899922594,225459,67,D,12808.00,12900.00
Chin.Chin,20190126,12810.00,13077.00,12169.00,12808.00,4209232517,328643,61,D,12809.00,12800.00
Chin.Chin,20190123,12808.00,12820.00,12808.00,12809.00,20649862302,1612122,167,D,12808.00,12810.00
Chin.Chin,20190121,12808.00,12810.00,12808.00,12808.00,2522520484,196948,27,D,13080.00,12808.00
Chin.Chin,20190120,13121.00,13121.00,12801.00,13080.00,483356041,36957,42,D,13088.00,13100.00
Chin.Chin,20190119,13045.00,13114.00,12794.00,13088.00,1814663395,138652,90,D,12850.00,13030.00
Chin.Chin,20190116,12775.00,13093.00,12774.00,12850.00,774439120,60269,63,D,12830.00,12900.00
Chin.Chin,20190115,13085.00,13085.00,12768.00,12830.00,214633090,16578,31,D,12760.00,12990.00
Chin.Chin,20190114,12388.00,12765.00,12351.00,12760.00,3200015940,250789,110,D,12158.00,12765.00
Chin.Chin,20190113,12434.00,12434.00,11917.00,12158.00,892296934,73389,61,D,11842.00,12335.00
Chin.Chin,20190112,11004.00,11917.00,11004.00,11842.00,3508197295,296250,115,D,11350.00,11917.00
Chin.Chin,20190109,11400.00,11698.00,11000.00,11350.00,580958072,51187,48,D,11471.00,11066.00
Chin.Chin,20190108,11500.00,11500.00,11016.00,11471.00,535889295,46715,32,D,11265.00,11399.00
Chin.Chin,20190107,11700.00,11700.00,11169.00,11265.00,309098057,27274,30,D,11169.00,11500.00
Chin.Chin,20190106,10751.00,11280.00,10751.00,11169.00,2015199113,180420,73,D,10743.00,11280.00
Chin.Chin,20190105,10700.00,11244.00,10700.00,10743.00,820872308,76412,32,D,10749.00,10894.00
Chin.Chin,20190102,11200.00,11200.00,10744.00,10749.00,565083842,52569,42,D,11309.00,10744.00
Chin.Chin,20190101,11600.00,11600.00,10710.00,11309.00,2271377907,200853,84,D,11175.00,10812.00
Chin.Chin,20181231,11175.00,11175.00,11174.00,11175.00,7754889986,693952,116,D,10643.00,11175.00
Chin.Chin,20181230,10643.00,10643.00,10643.00,10643.00,562131331,52817,9,D,10137.00,10643.00
Chin.Chin,20181229,10002.00,10496.00,10000.00,10137.00,1030643139,101673,31,D,9997.00,10496.00
Chin.Chin,20181226,9750.00,10001.00,9750.00,9997.00,416918099,41709,16,D,10001.00,10001.00
