<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Commodity.Exch.,20190227,8484.00,8484.00,8484.00,8484.00,9320420592,1098588,107,D,8080.00,8484.00
Commodity.Exch.,20190226,8133.00,8133.00,7830.00,8080.00,23807767825,2946426,598,D,7746.00,8133.00
Commodity.Exch.,20190225,7746.00,7746.00,7740.00,7746.00,8599496502,1110187,137,D,7378.00,7746.00
Commodity.Exch.,20190224,7378.00,7378.00,7370.00,7378.00,9808260580,1329410,205,D,7027.00,7378.00
Commodity.Exch.,20190223,7000.00,7051.00,6871.00,7027.00,8197833029,1166600,146,D,6716.00,7051.00
Commodity.Exch.,20190220,6664.00,6766.00,6444.00,6716.00,11339369396,1688391,439,D,6444.00,6766.00
Commodity.Exch.,20190219,6201.00,6511.00,6150.00,6444.00,11332917574,1758754,259,D,6201.00,6511.00
Commodity.Exch.,20190218,6300.00,6358.00,6120.00,6201.00,3598575047,580360,186,D,6125.00,6140.00
Commodity.Exch.,20190217,6100.00,6380.00,5919.00,6125.00,13696686217,2236084,647,D,6230.00,6251.00
Commodity.Exch.,20190216,6462.00,6478.00,6100.00,6230.00,7811992044,1253892,328,D,6349.00,6200.00
Commodity.Exch.,20190213,6270.00,6432.00,6052.00,6349.00,6711458013,1057157,389,D,6272.00,6395.00
Commodity.Exch.,20190212,6236.00,6420.00,6236.00,6272.00,34813232147,5550876,1015,D,6564.00,6237.00
Commodity.Exch.,20190210,6564.00,6564.00,6564.00,6564.00,15742191768,2398262,227,D,6909.00,6564.00
Commodity.Exch.,20190206,6908.00,7000.00,6908.00,6909.00,7362131258,1065641,248,D,7271.00,6908.00
Commodity.Exch.,20190205,7322.00,7500.00,7020.00,7271.00,13193077279,1814511,334,D,1000.00,7078.00
