<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Damavand.Min.,20190227,20911.00,21500.00,20700.00,21220.00,651942275,30723,67,D,20876.00,21001.00
Damavand.Min.,20190226,21000.00,21399.00,20799.00,20876.00,1130393373,54147,83,D,21893.00,20910.00
Damavand.Min.,20190225,22450.00,22847.00,21710.00,21893.00,1795606879,82018,154,D,22852.00,22200.00
Damavand.Min.,20190224,23360.00,23360.00,22425.00,22852.00,1304575156,57087,143,D,22336.00,22985.00
Damavand.Min.,20190223,22342.00,22342.00,21412.00,22336.00,5041194848,225694,106,D,21279.00,22342.00
Damavand.Min.,20190220,20739.00,21411.00,20739.00,21279.00,1107447453,52043,53,D,20392.00,21411.00
Damavand.Min.,20190219,20479.00,20739.00,19706.00,20392.00,955996599,46882,120,D,19753.00,20700.00
Damavand.Min.,20190218,19000.00,19919.00,19000.00,19753.00,710957382,35992,77,D,19336.00,19919.00
Damavand.Min.,20190217,19500.00,19700.00,18965.00,19336.00,1998329514,103345,123,D,19962.00,19587.00
Damavand.Min.,20190216,20954.00,20954.00,19861.00,19962.00,614403826,30779,88,D,20062.00,19870.00
Damavand.Min.,20190213,20201.00,20498.00,19800.00,20062.00,1608308695,80166,113,D,20314.00,19903.00
Damavand.Min.,20190212,19500.00,20500.00,19500.00,20314.00,831409559,40928,81,D,20258.00,20262.00
Damavand.Min.,20190210,20030.00,21480.00,20000.00,20258.00,1661791368,82031,125,D,20980.00,20502.00
Damavand.Min.,20190206,21050.00,21897.00,20891.00,20980.00,684395644,32622,53,D,21066.00,20891.00
Damavand.Min.,20190205,22977.00,22977.00,20834.00,21066.00,3121029086,148153,231,D,21930.00,21216.00
Damavand.Min.,20190204,22100.00,23000.00,21447.00,21930.00,1644598632,74992,132,D,22575.00,21998.00
Damavand.Min.,20190203,23119.00,23119.00,21890.00,22575.00,1015344566,44976,77,D,23033.00,22550.00
Damavand.Min.,20190202,23980.00,23980.00,21850.00,23033.00,4892100224,212391,159,D,22953.00,22900.00
Damavand.Min.,20190130,22200.00,22991.00,22200.00,22953.00,4753109980,207080,144,D,21897.00,22991.00
Damavand.Min.,20190129,21212.00,22600.00,21200.00,21897.00,1546598177,70631,121,D,21785.00,22100.00
Damavand.Min.,20190128,21801.00,22550.00,21755.00,21785.00,2507055126,115082,221,D,22900.00,21765.00
