<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Darab.Cement,20190227,1523.00,1581.00,1520.00,1549.00,1343794474,867344,139,D,1524.00,1520.00
Darab.Cement,20190226,1539.00,1545.00,1519.00,1524.00,1119227537,734279,114,D,1545.00,1521.00
Darab.Cement,20190225,1566.00,1566.00,1540.00,1545.00,1441878465,933247,114,D,1528.00,1550.00
Darab.Cement,20190224,1523.00,1568.00,1500.00,1528.00,2075568004,1358377,215,D,1548.00,1542.00
Darab.Cement,20190223,1587.00,1587.00,1522.00,1548.00,1943181313,1255208,195,D,1552.00,1522.00
Darab.Cement,20190220,1551.00,1577.00,1540.00,1552.00,1230729912,793212,164,D,1551.00,1550.00
Darab.Cement,20190219,1598.00,1600.00,1520.00,1551.00,2503925008,1614071,283,D,1599.00,1560.00
Darab.Cement,20190218,1555.00,1621.00,1533.00,1599.00,2620373432,1638918,241,D,1544.00,1599.00
Darab.Cement,20190217,1600.00,1600.00,1528.00,1544.00,3274218530,2121069,299,D,1608.00,1555.00
Darab.Cement,20190216,1611.00,1674.00,1587.00,1608.00,1716422865,1067736,194,D,1648.00,1600.00
Darab.Cement,20190213,1660.00,1719.00,1620.00,1648.00,3122228200,1894394,286,D,1699.00,1664.00
Darab.Cement,20190212,1623.00,1717.00,1623.00,1699.00,7195375857,4235339,523,D,1636.00,1716.00
Darab.Cement,20190210,1626.00,1659.00,1625.00,1636.00,1522238161,930571,151,D,1673.00,1631.00
Darab.Cement,20190206,1625.00,1690.00,1625.00,1673.00,2726222315,1629806,218,D,1625.00,1680.00
Darab.Cement,20190205,1680.00,1680.00,1619.00,1625.00,6871864121,4229814,400,D,1704.00,1619.00
Darab.Cement,20190204,1671.00,1779.00,1671.00,1704.00,4176459497,2450764,387,D,1723.00,1690.00
Darab.Cement,20190203,1722.00,1747.00,1722.00,1723.00,4891456884,2839425,297,D,1812.00,1722.00
Darab.Cement,20190202,1930.00,1930.00,1775.00,1812.00,6476572119,3573766,502,D,1868.00,1775.00
Darab.Cement,20190130,1845.00,1869.00,1820.00,1868.00,30337442919,16242679,1240,D,1780.00,1869.00
Darab.Cement,20190129,1790.00,1830.00,1736.00,1780.00,6368450462,3577677,507,D,1774.00,1830.00
Darab.Cement,20190128,1700.00,1781.00,1658.00,1774.00,10192021565,5745534,664,D,1697.00,1781.00
Darab.Cement,20190127,1650.00,1722.00,1620.00,1697.00,4128565460,2432189,350,D,1655.00,1710.00
Darab.Cement,20190126,1712.00,1712.00,1636.00,1655.00,1242851226,751015,153,D,1701.00,1650.00
Darab.Cement,20190123,1750.00,1751.00,1680.00,1701.00,1581462901,929871,187,D,1688.00,1704.00
Darab.Cement,20190122,1635.00,1696.00,1610.00,1688.00,4186362048,2479997,249,D,1616.00,1696.00
Darab.Cement,20190121,1660.00,1660.00,1605.00,1616.00,1837468202,1137010,197,D,1689.00,1650.00
Darab.Cement,20190120,1750.00,1750.00,1662.00,1689.00,2435635022,1441983,270,D,1730.00,1669.00
Darab.Cement,20190119,1659.00,1741.00,1659.00,1730.00,8025376113,4640094,650,D,1659.00,1741.00
Darab.Cement,20190116,1726.00,1726.00,1630.00,1659.00,6403137783,3859774,461,D,1667.00,1650.00
Darab.Cement,20190115,1685.00,1720.00,1628.00,1667.00,3102340727,1861194,257,D,1668.00,1700.00
Darab.Cement,20190114,1586.00,1676.00,1586.00,1668.00,9515860812,5704190,575,D,1597.00,1675.00
Darab.Cement,20190113,1588.00,1620.00,1575.00,1597.00,2340816852,1466191,238,D,1599.00,1600.00
Darab.Cement,20190112,1590.00,1590.00,1590.00,1599.00,1087159257,680108,178,D,1610.00,1600.00
Darab.Cement,20190109,1606.00,1640.00,1594.00,1610.00,1581680859,982242,187,D,1616.00,1600.00
Darab.Cement,20190108,1585.00,1640.00,1580.00,1616.00,1990383714,1231518,217,D,1607.00,1620.00
Darab.Cement,20190107,1679.00,1679.00,1580.00,1607.00,4702626404,2925454,402,D,1631.00,1583.00
Darab.Cement,20190106,1630.00,1659.00,1610.00,1631.00,4589755795,2813517,333,D,1627.00,1620.00
Darab.Cement,20190105,1650.00,1650.00,1592.00,1627.00,3119968266,1917883,274,D,1638.00,1620.00
Darab.Cement,20190102,1714.00,1749.00,1628.00,1638.00,10147370886,6193419,779,D,1713.00,1647.00
Darab.Cement,20190101,1713.00,1749.00,1650.00,1713.00,6986708432,4079507,612,D,1667.00,1707.00
Darab.Cement,20181231,1624.00,1687.00,1605.00,1667.00,10493812949,6295905,678,D,1607.00,1687.00
Darab.Cement,20181230,1575.00,1640.00,1572.00,1607.00,10262939364,6388285,704,D,1563.00,1590.00
Darab.Cement,20181229,1529.00,1564.00,1499.00,1563.00,10783306246,6900670,585,D,1490.00,1564.00
Darab.Cement,20181226,1449.00,1520.00,1449.00,1490.00,1008075426,676401,119,D,1482.00,1485.00
Darab.Cement,20181225,1465.00,1488.00,1430.00,1482.00,3834048335,2586612,208,D,1418.00,1488.00
Darab.Cement,20181224,1418.00,1452.00,1417.00,1418.00,149709824,104646,34,D,1413.00,1421.00
Darab.Cement,20181223,1403.00,1440.00,1363.00,1413.00,665232183,470885,80,D,1391.00,1440.00
Darab.Cement,20181222,1373.00,1400.00,1370.00,1391.00,563866911,405492,79,D,1387.00,1400.00
Darab.Cement,20181219,1407.00,1420.00,1340.00,1387.00,1000215457,721117,61,D,1402.00,1372.00
Darab.Cement,20181218,1405.00,1405.00,1400.00,1402.00,211842375,151273,22,D,1403.00,1400.00
Darab.Cement,20181217,1371.00,1467.00,1371.00,1403.00,374678273,267165,57,D,1406.00,1420.00
Darab.Cement,20181216,1424.00,1459.00,1381.00,1406.00,630983757,448927,82,D,1437.00,1401.00
Darab.Cement,20181215,1450.00,1484.00,1425.00,1437.00,973390966,677407,115,D,1469.00,1429.00
Darab.Cement,20181212,1483.00,1499.00,1425.00,1469.00,791130215,538726,77,D,1482.00,1490.00
Darab.Cement,20181211,1558.00,1558.00,1467.00,1482.00,702990890,474301,89,D,1544.00,1497.00
Darab.Cement,20181210,1588.00,1590.00,1476.00,1544.00,290263628,188856,64,D,1552.00,1476.00
Darab.Cement,20181209,1590.00,1610.00,1530.00,1552.00,557225908,359040,86,D,1610.00,1555.00
Darab.Cement,20181208,1620.00,1629.00,1505.00,1610.00,2379529675,1478273,182,D,1552.00,1600.00
Darab.Cement,20181205,1491.00,1566.00,1482.00,1552.00,3918899567,2524556,190,D,1492.00,1566.00
Darab.Cement,20181204,1471.00,1509.00,1460.00,1492.00,2956489293,1981981,145,D,1494.00,1487.00
Darab.Cement,20181203,1470.00,1510.00,1470.00,1494.00,552786494,370090,60,D,1495.00,1490.00
Darab.Cement,20181202,1514.00,1514.00,1480.00,1495.00,1361195205,910622,104,D,1468.00,1481.00
Darab.Cement,20181201,1459.00,1500.00,1443.00,1468.00,1734886975,1181446,98,D,1490.00,1499.00
Darab.Cement,20181128,1496.00,1520.00,1430.00,1490.00,1078603488,723752,70,D,1496.00,1498.00
Darab.Cement,20181127,1489.00,1499.00,1476.00,1496.00,351054558,235068,35,D,1502.00,1480.00
Darab.Cement,20181126,1550.00,1550.00,1460.00,1502.00,323507812,217880,38,D,1528.00,1476.00
Darab.Cement,20181124,1523.00,1549.00,1500.00,1528.00,822003978,538130,81,D,1477.00,1527.00
Darab.Cement,20181121,1455.00,1508.00,1453.00,1477.00,621720828,420954,60,D,1480.00,1473.00
Darab.Cement,20181120,1517.00,1517.00,1450.00,1480.00,443055924,300513,52,D,1510.00,1500.00
Darab.Cement,20181119,1520.00,1520.00,1465.00,1510.00,218368453,144847,33,D,1512.00,1519.00
Darab.Cement,20181118,1532.00,1532.00,1460.00,1512.00,163429186,111144,40,D,1531.00,1468.00
Darab.Cement,20181117,1442.00,1580.00,1442.00,1531.00,655045008,427883,92,D,1505.00,1484.00
Darab.Cement,20181114,1450.00,1532.00,1448.00,1505.00,585148351,388769,90,D,1494.00,1530.00
Darab.Cement,20181113,1530.00,1534.00,1471.00,1494.00,400586893,267766,44,D,1489.00,1481.00
Darab.Cement,20181112,1520.00,1527.00,1450.00,1489.00,424624316,285185,50,D,1490.00,1515.00
Darab.Cement,20181111,1548.00,1548.00,1454.00,1490.00,990056159,664259,66,D,1509.00,1464.00
Darab.Cement,20181110,1495.00,1579.00,1486.00,1509.00,460030167,305651,64,D,1532.00,1540.00
Darab.Cement,20181106,1520.00,1550.00,1505.00,1532.00,825181955,538603,121,D,1541.00,1523.00
Darab.Cement,20181105,1532.00,1570.00,1510.00,1541.00,709444803,460487,67,D,1534.00,1517.00
Darab.Cement,20181104,1569.00,1570.00,1525.00,1534.00,2068792201,1348586,145,D,1605.00,1525.00
Darab.Cement,20181103,1669.00,1687.00,1570.00,1605.00,786450106,489854,57,D,1635.00,1570.00
Darab.Cement,20181031,1650.00,1700.00,1581.00,1635.00,1346694959,823799,164,D,1651.00,1581.00
Darab.Cement,20181029,1631.00,1661.00,1525.00,1651.00,2752219439,1667258,209,D,1582.00,1650.00
Darab.Cement,20181028,1509.00,1630.00,1508.00,1582.00,1853549084,1171443,136,D,1560.00,1630.00
Darab.Cement,20181027,1469.00,1614.00,1469.00,1560.00,1248499108,800571,93,D,1542.00,1558.00
Darab.Cement,20181024,1550.00,1567.00,1452.00,1542.00,1680927909,1089833,162,D,1494.00,1555.00
Darab.Cement,20181023,1520.00,1600.00,1478.00,1494.00,4597105429,3076836,267,D,1555.00,1546.00
Darab.Cement,20181022,1648.00,1648.00,1533.00,1555.00,2193690653,1410715,167,D,1613.00,1533.00
Darab.Cement,20181021,1617.00,1617.00,1545.00,1613.00,11777794042,7300419,618,D,1540.00,1600.00
Darab.Cement,20181020,1540.00,1540.00,1540.00,1540.00,3674346060,2385939,104,D,1467.00,1540.00
Darab.Cement,20181017,1420.00,1548.00,1420.00,1467.00,28781348956,19622896,1876,D,1475.00,1548.00
Darab.Cement,20181016,1540.00,1540.00,1430.00,1475.00,1030910845,699130,104,D,1477.00,1460.00
Darab.Cement,20181015,1410.00,1482.00,1410.00,1477.00,4565360415,3090225,246,D,1412.00,1480.00
Darab.Cement,20181014,1405.00,1448.00,1384.00,1412.00,577751123,409024,49,D,1456.00,1410.00
Darab.Cement,20181013,1500.00,1587.00,1437.00,1456.00,1899591110,1304536,109,D,1512.00,1437.00
Darab.Cement,20181010,1512.00,1520.00,1512.00,1512.00,9268553053,6129871,346,D,1591.00,1512.00
