<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Daroupakhsh,20190227,3920.00,4106.00,3920.00,4051.00,15605548850,3852119,318,D,3911.00,4106.00
Daroupakhsh,20190226,3930.00,3950.00,3889.00,3911.00,1502660970,384252,47,D,3869.00,3925.00
Daroupakhsh,20190225,3830.00,3919.00,3830.00,3869.00,1475748124,381473,48,D,3912.00,3871.00
Daroupakhsh,20190224,3852.00,3997.00,3850.00,3912.00,997196081,254930,53,D,3830.00,3936.00
Daroupakhsh,20190223,3800.00,3850.00,3800.00,3830.00,691367273,180526,69,D,3881.00,3820.00
Daroupakhsh,20190220,3870.00,3976.00,3782.00,3881.00,697778143,179797,50,D,3827.00,3782.00
Daroupakhsh,20190219,3710.00,3950.00,3710.00,3827.00,385749990,100527,30,D,3793.00,3850.00
Daroupakhsh,20190218,3701.00,3874.00,3701.00,3793.00,569434559,150121,36,D,3865.00,3800.00
Daroupakhsh,20190217,3850.00,3878.00,3830.00,3865.00,234893352,60700,12,D,3861.00,3878.00
Daroupakhsh,20190216,3887.00,3899.00,3789.00,3861.00,255966494,66496,23,D,3874.00,3899.00
Daroupakhsh,20190213,3901.00,3902.00,3802.00,3874.00,404039578,104359,22,D,3891.00,3887.00
Daroupakhsh,20190212,4083.00,4083.00,3850.00,3891.00,447463288,115234,42,D,4034.00,4024.00
Daroupakhsh,20190210,4011.00,4012.00,3974.00,4034.00,316690600,79250,23,D,4106.00,3974.00
Daroupakhsh,20190206,4100.00,4139.00,4010.00,4106.00,302598285,74100,25,D,4139.00,4139.00
Daroupakhsh,20190205,4100.00,4170.00,4010.00,4139.00,1845884225,445932,71,D,4062.00,4100.00
Daroupakhsh,20190204,4047.00,4080.00,3950.00,4062.00,815389930,200750,49,D,3923.00,4080.00
Daroupakhsh,20190203,4150.00,4150.00,3911.00,3923.00,837171398,213378,45,D,4078.00,3911.00
Daroupakhsh,20190202,4100.00,4180.00,4001.00,4078.00,1127959727,276624,96,D,4037.00,4028.00
Daroupakhsh,20190130,3965.00,4068.00,3871.00,4037.00,5893720020,1459763,179,D,3875.00,4068.00
Daroupakhsh,20190129,3938.00,3940.00,3800.00,3875.00,545038109,140652,41,D,3831.00,3900.00
Daroupakhsh,20190128,3948.00,3948.00,3751.00,3831.00,515696099,134606,34,D,3855.00,3900.00
Daroupakhsh,20190127,3956.00,3956.00,3764.00,3855.00,2202071665,571186,116,D,3962.00,3831.00
Daroupakhsh,20190126,3913.00,4072.00,3912.00,3962.00,1928269653,486689,100,D,4037.00,3933.00
Daroupakhsh,20190123,3900.00,4098.00,3900.00,4037.00,953527603,236218,47,D,4011.00,3953.00
Daroupakhsh,20190122,3882.00,4149.00,3882.00,4011.00,1131632160,282142,76,D,4084.00,3980.00
Daroupakhsh,20190121,4150.00,4150.00,4082.00,4084.00,549660696,134574,30,D,4296.00,4082.00
Daroupakhsh,20190120,4477.00,4477.00,4227.00,4296.00,2798798007,651446,92,D,4449.00,4228.00
Daroupakhsh,20190119,4449.00,4475.00,4300.00,4449.00,3229155663,725851,135,D,4262.00,4360.00
