<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Dashtestan.Ce.,20190227,2286.00,2288.00,2286.00,2394.00,104524454,45720,23,D,2406.00,2286.00
Dashtestan.Ce.,20190226,2288.00,2288.00,2288.00,2406.00,19562400,8550,5,D,2408.00,2288.00
Dashtestan.Ce.,20190225,2304.00,2479.00,2304.00,2408.00,153222592,66409,21,D,2425.00,2360.00
Dashtestan.Ce.,20190224,2309.00,2399.00,2309.00,2425.00,45826566,19784,15,D,2430.00,2350.00
Dashtestan.Ce.,20190223,2330.00,2415.00,2329.00,2430.00,191420352,82189,28,D,2451.00,2329.00
Dashtestan.Ce.,20190220,2347.00,2490.00,2347.00,2451.00,184004562,78137,41,D,2470.00,2379.00
Dashtestan.Ce.,20190219,2349.00,2349.00,2349.00,2470.00,14925546,6354,10,D,2472.00,2349.00
Dashtestan.Ce.,20190218,2350.00,2350.00,2350.00,2472.00,7574050,3223,7,D,2473.00,2350.00
Dashtestan.Ce.,20190217,2351.00,2351.00,2351.00,2473.00,11809073,5023,12,D,2474.00,2351.00
Dashtestan.Ce.,20190216,2396.00,2396.00,2396.00,2474.00,1054240,440,1,D,2474.00,2396.00
Dashtestan.Ce.,20190213,2360.00,2399.00,2360.00,2474.00,98925537,41807,28,D,2484.00,2398.00
Dashtestan.Ce.,20190212,2370.00,2492.00,2368.00,2484.00,84551445,35411,30,D,2492.00,2400.00
Dashtestan.Ce.,20190206,2372.00,2436.00,2371.00,2492.00,37393948,15598,14,D,2495.00,2378.00
Dashtestan.Ce.,20190204,2400.00,2476.00,2387.00,2495.00,156888705,65607,10,D,2512.00,2476.00
Dashtestan.Ce.,20190202,2460.00,2460.00,2403.00,2512.00,195013750,80250,23,D,2529.00,2403.00
Dashtestan.Ce.,20190130,2460.00,2555.00,2460.00,2529.00,757735909,302560,60,D,2572.00,2493.00
Dashtestan.Ce.,20190129,2534.00,2694.00,2534.00,2572.00,220512726,85292,21,D,2569.00,2600.00
Dashtestan.Ce.,20190128,2570.00,2635.00,2531.00,2569.00,827791329,318689,59,D,2510.00,2634.00
Dashtestan.Ce.,20190127,2577.00,2577.00,2421.00,2510.00,702218071,275530,77,D,2455.00,2577.00
Dashtestan.Ce.,20190126,2459.00,2493.00,2333.00,2455.00,1436303736,585096,135,D,2375.00,2493.00
Dashtestan.Ce.,20190123,2322.00,2500.00,2322.00,2375.00,2981690773,1255542,175,D,2444.00,2467.00
Dashtestan.Ce.,20190122,2334.00,2334.00,2334.00,2444.00,109726008,47012,9,D,2456.00,2334.00
Dashtestan.Ce.,20190121,2334.00,2334.00,2334.00,2456.00,2046918,877,2,D,2456.00,2334.00
Dashtestan.Ce.,20190120,2456.00,2456.00,2456.00,2456.00,3539096,1441,2,D,2585.00,2456.00
Dashtestan.Ce.,20190119,2457.00,2457.00,2457.00,2585.00,7371000,3000,2,D,2586.00,2457.00
Dashtestan.Ce.,20190116,2458.00,2458.00,2458.00,2586.00,7398580,3010,2,D,2587.00,2458.00
Dashtestan.Ce.,20190115,2460.00,2460.00,2460.00,2587.00,17852220,7257,4,D,2589.00,2460.00
Dashtestan.Ce.,20190114,2461.00,2461.00,2461.00,2589.00,8994955,3655,3,D,2590.00,2461.00
Dashtestan.Ce.,20190113,2462.00,2462.00,2462.00,2590.00,10291160,4180,7,D,2591.00,2462.00
Dashtestan.Ce.,20190112,2465.00,0.00,0.00,2591.00,28174950,11430,4,D,2594.00,2465.00
Dashtestan.Ce.,20190109,2471.00,2471.00,2471.00,2594.00,66341408,26848,8,D,2601.00,2471.00
Dashtestan.Ce.,20190108,2472.00,2472.00,2472.00,2601.00,12360000,5000,1,D,2602.00,2472.00
Dashtestan.Ce.,20190107,2474.00,2474.00,2474.00,2602.00,13846978,5597,4,D,2604.00,2474.00
Dashtestan.Ce.,20190106,2475.00,2475.00,2475.00,2604.00,6142950,2482,2,D,2605.00,2475.00
Dashtestan.Ce.,20190102,2475.00,2475.00,2475.00,2605.00,3625875,1465,2,D,2605.00,2475.00
Dashtestan.Ce.,20190101,2477.00,2477.00,2477.00,2605.00,16598377,6701,4,D,2607.00,2477.00
Dashtestan.Ce.,20181231,2493.00,2493.00,2493.00,2607.00,150499917,60369,7,D,2624.00,2493.00
Dashtestan.Ce.,20181230,2493.00,2493.00,2493.00,2624.00,2288574,918,2,D,2624.00,2493.00
Dashtestan.Ce.,20181229,2494.00,2494.00,2494.00,2624.00,9976000,4000,2,D,2625.00,2494.00
Dashtestan.Ce.,20181226,2495.00,2495.00,2495.00,2625.00,7035900,2820,4,D,2626.00,2495.00
Dashtestan.Ce.,20181223,2496.00,2496.00,2496.00,2626.00,4992000,2000,2,D,2627.00,2496.00
Dashtestan.Ce.,20181222,2496.00,2496.00,2496.00,2627.00,2496000,1000,1,D,2627.00,2496.00
Dashtestan.Ce.,20181212,2496.00,2496.00,2496.00,2627.00,2770560,1110,3,D,2627.00,2496.00
