<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Fajr.Petrochemical,20190227,7165.00,7500.00,7163.00,7372.00,19458947011,2639433,246,D,7203.00,7490.00
Fajr.Petrochemical,20190226,7398.00,7398.00,7105.00,7203.00,17580710979,2440592,224,D,7424.00,7181.00
Fajr.Petrochemical,20190225,7351.00,7450.00,7350.00,7424.00,5481991928,740346,135,D,7447.00,7450.00
Fajr.Petrochemical,20190224,7500.00,7506.00,7302.00,7447.00,13646296955,1832401,132,D,7535.00,7496.00
Fajr.Petrochemical,20190223,7275.00,7648.00,7275.00,7535.00,12836873990,1703570,295,D,7380.00,7500.00
Fajr.Petrochemical,20190220,7260.00,7599.00,7250.00,7380.00,6997990216,946897,203,D,7354.00,7273.00
Fajr.Petrochemical,20190219,7599.00,7599.00,7222.00,7354.00,12285409483,1670475,241,D,7466.00,7310.00
Fajr.Petrochemical,20190218,7690.00,7690.00,7351.00,7466.00,12757441253,1708754,216,D,7629.00,7440.00
Fajr.Petrochemical,20190217,7607.00,7880.00,7410.00,7629.00,8923179257,1168713,295,D,7581.00,7590.00
Fajr.Petrochemical,20190216,7695.00,7695.00,7406.00,7581.00,4021880309,537647,224,D,7652.00,7530.00
Fajr.Petrochemical,20190213,7278.00,7879.00,7260.00,7652.00,16510151867,2157498,399,D,7581.00,7700.00
Fajr.Petrochemical,20190212,7588.00,7689.00,7350.00,7581.00,4228487469,569742,139,D,7706.00,7440.00
Fajr.Petrochemical,20190210,7601.00,7785.00,7581.00,7706.00,4310834869,562600,118,D,7739.00,7607.00
Fajr.Petrochemical,20190206,7800.00,7800.00,7600.00,7739.00,7371570393,959021,293,D,7856.00,7687.00
Fajr.Petrochemical,20190205,7798.00,7897.00,7662.00,7856.00,106582855058,13567416,1225,D,7521.00,7779.00
Fajr.Petrochemical,20190204,7221.00,7544.00,7221.00,7521.00,54073389585,7189476,383,D,7185.00,7544.00
Fajr.Petrochemical,20190203,7200.00,7220.00,7130.00,7185.00,25900569422,3605008,222,D,7205.00,7163.00
Fajr.Petrochemical,20190202,7225.00,7308.00,7120.00,7205.00,6342015536,881022,91,D,7216.00,7180.00
Fajr.Petrochemical,20190130,7190.00,7379.00,7053.00,7216.00,7605575862,1051557,140,D,7155.00,7150.00
Fajr.Petrochemical,20190129,7358.00,7390.00,7070.00,7155.00,12966029006,1812206,189,D,7290.00,7071.00
Fajr.Petrochemical,20190128,7270.00,7500.00,7206.00,7290.00,7608647080,1042864,151,D,7270.00,7206.00
Fajr.Petrochemical,20190127,7300.00,7400.00,7200.00,7270.00,14272469690,1963264,175,D,7388.00,7259.00
Fajr.Petrochemical,20190126,7390.00,7390.00,7272.00,7388.00,5767080385,789257,148,D,7506.00,7287.00
Fajr.Petrochemical,20190123,7527.00,7640.00,7248.00,7506.00,12152987287,1619082,225,D,7393.00,7390.00
Fajr.Petrochemical,20190122,7221.00,7527.00,7221.00,7393.00,13038961815,1763626,115,D,7326.00,7400.00
Fajr.Petrochemical,20190121,7300.00,7404.00,7230.00,7326.00,37934138708,5178260,304,D,7478.00,7300.00
Fajr.Petrochemical,20190120,7600.00,7600.00,7387.00,7478.00,22897227562,3061898,252,D,7524.00,7400.00
Fajr.Petrochemical,20190119,7374.00,7653.00,7300.00,7524.00,80873672832,10749154,744,D,7289.00,7652.00
Fajr.Petrochemical,20190116,7202.00,7377.00,7202.00,7289.00,10180221778,1396586,125,D,7381.00,7279.00
Fajr.Petrochemical,20190115,7161.00,7455.00,7161.00,7381.00,13478046027,1825985,239,D,7182.00,7330.00
Fajr.Petrochemical,20190114,7189.00,7366.00,7153.00,7182.00,11063024089,1540277,444,D,7210.00,7160.00
Fajr.Petrochemical,20190113,7369.00,7490.00,7153.00,7210.00,34228522275,4747098,268,D,7425.00,7319.00
Fajr.Petrochemical,20190112,7473.00,7533.00,7200.00,7425.00,16487292852,2220601,379,D,7430.00,7429.00
Fajr.Petrochemical,20190109,7499.00,7616.00,7200.00,7430.00,41691734923,5610954,471,D,7411.00,7300.00
Fajr.Petrochemical,20190102,7311.00,7533.00,7169.00,7411.00,10727810595,1447506,380,D,7417.00,7450.00
Fajr.Petrochemical,20190101,7575.00,7578.00,7311.00,7417.00,11141344254,1502234,294,D,7524.00,7410.00
Fajr.Petrochemical,20181231,7639.00,7639.00,7370.00,7524.00,12906927528,1715504,432,D,7564.00,7450.00
Fajr.Petrochemical,20181230,7594.00,7685.00,7490.00,7564.00,10486920905,1386430,497,D,7513.00,7570.00
Fajr.Petrochemical,20181229,7366.00,7545.00,7300.00,7513.00,18169422590,2418348,567,D,7235.00,7480.00
Fajr.Petrochemical,20181226,7008.00,7358.00,7007.00,7235.00,24463028286,3381154,451,D,7008.00,7358.00
Fajr.Petrochemical,20181225,7173.00,7173.00,6913.00,7008.00,13018612188,1857621,356,D,7132.00,7092.00
Fajr.Petrochemical,20181224,7170.00,7170.00,7102.00,7132.00,7592642500,1063057,319,D,7100.00,7159.00
Fajr.Petrochemical,20181223,7060.00,7174.00,6999.00,7100.00,20691371628,2914244,405,D,7008.00,7150.00
Fajr.Petrochemical,20181222,7000.00,7016.00,6902.00,7008.00,1566930610,224950,290,D,7016.00,6959.00
Fajr.Petrochemical,20181219,7190.00,7190.00,6980.00,7016.00,10652911499,1518270,353,D,7213.00,7056.00
Fajr.Petrochemical,20181218,7144.00,7279.00,6952.00,7213.00,21237742172,2944377,358,D,7144.00,7100.00
Fajr.Petrochemical,20181217,7351.00,7351.00,6960.00,7144.00,21694380369,3036920,401,D,7244.00,7000.00
Fajr.Petrochemical,20181216,7298.00,7500.00,7080.00,7244.00,15609462277,2154768,468,D,7280.00,7290.00
Fajr.Petrochemical,20181215,7220.00,7440.00,7100.00,7280.00,5246269760,730476,377,D,7395.00,7248.00
Fajr.Petrochemical,20181212,7300.00,7540.00,7291.00,7395.00,11160288066,1509178,411,D,7449.00,7399.00
Fajr.Petrochemical,20181211,7494.00,7569.00,7314.00,7449.00,9264680188,1243481,373,D,7431.00,7322.00
Fajr.Petrochemical,20181210,7570.00,7570.00,7311.00,7431.00,10462162161,1407921,342,D,7516.00,7410.00
Fajr.Petrochemical,20181209,7630.00,7777.00,7407.00,7516.00,26590239722,3538018,585,D,7451.00,7412.00
Fajr.Petrochemical,20181208,7450.00,7594.00,7280.00,7451.00,11783683618,1581498,463,D,7450.00,7570.00
Fajr.Petrochemical,20181205,7301.00,7594.00,7299.00,7450.00,16620916953,2231142,255,D,7439.00,7440.00
Fajr.Petrochemical,20181204,7495.00,7594.00,7250.00,7439.00,12917502531,1736367,522,D,7525.00,7404.00
Fajr.Petrochemical,20181203,7550.00,7574.00,7000.00,7525.00,55324551604,7352162,776,D,7214.00,7380.00
Fajr.Petrochemical,20181202,6720.00,7236.00,6720.00,7214.00,20668805222,2865212,299,D,6892.00,7236.00
Fajr.Petrochemical,20181201,7390.00,7450.00,6851.00,6892.00,38613083652,5602935,339,D,7211.00,6851.00
Fajr.Petrochemical,20181128,7550.00,7550.00,7180.00,7211.00,28947661516,4014126,496,D,7557.00,7240.00
Fajr.Petrochemical,20181127,7300.00,7818.00,7300.00,7557.00,14528840243,1922676,505,D,7568.00,7520.00
Fajr.Petrochemical,20181126,7547.00,7830.00,7340.00,7568.00,21690318548,2866149,737,D,7547.00,7497.00
Fajr.Petrochemical,20181124,7849.00,7849.00,7450.00,7547.00,40289360884,5338383,1194,D,7842.00,7699.00
Fajr.Petrochemical,20181121,7844.00,7844.00,7551.00,7842.00,237934234087,30342936,1815,D,7471.00,7841.00
Fajr.Petrochemical,20181120,7471.00,7471.00,7471.00,7471.00,142383782316,19058196,522,D,7116.00,7471.00
Fajr.Petrochemical,20181119,6847.00,7240.00,6847.00,7116.00,33555806912,4715391,378,D,6909.00,7194.00
Fajr.Petrochemical,20181118,7002.00,7220.00,6830.00,6909.00,34999781482,5065607,397,D,7076.00,6990.00
Fajr.Petrochemical,20181117,7021.00,7241.00,6971.00,7076.00,15612108052,2206394,308,D,7182.00,6991.00
Fajr.Petrochemical,20181114,7077.00,7300.00,7000.00,7182.00,21800815877,3035625,232,D,7098.00,7198.00
Fajr.Petrochemical,20181113,7050.00,7250.00,6980.00,7098.00,19999811866,2817581,269,D,7008.00,7050.00
Fajr.Petrochemical,20181112,7090.00,7190.00,6904.00,7008.00,13821790823,1972403,218,D,7121.00,7115.00
Fajr.Petrochemical,20181111,7100.00,7250.00,6901.00,7121.00,9549976846,1341843,147,D,7256.00,7090.00
Fajr.Petrochemical,20181110,7230.00,7350.00,7100.00,7256.00,13951129234,1922781,222,D,7239.00,7199.00
Fajr.Petrochemical,20181106,7150.00,7345.00,7050.00,7239.00,12137053189,1676561,228,D,7194.00,7230.00
Fajr.Petrochemical,20181105,7138.00,7288.00,7100.00,7194.00,8287493244,1148334,140,D,7101.00,7115.00
Fajr.Petrochemical,20181104,7300.00,7300.00,6900.00,7101.00,16004437436,2253806,263,D,7158.00,7090.00
Fajr.Petrochemical,20181103,7188.00,7368.00,6863.00,7158.00,23394525119,3268504,271,D,7019.00,7130.00
Fajr.Petrochemical,20181031,6970.00,7150.00,6850.00,7019.00,11411439402,1625698,197,D,6858.00,6970.00
Fajr.Petrochemical,20181029,6700.00,7000.00,6700.00,6858.00,11805884943,1721390,225,D,6702.00,6800.00
Fajr.Petrochemical,20181028,6420.00,6979.00,6420.00,6702.00,21676033568,3234432,401,D,6665.00,6770.00
Fajr.Petrochemical,20181027,6509.00,7120.00,6509.00,6665.00,10651415119,1598215,257,D,6789.00,6620.00
Fajr.Petrochemical,20181024,7000.00,7098.00,6745.00,6789.00,50370909582,7419007,454,D,7099.00,6745.00
Fajr.Petrochemical,20181023,7098.00,7149.00,7098.00,7099.00,105591909232,14874716,709,D,7471.00,7098.00
Fajr.Petrochemical,20181022,7625.00,7699.00,7261.00,7471.00,32541235781,4355393,552,D,7638.00,7502.00
Fajr.Petrochemical,20181021,7796.00,7800.00,7321.00,7638.00,37410461726,4897943,689,D,7705.00,7670.00
Fajr.Petrochemical,20181020,7745.00,7761.00,7556.00,7705.00,64069114833,8315298,864,D,7392.00,7700.00
Fajr.Petrochemical,20181017,7000.00,7463.00,6880.00,7392.00,50868440711,6881819,671,D,7108.00,7463.00
Fajr.Petrochemical,20181016,7009.00,7116.00,6990.00,7108.00,66748475150,9390846,643,D,6778.00,7116.00
