<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ghadir.Inv.,20190227,1860.00,1860.00,1860.00,1860.00,1320600000000,710000000,6,D,1830.00,1860.00
Ghadir.Inv.,20190225,1860.00,1860.00,1860.00,1860.00,1320600000000,710000000,2,D,1821.00,1860.00
Ghadir.Inv.,20190219,1710.00,1710.00,1710.00,1710.00,25650000000,15000000,1,D,1692.00,1710.00
Ghadir.Inv.,20190217,1690.00,1690.00,1690.00,1690.00,25350000000,15000000,1,D,1694.00,1690.00
Ghadir.Inv.,20190213,1670.00,1670.00,1670.00,1670.00,16700000000,10000000,1,D,1693.00,1670.00
Ghadir.Inv.,20190212,1680.00,1680.00,1680.00,1680.00,25200000000,15000000,1,D,1708.00,1680.00
Ghadir.Inv.,20190204,1690.00,1690.00,1690.00,1690.00,16900000000,10000000,1,D,1688.00,1690.00
Ghadir.Inv.,20190129,1690.00,1690.00,1690.00,1690.00,42250000000,25000000,1,D,1700.00,1690.00
Ghadir.Inv.,20190123,1700.00,1700.00,1700.00,1700.00,34000000000,20000000,1,D,1718.00,1700.00
Ghadir.Inv.,20190122,1713.00,1713.00,1713.00,1713.00,29900115225,17454825,1,D,1713.00,1713.00
Ghadir.Inv.,20190107,1705.00,1705.00,1705.00,1705.00,51150000000,30000000,1,D,1732.00,1705.00
Ghadir.Inv.,20181231,1727.00,1727.00,1727.00,1727.00,17270000000,10000000,1,D,1727.00,1727.00
Ghadir.Inv.,20181218,1666.00,1666.00,1666.00,1666.00,20020322000,12017000,1,D,1666.00,1666.00
Ghadir.Inv.,20181216,1680.00,1680.00,1680.00,1680.00,42000000000,25000000,1,D,1690.00,1680.00
Ghadir.Inv.,20181205,1700.00,1700.00,1700.00,1700.00,56557934100,33269373,1,D,1770.00,1700.00
Ghadir.Inv.,20181204,1700.00,1700.00,1700.00,1700.00,68000000000,40000000,1,D,1773.00,1700.00
Ghadir.Inv.,20181202,1597.00,1660.00,1597.00,1628.00,65140000000,40000000,3,D,1630.00,1660.00
Ghadir.Inv.,20181128,1700.00,1700.00,1700.00,1700.00,8500000000,5000000,1,D,1743.00,1700.00
Ghadir.Inv.,20181104,2100.00,2100.00,2100.00,2100.00,21000000000,10000000,1,D,2122.00,2100.00
Ghadir.Inv.,20181031,2120.00,2120.00,2120.00,2120.00,10600000000,5000000,1,D,2153.00,2120.00
Ghadir.Inv.,20180923,1917.00,1917.00,1917.00,1917.00,19170000000,10000000,1,D,1830.00,1917.00
Ghadir.Inv.,20180922,1760.00,1760.00,1760.00,1760.00,28755290080,16338233,1,D,1813.00,1760.00
Ghadir.Inv.,20180722,1228.00,1228.00,1228.00,1228.00,350348400000,285300000,1,D,1239.00,1228.00
Ghadir.Inv.,20180627,1403.00,1403.00,1403.00,1403.00,595428781953,424396851,1,D,1403.00,1403.00
Ghadir.Inv.,20180626,1414.00,1414.00,1414.00,1414.00,870493734446,615624989,1,D,1414.00,1414.00
Ghadir.Inv.,20180624,1300.00,1300.00,1300.00,1300.00,26000000000,20000000,1,D,1290.00,1300.00
Ghadir.Inv.,20180526,1064.00,1064.00,1064.00,1064.00,10640000000,10000000,1,D,1064.00,1064.00
Ghadir.Inv.,20180521,1070.00,1070.00,1070.00,1070.00,12840000000,12000000,1,D,1069.00,1070.00
Ghadir.Inv.,20180519,1080.00,1080.00,1080.00,1080.00,49680000000,46000000,1,D,1081.00,1080.00
Ghadir.Inv.,20180514,1080.00,1089.00,1080.00,1084.00,37935000000,35000000,2,D,1089.00,1089.00
Ghadir.Inv.,20180430,1060.00,1060.00,1060.00,1060.00,21200000000,20000000,1,D,1070.00,1060.00
Ghadir.Inv.,20180429,1080.00,1080.00,1080.00,1080.00,5400000000,5000000,1,D,1077.00,1080.00
Ghadir.Inv.,20180410,1145.00,1145.00,1145.00,1145.00,11450000000,10000000,1,D,1155.00,1145.00
Ghadir.Inv.,20180409,1164.00,1164.00,1164.00,1164.00,5820000000,5000000,1,D,1164.00,1164.00
Ghadir.Inv.,20180311,1353.00,1353.00,1353.00,1353.00,9471000000,7000000,1,D,1353.00,1353.00
Ghadir.Inv.,20180310,1351.00,1351.00,1351.00,1351.00,9862300000,7300000,1,D,1351.00,1351.00
Ghadir.Inv.,20180305,1380.00,1380.00,1380.00,1380.00,41400000000,30000000,1,D,1393.00,1380.00
Ghadir.Inv.,20180226,1377.00,1377.00,1377.00,1377.00,82620000000,60000000,1,D,1386.00,1377.00
Ghadir.Inv.,20180123,1400.00,1400.00,1400.00,1400.00,98000000000,70000000,2,D,1376.00,1400.00
Ghadir.Inv.,20180122,1380.00,1380.00,1370.00,1371.00,109700000000,80000000,4,D,1355.00,1370.00
