<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ghadir.Kh..L.,20190227,1418.00,1418.00,1356.00,1371.00,1521022402,1109300,176,D,1365.00,1374.00
Ghadir.Kh..L.,20190226,1409.00,1409.00,1341.00,1365.00,1079892818,791069,110,D,1390.00,1388.00
Ghadir.Kh..L.,20190225,1362.00,1409.00,1361.00,1390.00,1819855368,1309642,180,D,1384.00,1397.00
Ghadir.Kh..L.,20190224,1385.00,1431.00,1360.00,1384.00,943730198,682064,121,D,1380.00,1376.00
Ghadir.Kh..L.,20190223,1371.00,1426.00,1350.00,1380.00,1565961413,1134388,180,D,1370.00,1405.00
Ghadir.Kh..L.,20190220,1380.00,1385.00,1344.00,1370.00,709457537,517668,111,D,1339.00,1379.00
Ghadir.Kh..L.,20190219,1336.00,1360.00,1325.00,1339.00,757833341,566039,102,D,1325.00,1339.00
Ghadir.Kh..L.,20190218,1301.00,1388.00,1272.00,1325.00,836632750,631455,139,D,1337.00,1339.00
Ghadir.Kh..L.,20190217,1387.00,1387.00,1326.00,1337.00,3586514206,2683025,329,D,1395.00,1326.00
Ghadir.Kh..L.,20190216,1420.00,1423.00,1382.00,1395.00,820720634,588451,95,D,1407.00,1386.00
Ghadir.Kh..L.,20190213,1399.00,1419.00,1391.00,1407.00,1473228930,1046877,188,D,1384.00,1418.00
Ghadir.Kh..L.,20190212,1420.00,1420.00,1361.00,1384.00,3791763767,2739379,368,D,1432.00,1414.00
Ghadir.Kh..L.,20190210,1430.00,1445.00,1419.00,1432.00,794169088,554716,86,D,1419.00,1430.00
Ghadir.Kh..L.,20190206,1478.00,1478.00,1410.00,1419.00,1329679403,936791,162,D,1422.00,1445.00
Ghadir.Kh..L.,20190205,1450.00,1485.00,1411.00,1422.00,448419980,315496,85,D,1431.00,1415.00
Ghadir.Kh..L.,20190204,1407.00,1460.00,1407.00,1431.00,1199054110,837912,109,D,1425.00,1421.00
Ghadir.Kh..L.,20190203,1470.00,1470.00,1400.00,1425.00,1862319084,1306819,179,D,1467.00,1410.00
Ghadir.Kh..L.,20190202,1520.00,1520.00,1455.00,1467.00,872468962,594777,117,D,1493.00,1480.00
Ghadir.Kh..L.,20190130,1523.00,1523.00,1476.00,1493.00,815275104,545912,136,D,1495.00,1489.00
Ghadir.Kh..L.,20190129,1501.00,1520.00,1480.00,1495.00,1253932737,838988,162,D,1533.00,1485.00
Ghadir.Kh..L.,20190128,1530.00,1548.00,1505.00,1533.00,1377586560,898908,145,D,1499.00,1521.00
Ghadir.Kh..L.,20190127,1506.00,1529.00,1480.00,1499.00,1587300855,1058935,170,D,1506.00,1519.00
Ghadir.Kh..L.,20190126,1485.00,1530.00,1451.00,1506.00,955911979,634578,148,D,1498.00,1500.00
Ghadir.Kh..L.,20190123,1540.00,1540.00,1481.00,1498.00,1351452658,901920,139,D,1530.00,1510.00
Ghadir.Kh..L.,20190122,1460.00,1551.00,1460.00,1530.00,1252839131,818675,140,D,1491.00,1547.00
Ghadir.Kh..L.,20190121,1531.00,1531.00,1480.00,1491.00,1713955666,1149592,162,D,1557.00,1500.00
Ghadir.Kh..L.,20190120,1570.00,1580.00,1537.00,1557.00,1439301366,924612,124,D,1554.00,1550.00
Ghadir.Kh..L.,20190119,1543.00,1580.00,1531.00,1554.00,3302237003,2125019,259,D,1515.00,1570.00
Ghadir.Kh..L.,20190116,1529.00,1529.00,1500.00,1515.00,2954337358,1949520,200,D,1506.00,1510.00
Ghadir.Kh..L.,20190115,1501.00,1535.00,1485.00,1506.00,2222876034,1475897,160,D,1506.00,1518.00
Ghadir.Kh..L.,20190114,1511.00,1559.00,1500.00,1506.00,2938686919,1950750,207,D,1544.00,1502.00
Ghadir.Kh..L.,20190113,1540.00,1555.00,1501.00,1544.00,2243818849,1453232,221,D,1514.00,1501.00
Ghadir.Kh..L.,20190112,1526.00,1539.00,1499.00,1514.00,1015054875,670565,127,D,1513.00,1530.00
Ghadir.Kh..L.,20190109,1535.00,1535.00,1492.00,1513.00,1256711398,830433,139,D,1505.00,1528.00
