<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ghandi.Cables.,20190227,3099.00,3290.00,3099.00,3241.00,5841365546,1802271,414,D,3137.00,3268.00
Ghandi.Cables.,20190226,3054.00,3240.00,3054.00,3137.00,4955438543,1579506,335,D,3103.00,3085.00
Ghandi.Cables.,20190225,3090.00,3190.00,3001.00,3103.00,4270242534,1376363,339,D,3088.00,3123.00
Ghandi.Cables.,20190224,3091.00,3178.00,3049.00,3088.00,2472470396,800557,240,D,3156.00,3050.00
Ghandi.Cables.,20190223,3111.00,3246.00,3050.00,3156.00,4597527126,1456851,344,D,3105.00,3090.00
Ghandi.Cables.,20190220,3159.00,3221.00,3050.00,3105.00,6896823096,2221030,380,D,3194.00,3101.00
Ghandi.Cables.,20190219,3180.00,3290.00,3156.00,3194.00,1412931138,442346,109,D,3190.00,3156.00
Ghandi.Cables.,20190218,3200.00,3230.00,3164.00,3190.00,2003999292,628246,142,D,3178.00,3193.00
Ghandi.Cables.,20190217,3151.00,3244.00,3127.00,3178.00,1479646374,465546,108,D,3194.00,3200.00
Ghandi.Cables.,20190216,3300.00,3300.00,3155.00,3194.00,3227449611,1010580,207,D,3257.00,3234.00
Ghandi.Cables.,20190213,3288.00,3400.00,3152.00,3257.00,3441599523,1056554,251,D,3302.00,3240.00
Ghandi.Cables.,20190212,3456.00,3490.00,3276.00,3302.00,4134231664,1251902,252,D,3448.00,3276.00
Ghandi.Cables.,20190210,3340.00,3460.00,3340.00,3448.00,12661041842,3672459,553,D,3296.00,3460.00
Ghandi.Cables.,20190206,3122.00,3325.00,3122.00,3296.00,12002140378,3640927,450,D,3167.00,3325.00
Ghandi.Cables.,20190205,3170.00,3320.00,3100.00,3167.00,6095123758,1924552,335,D,3201.00,3100.00
Ghandi.Cables.,20190204,3200.00,3309.00,3100.00,3201.00,3905349822,1220034,262,D,3179.00,3160.00
Ghandi.Cables.,20190203,3280.00,3450.00,3135.00,3179.00,9605242127,3021074,419,D,3299.00,3212.00
Ghandi.Cables.,20190202,3477.00,3477.00,3287.00,3299.00,9023655333,2735342,342,D,3459.00,3287.00
Ghandi.Cables.,20190130,3529.00,3666.00,3390.00,3459.00,10724956219,3100676,518,D,3528.00,3401.00
Ghandi.Cables.,20190129,3528.00,3528.00,3528.00,3528.00,4617333504,1308768,116,D,3713.00,3528.00
Ghandi.Cables.,20190128,3713.00,3713.00,3713.00,3713.00,1755595512,472824,53,D,3908.00,3713.00
Ghandi.Cables.,20190127,3896.00,4000.00,3856.00,3908.00,7459251680,1908786,387,D,4058.00,3856.00
Ghandi.Cables.,20190126,4139.00,4148.00,3900.00,4058.00,19401928210,4780993,645,D,3951.00,3998.00
Ghandi.Cables.,20190123,3850.00,3970.00,3781.00,3951.00,18388064365,4654285,368,D,3781.00,3970.00
Ghandi.Cables.,20190122,3740.00,3788.00,3575.00,3781.00,11044505009,2920685,385,D,3608.00,3788.00
Ghandi.Cables.,20190121,3629.00,3780.00,3549.00,3608.00,11842690833,3281907,408,D,3735.00,3621.00
Ghandi.Cables.,20190120,3550.00,3759.00,3550.00,3735.00,19608699161,5250676,517,D,3580.00,3614.00
Ghandi.Cables.,20190119,3700.00,3700.00,3541.00,3580.00,17389463368,4857303,747,D,3727.00,3570.00
Ghandi.Cables.,20190116,3799.00,3894.00,3690.00,3727.00,12215769362,3278070,632,D,3884.00,3690.00
Ghandi.Cables.,20190115,3906.00,3906.00,3622.00,3884.00,50614920521,13032608,1404,D,3720.00,3898.00
Ghandi.Cables.,20190114,3720.00,3720.00,3720.00,3720.00,2596519080,697989,83,D,3543.00,3720.00
Ghandi.Cables.,20190113,3550.00,3588.00,3423.00,3543.00,9504239026,2682882,438,D,3418.00,3588.00
Ghandi.Cables.,20190112,3400.00,3400.00,3400.00,3418.00,9200939782,2691801,335,D,3258.00,3420.00
Ghandi.Cables.,20190109,3100.00,3325.00,3033.00,3258.00,11407861071,3501854,568,D,3167.00,3325.00
Ghandi.Cables.,20190108,3180.00,3232.00,3075.00,3167.00,11806060848,3727926,675,D,3092.00,3090.00
Ghandi.Cables.,20190107,3110.00,3110.00,3001.00,3092.00,26231226050,8482674,925,D,2962.00,3110.00
Ghandi.Cables.,20190106,2983.00,2983.00,2983.00,2962.00,611240564,204908,39,D,2841.00,2983.00
Ghandi.Cables.,20190105,2781.00,2848.00,2725.00,2841.00,3873543348,1363220,196,D,2713.00,2848.00
Ghandi.Cables.,20190102,2654.00,2780.00,2640.00,2713.00,4398241459,1621044,282,D,2672.00,2725.00
Ghandi.Cables.,20190101,2636.00,2726.00,2634.00,2672.00,2198128834,822773,202,D,2674.00,2680.00
Ghandi.Cables.,20181231,2630.00,2732.00,2630.00,2674.00,2128507640,796057,232,D,2726.00,2660.00
Ghandi.Cables.,20181230,2701.00,2765.00,2650.00,2726.00,3104807953,1139101,189,D,2697.00,2650.00
Ghandi.Cables.,20181229,2720.00,2739.00,2620.00,2697.00,2071241069,767982,182,D,2636.00,2730.00
Ghandi.Cables.,20181226,2616.00,2770.00,2586.00,2636.00,3675379114,1394039,256,D,2672.00,2709.00
Ghandi.Cables.,20181225,2613.00,2772.00,2613.00,2672.00,2637215257,986857,196,D,2748.00,2655.00
Ghandi.Cables.,20181224,2850.00,2850.00,2701.00,2748.00,3178981489,1156868,170,D,2740.00,2701.00
Ghandi.Cables.,20181223,2620.00,2756.00,2620.00,2740.00,2675042506,976406,166,D,2625.00,2756.00
Ghandi.Cables.,20181222,2610.00,2700.00,2580.00,2625.00,2074736720,790456,142,D,2644.00,2601.00
Ghandi.Cables.,20181219,2767.00,2820.00,2629.00,2644.00,3334578582,1261143,230,D,2767.00,2629.00
Ghandi.Cables.,20181218,2730.00,2850.00,2700.00,2767.00,2383232253,861170,125,D,2808.00,2700.00
Ghandi.Cables.,20181217,2791.00,2895.00,2720.00,2808.00,3891369794,1385795,224,D,2777.00,2782.00
Ghandi.Cables.,20181216,2802.00,2820.00,2732.00,2777.00,2614852876,941694,206,D,2852.00,2740.00
Ghandi.Cables.,20181215,3079.00,3080.00,2834.00,2852.00,3798465287,1331668,284,D,2983.00,2834.00
Ghandi.Cables.,20181212,3138.00,3138.00,2961.00,2983.00,9134506366,3062243,473,D,3116.00,2961.00
Ghandi.Cables.,20181211,3090.00,3186.00,3018.00,3116.00,6031531057,1935794,379,D,3037.00,3100.00
Ghandi.Cables.,20181210,2968.00,3053.00,2968.00,3037.00,14558294724,4794046,631,D,2908.00,3053.00
Ghandi.Cables.,20181209,2791.00,2959.00,2772.00,2908.00,6729200647,2314239,348,D,2827.00,2950.00
