<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ghazvin.Sugar,20190227,8112.00,8290.00,7876.00,7999.00,19654562541,2457093,848,D,8290.00,7950.00
Ghazvin.Sugar,20190226,7778.00,8385.00,7778.00,8290.00,16254985852,1960706,690,D,8055.00,8371.00
Ghazvin.Sugar,20190225,7913.00,8095.00,7913.00,8055.00,9773905894,1213469,445,D,7710.00,8090.00
Ghazvin.Sugar,20190224,7729.00,7850.00,7550.00,7710.00,8598007082,1115105,472,D,7917.00,7834.00
Ghazvin.Sugar,20190223,8448.00,8448.00,7729.00,7917.00,21564623705,2723849,976,D,8135.00,7810.00
Ghazvin.Sugar,20190220,7999.00,8173.00,7851.00,8135.00,21682796505,2665531,945,D,7784.00,8170.00
Ghazvin.Sugar,20190219,7606.00,7885.00,7605.00,7784.00,16181379322,2078841,554,D,7523.00,7871.00
Ghazvin.Sugar,20190218,7293.00,7532.00,7293.00,7523.00,30146525346,4007021,537,D,7174.00,7532.00
Ghazvin.Sugar,20190217,7099.00,7389.00,7099.00,7174.00,6049628098,843233,212,D,7101.00,7279.00
Ghazvin.Sugar,20190216,7125.00,7200.00,7074.00,7101.00,3265395723,459862,122,D,7103.00,7100.00
Ghazvin.Sugar,20190213,7081.00,7201.00,7080.00,7103.00,7074877639,996103,192,D,7120.00,7083.00
Ghazvin.Sugar,20190212,7136.00,7249.00,7062.00,7120.00,3741754537,525559,119,D,7124.00,7062.00
Ghazvin.Sugar,20190210,7170.00,7243.00,7073.00,7124.00,2975001247,417605,101,D,7182.00,7136.00
Ghazvin.Sugar,20190206,7300.00,7395.00,7120.00,7182.00,1966690658,273835,104,D,7238.00,7188.00
Ghazvin.Sugar,20190205,7160.00,7322.00,7160.00,7238.00,1818250465,251215,89,D,7172.00,7200.00
Ghazvin.Sugar,20190204,6921.00,7335.00,6921.00,7172.00,2078594143,289801,122,D,7150.00,7100.00
Ghazvin.Sugar,20190203,7450.00,7450.00,7061.00,7150.00,5325408390,744811,178,D,7417.00,7080.00
Ghazvin.Sugar,20190202,7500.00,7600.00,7331.00,7417.00,2083855278,280969,106,D,7390.00,7350.00
Ghazvin.Sugar,20190130,7454.00,7454.00,7328.00,7390.00,4139676321,560177,126,D,7523.00,7443.00
Ghazvin.Sugar,20190129,7401.00,7676.00,7200.00,7523.00,3293189926,437739,201,D,7462.00,7454.00
Ghazvin.Sugar,20190128,7360.00,7600.00,7179.00,7462.00,6395993067,857096,331,D,7556.00,7438.00
Ghazvin.Sugar,20190127,7600.00,7700.00,7330.00,7556.00,5189361761,686819,255,D,7609.00,7498.00
Ghazvin.Sugar,20190126,7559.00,7689.00,7500.00,7609.00,11973210804,1573505,482,D,7357.00,7600.00
Ghazvin.Sugar,20190123,7011.00,7402.00,7000.00,7357.00,24390922337,3315239,665,D,7050.00,7402.00
Ghazvin.Sugar,20190122,7050.00,7145.00,6950.00,7050.00,2141908748,303827,131,D,7007.00,7100.00
Ghazvin.Sugar,20190121,7023.00,7150.00,6927.00,7007.00,6586066842,939906,220,D,7049.00,7047.00
Ghazvin.Sugar,20190120,7170.00,7170.00,7020.00,7049.00,5764488054,817785,244,D,7080.00,7037.00
Ghazvin.Sugar,20190119,7152.00,7152.00,7002.00,7080.00,4603151192,650158,275,D,7177.00,7125.00
Ghazvin.Sugar,20190116,7151.00,7284.00,7150.00,7177.00,5326616697,742215,186,D,7101.00,7151.00
Ghazvin.Sugar,20190115,7211.00,7211.00,7001.00,7101.00,3233498895,455360,228,D,7200.00,7179.00
Ghazvin.Sugar,20190114,7295.00,7383.00,7126.00,7200.00,7323141724,1017120,296,D,7148.00,7210.00
Ghazvin.Sugar,20190113,7030.00,7270.00,7030.00,7148.00,5007449755,700538,254,D,7242.00,7270.00
Ghazvin.Sugar,20190112,7165.00,7300.00,7165.00,7242.00,4063703667,561155,239,D,7260.00,7102.00
Ghazvin.Sugar,20190109,7550.00,7643.00,7045.00,7260.00,8563759102,1179569,499,D,7407.00,7269.00
Ghazvin.Sugar,20190108,7290.00,7475.00,7203.00,7407.00,12577702511,1698126,603,D,7152.00,7450.00
Ghazvin.Sugar,20190107,7148.00,7203.00,7000.00,7152.00,26445015796,3697355,687,D,6860.00,7203.00
Ghazvin.Sugar,20190106,6676.00,7026.00,6510.00,6860.00,15112283287,2202854,559,D,6692.00,7026.00
Ghazvin.Sugar,20190105,7010.00,7010.00,6650.00,6692.00,8723893790,1303568,399,D,6970.00,6670.00
Ghazvin.Sugar,20190102,7275.00,7275.00,6790.00,6970.00,9518471287,1365562,414,D,7140.00,6900.00
Ghazvin.Sugar,20190101,7058.00,7290.00,7007.00,7140.00,16433914557,2301713,780,D,7057.00,7160.00
Ghazvin.Sugar,20181231,7199.00,7199.00,6927.00,7057.00,13204629779,1871129,710,D,6927.00,6972.00
Ghazvin.Sugar,20181230,6713.00,6955.00,6713.00,6927.00,38666402222,5581715,928,D,6624.00,6955.00
Ghazvin.Sugar,20181229,6398.00,6689.00,6280.00,6624.00,21804613399,3291717,697,D,6371.00,6689.00
Ghazvin.Sugar,20181226,6325.00,6450.00,6256.00,6371.00,7873809408,1235885,427,D,6250.00,6360.00
Ghazvin.Sugar,20181225,6011.00,6300.00,6011.00,6250.00,7927127300,1268247,319,D,6143.00,6290.00
Ghazvin.Sugar,20181224,6179.00,6220.00,6100.00,6143.00,3271147315,532479,181,D,6247.00,6125.00
Ghazvin.Sugar,20181223,6250.00,6375.00,6100.00,6247.00,4755796763,761277,298,D,6122.00,6100.00
Ghazvin.Sugar,20181222,5900.00,6161.00,5900.00,6122.00,8007263922,1307855,326,D,5868.00,6161.00
Ghazvin.Sugar,20181219,5954.00,5954.00,5754.00,5868.00,2614167185,445527,184,D,5838.00,5950.00
Ghazvin.Sugar,20181218,5870.00,5982.00,5748.00,5838.00,5566345235,953465,205,D,5870.00,5759.00
Ghazvin.Sugar,20181217,5780.00,5950.00,5780.00,5870.00,5764206140,981944,206,D,5901.00,5860.00
Ghazvin.Sugar,20181216,6099.00,6099.00,5858.00,5901.00,6679013435,1131801,226,D,6050.00,5918.00
Ghazvin.Sugar,20181215,6295.00,6295.00,5880.00,6050.00,9338707245,1543626,372,D,6137.00,5980.00
Ghazvin.Sugar,20181212,6019.00,6164.00,5900.00,6137.00,20716754798,3375481,522,D,5871.00,6100.00
Ghazvin.Sugar,20181211,5989.00,5989.00,5800.00,5871.00,3618316284,616342,202,D,5866.00,5880.00
Ghazvin.Sugar,20181210,6000.00,6167.00,5801.00,5866.00,5561356392,948126,365,D,6074.00,5900.00
Ghazvin.Sugar,20181209,6140.00,6200.00,5956.00,6074.00,4588963588,755512,235,D,6215.00,6000.00
Ghazvin.Sugar,20181208,6368.00,6368.00,6111.00,6215.00,5916911988,952016,255,D,6221.00,6111.00
Ghazvin.Sugar,20181205,6207.00,6398.00,6155.00,6221.00,2808372584,451444,181,D,6321.00,6158.00
Ghazvin.Sugar,20181204,6469.00,6469.00,6170.00,6321.00,2428542256,384192,142,D,6394.00,6200.00
Ghazvin.Sugar,20181203,6356.00,6470.00,6256.00,6394.00,3409637097,533220,185,D,6356.00,6399.00
Ghazvin.Sugar,20181202,6300.00,6400.00,6300.00,6356.00,1091907375,171783,100,D,6269.00,6378.00
Ghazvin.Sugar,20181201,6410.00,6660.00,6038.00,6269.00,20762472770,3311868,328,D,6355.00,6300.00
Ghazvin.Sugar,20181128,6495.00,6495.00,6250.00,6355.00,4351360629,684667,182,D,6346.00,6310.00
Ghazvin.Sugar,20181127,6251.00,6500.00,6250.00,6346.00,2604347793,410362,145,D,6303.00,6450.00
Ghazvin.Sugar,20181126,6588.00,6588.00,6201.00,6303.00,7577974584,1202225,220,D,6489.00,6250.00
Ghazvin.Sugar,20181124,6605.00,6628.00,6400.00,6489.00,6145513050,947056,266,D,6498.00,6400.00
Ghazvin.Sugar,20181121,6399.00,6568.00,6314.00,6498.00,11727522367,1804819,404,D,6256.00,6568.00
Ghazvin.Sugar,20181120,6300.00,6414.00,6126.00,6256.00,4915575671,785755,231,D,6308.00,6412.00
Ghazvin.Sugar,20181119,6053.00,6408.00,6040.00,6308.00,5428202658,860484,215,D,6148.00,6369.00
Ghazvin.Sugar,20181118,6350.00,6450.00,6123.00,6148.00,6038405779,982181,214,D,6445.00,6123.00
Ghazvin.Sugar,20181117,6508.00,6609.00,6202.00,6445.00,4699135451,729086,353,D,6418.00,6349.00
Ghazvin.Sugar,20181114,6372.00,6499.00,6200.00,6418.00,7790032575,1213795,299,D,6479.00,6450.00
Ghazvin.Sugar,20181113,6598.00,6598.00,6300.00,6479.00,7655754957,1181619,278,D,6313.00,6390.00
Ghazvin.Sugar,20181112,6180.00,6390.00,6095.00,6313.00,6955645010,1101801,289,D,6187.00,6390.00
Ghazvin.Sugar,20181111,6132.00,6369.00,6100.00,6187.00,6850633779,1107240,275,D,6283.00,6100.00
Ghazvin.Sugar,20181110,6240.00,6498.00,6150.00,6283.00,7311149304,1163668,382,D,6307.00,6150.00
Ghazvin.Sugar,20181106,6329.00,6349.00,6200.00,6307.00,9643767803,1529126,425,D,6047.00,6201.00
Ghazvin.Sugar,20181105,5750.00,6114.00,5750.00,6047.00,7870203244,1301443,294,D,5823.00,6114.00
Ghazvin.Sugar,20181104,5890.00,5998.00,5620.00,5823.00,7585378900,1302576,309,D,5775.00,5799.00
Ghazvin.Sugar,20181103,5698.00,5850.00,5650.00,5775.00,5221615211,904185,270,D,5632.00,5750.00
Ghazvin.Sugar,20181031,5769.00,5859.00,5562.00,5632.00,5009273982,889362,250,D,5743.00,5649.00
Ghazvin.Sugar,20181029,5890.00,5890.00,5640.00,5743.00,4557214592,793456,281,D,5679.00,5700.00
Ghazvin.Sugar,20181028,5500.00,5786.00,5321.00,5679.00,8058112156,1419033,330,D,5511.00,5680.00
Ghazvin.Sugar,20181027,5600.00,5688.00,5492.00,5511.00,7840297285,1422783,275,D,5781.00,5492.00
Ghazvin.Sugar,20181024,5790.00,5989.00,5774.00,5781.00,8151129181,1409933,238,D,6077.00,5774.00
Ghazvin.Sugar,20181023,6550.00,6550.00,6027.00,6077.00,8277989585,1362160,347,D,6344.00,6027.00
Ghazvin.Sugar,20181022,6361.00,6488.00,6278.00,6344.00,5490901362,865523,266,D,6394.00,6305.00
Ghazvin.Sugar,20181021,6750.00,6750.00,6300.00,6394.00,8772169700,1372011,296,D,6608.00,6388.00
Ghazvin.Sugar,20181020,6490.00,6622.00,6488.00,6608.00,11248410040,1702234,417,D,6307.00,6622.00
Ghazvin.Sugar,20181017,6645.00,6645.00,6267.00,6307.00,9327762717,1479055,446,D,6596.00,6359.00
Ghazvin.Sugar,20181016,6541.00,6737.00,6350.00,6596.00,26992452320,4092060,880,D,6541.00,6646.00
Ghazvin.Sugar,20181015,6526.00,6779.00,6526.00,6541.00,27269048341,4168936,714,D,6869.00,6526.00
