<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Golgohar.Ijara.17%,20190227,988000.00,988000.00,988000.00,988000.00,494000000,500,1,D,995000.00,988000.00
Golgohar.Ijara.17%,20190226,995000.00,995000.00,995000.00,995000.00,497500000,500,1,D,989500.00,995000.00
Golgohar.Ijara.17%,20190225,989500.00,989500.00,989500.00,989500.00,1979000000,2000,1,D,962000.00,989500.00
Golgohar.Ijara.17%,20190224,962000.00,962000.00,962000.00,962000.00,481000000,500,1,D,969355.00,962000.00
Golgohar.Ijara.17%,20190223,969355.00,969355.00,969355.00,969355.00,1455001855,1501,1,D,979000.00,969355.00
Golgohar.Ijara.17%,20190219,979000.00,979000.00,979000.00,979000.00,2937000000,3000,1,D,972900.00,979000.00
Golgohar.Ijara.17%,20190218,972900.00,972900.00,972900.00,972900.00,2918700000,3000,1,D,961433.00,972900.00
Golgohar.Ijara.17%,20190217,961433.00,961433.00,961433.00,961433.00,49994516,52,1,D,971000.00,961433.00
Golgohar.Ijara.17%,20190210,971000.00,971000.00,971000.00,971000.00,38840000,40,2,D,958083.00,971000.00
Golgohar.Ijara.17%,20190122,945174.00,959400.00,945174.00,958083.00,527903874,551,2,D,959281.00,959400.00
Golgohar.Ijara.17%,20190121,944897.00,960000.00,944897.00,959281.00,1007244850,1050,3,D,959000.00,960000.00
Golgohar.Ijara.17%,20190120,959000.00,959000.00,959000.00,959000.00,2877000000,3000,1,D,945000.00,959000.00
Golgohar.Ijara.17%,20190119,945000.00,945000.00,945000.00,945000.00,472500000,500,1,D,915000.00,945000.00
Golgohar.Ijara.17%,20190116,915000.00,915000.00,915000.00,915000.00,457500000,500,1,D,888007.00,915000.00
Golgohar.Ijara.17%,20190113,900000.00,900101.00,880021.00,888007.00,2957065030,3330,6,D,880003.00,880021.00
Golgohar.Ijara.17%,20190112,880003.00,880003.00,880003.00,880003.00,88000300,100,1,D,881158.00,880003.00
Golgohar.Ijara.17%,20190106,895001.00,896001.00,877301.00,881158.00,2220517020,2520,4,D,880025.00,877301.00
Golgohar.Ijara.17%,20181231,880025.00,880025.00,880025.00,880025.00,440012500,500,1,D,881151.00,880025.00
Golgohar.Ijara.17%,20181230,891336.00,891336.00,880000.00,881151.00,440575464,500,3,D,909162.00,880000.00
Golgohar.Ijara.17%,20181225,909000.00,990000.00,909000.00,909162.00,455490000,501,2,D,904001.00,990000.00
Golgohar.Ijara.17%,20181224,904002.00,904002.00,904001.00,904001.00,461040520,510,2,D,914501.00,904001.00
Golgohar.Ijara.17%,20181223,914501.00,914501.00,914501.00,914501.00,914501000,1000,1,D,929501.00,914501.00
Golgohar.Ijara.17%,20181222,929501.00,929501.00,929501.00,929501.00,929501000,1000,1,D,919001.00,929501.00
Golgohar.Ijara.17%,20181219,919001.00,919001.00,919001.00,919001.00,919001000,1000,1,D,886001.00,919001.00
