<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Hamkaran.System.Co,20190227,5004.00,5100.00,4950.00,5004.00,74106692,14788,20,D,5004.00,5065.00
Hamkaran.System.Co,20190226,5100.00,5110.00,4953.00,5004.00,49784358,9913,14,D,5004.00,5005.00
Hamkaran.System.Co,20190225,5000.00,5140.00,4991.00,5004.00,1316292856,262656,42,D,4995.00,5090.00
Hamkaran.System.Co,20190224,5100.00,5110.00,4951.00,4995.00,1437962204,285688,78,D,4939.00,5001.00
Hamkaran.System.Co,20190223,4815.00,5100.00,4814.00,4939.00,1030559812,209065,72,D,4946.00,5100.00
Hamkaran.System.Co,20190220,4864.00,4864.00,4775.00,4946.00,778429052,162236,49,D,5021.00,4786.00
Hamkaran.System.Co,20190219,4900.00,4900.00,4795.00,5021.00,277096561,57019,44,D,5043.00,4864.00
Hamkaran.System.Co,20190218,4846.00,4993.00,4845.00,5043.00,589727942,120572,71,D,5094.00,4979.00
Hamkaran.System.Co,20190217,5050.00,5050.00,4976.00,5094.00,100243145,20060,23,D,5098.00,4999.00
Hamkaran.System.Co,20190216,5010.00,5050.00,4902.00,5098.00,616742440,125240,48,D,5159.00,5030.00
Hamkaran.System.Co,20190213,5141.00,5141.00,5016.00,5159.00,1237599961,245419,52,D,5280.00,5018.00
Hamkaran.System.Co,20190212,5200.00,5220.00,5150.00,5280.00,622534951,120389,42,D,5316.00,5189.00
Hamkaran.System.Co,20190210,5201.00,5288.00,5191.00,5316.00,237902147,45747,18,D,5328.00,5192.00
Hamkaran.System.Co,20190206,5201.00,5250.00,5200.00,5328.00,111978900,21500,19,D,5334.00,5200.00
Hamkaran.System.Co,20190205,5201.00,5250.00,5200.00,5334.00,294915400,56382,9,D,5348.00,5200.00
Hamkaran.System.Co,20190204,5337.00,5370.00,5150.00,5348.00,414182748,78386,31,D,5360.00,5200.00
Hamkaran.System.Co,20190203,5203.00,5348.00,5203.00,5360.00,84444464,16162,12,D,5365.00,5211.00
Hamkaran.System.Co,20190202,5325.00,5368.00,5325.00,5365.00,203417715,38191,6,D,5368.00,5325.00
Hamkaran.System.Co,20190130,5310.00,5310.00,5301.00,5368.00,46272924,8724,9,D,5369.00,5301.00
Hamkaran.System.Co,20190129,5300.00,5388.00,5260.00,5369.00,16737572,3145,6,D,5369.00,5388.00
Hamkaran.System.Co,20190128,5340.00,5390.00,5340.00,5369.00,663401210,123665,28,D,5371.00,5385.00
Hamkaran.System.Co,20190127,5300.00,5350.00,5300.00,5371.00,743870935,139545,36,D,5387.00,5315.00
Hamkaran.System.Co,20190126,5258.00,5340.00,5250.00,5387.00,397934650,75583,35,D,5410.00,5339.00
Hamkaran.System.Co,20190123,5310.00,5370.00,5300.00,5410.00,199526341,37375,19,D,5416.00,5340.00
Hamkaran.System.Co,20190122,5370.00,5400.00,5369.00,5416.00,736817432,137217,13,D,5434.00,5370.00
Hamkaran.System.Co,20190121,5372.00,5419.00,5370.00,5434.00,311510066,57925,13,D,5442.00,5370.00
Hamkaran.System.Co,20190120,5434.00,5490.00,5371.00,5442.00,369625226,68536,35,D,5450.00,5372.00
Hamkaran.System.Co,20190119,5381.00,5415.00,5380.00,5450.00,43771500,8124,9,D,5451.00,5415.00
Hamkaran.System.Co,20190116,5361.00,5485.00,5361.00,5451.00,668053831,122718,29,D,5454.00,5454.00
Hamkaran.System.Co,20190115,5492.00,5496.00,5330.00,5454.00,927208690,168942,31,D,5436.00,5485.00
Hamkaran.System.Co,20190114,5437.00,5437.00,5351.00,5436.00,653167211,120232,26,D,5437.00,5437.00
Hamkaran.System.Co,20190113,5414.00,5500.00,5200.00,5437.00,442249914,82702,37,D,5456.00,5465.00
Hamkaran.System.Co,20190112,5547.00,5547.00,5350.00,5456.00,1089653210,201835,20,D,5497.00,5450.00
Hamkaran.System.Co,20190109,5540.00,5540.00,5501.00,5497.00,105623850,19140,9,D,5496.00,5503.00
Hamkaran.System.Co,20190108,5501.00,5530.00,5501.00,5496.00,108946893,19788,13,D,5496.00,5507.00
Hamkaran.System.Co,20190107,5460.00,5533.00,5460.00,5496.00,55773130,10125,11,D,5496.00,5501.00
Hamkaran.System.Co,20190106,5502.00,5508.00,5460.00,5496.00,6699470493,1218928,133,D,5504.00,5500.00
Hamkaran.System.Co,20190105,5500.00,5513.00,5500.00,5504.00,772044544,140247,22,D,5504.00,5504.00
Hamkaran.System.Co,20190102,5501.00,5530.00,5450.00,5504.00,668562939,121499,28,D,5505.00,5500.00
Hamkaran.System.Co,20190101,5500.00,5550.00,5500.00,5505.00,954603210,172298,31,D,5485.00,5535.00
Hamkaran.System.Co,20181231,5554.00,5554.00,5495.00,5485.00,849365856,153628,33,D,5464.00,5496.00
Hamkaran.System.Co,20181230,5549.00,5555.00,5480.00,5464.00,243721229,44025,18,D,5457.00,5554.00
Hamkaran.System.Co,20181229,5520.00,5549.00,5445.00,5457.00,675647774,123037,51,D,5445.00,5500.00
Hamkaran.System.Co,20181226,5516.00,5555.00,5500.00,5445.00,74439881,13513,17,D,5443.00,5500.00
Hamkaran.System.Co,20181225,5500.00,5550.00,5500.00,5443.00,284834790,51722,39,D,5435.00,5543.00
Hamkaran.System.Co,20181224,5432.00,5500.00,5431.00,5435.00,213342148,38804,11,D,5430.00,5500.00
Hamkaran.System.Co,20181223,5550.00,5550.00,5410.00,5430.00,668093770,121620,39,D,5408.00,5500.00
Hamkaran.System.Co,20181222,5410.00,5410.00,5410.00,5408.00,85126350,15735,16,D,5408.00,5410.00
Hamkaran.System.Co,20181219,5400.00,5440.00,5400.00,5408.00,320045035,59015,33,D,5406.00,5427.00
Hamkaran.System.Co,20181218,5401.00,5450.00,5400.00,5406.00,48187837,8918,15,D,5406.00,5400.00
Hamkaran.System.Co,20181217,5405.00,5498.00,5405.00,5406.00,503774682,92668,43,D,5399.00,5498.00
Hamkaran.System.Co,20181216,5410.00,5430.00,5403.00,5399.00,297612633,55040,23,D,5398.00,5430.00
Hamkaran.System.Co,20181215,5383.00,5450.00,5383.00,5398.00,760420361,139843,23,D,5382.00,5443.00
Hamkaran.System.Co,20181212,5490.00,5500.00,5422.00,5382.00,664032323,121756,51,D,5357.00,5423.00
Hamkaran.System.Co,20181211,5490.00,5490.00,5490.00,5357.00,2745000,500,1,D,5357.00,5490.00
Hamkaran.System.Co,20181210,5343.00,5500.00,5343.00,5357.00,655012463,121246,40,D,5342.00,5500.00
Hamkaran.System.Co,20181209,5455.00,5455.00,5300.00,5342.00,1211740401,227244,33,D,5350.00,5350.00
Hamkaran.System.Co,20181208,5350.00,5390.00,5301.00,5350.00,643767595,120335,20,D,5350.00,5369.00
Hamkaran.System.Co,20181205,5350.00,5350.00,5300.00,5350.00,79723650,14939,8,D,5350.00,5350.00
Hamkaran.System.Co,20181204,5350.00,5390.00,5350.00,5350.00,2023576545,377715,30,D,5323.00,5390.00
Hamkaran.System.Co,20181203,5190.00,5379.00,5190.00,5323.00,359220799,67209,41,D,5320.00,5379.00
Hamkaran.System.Co,20181202,5200.00,5352.00,5200.00,5320.00,104150374,19685,16,D,5321.00,5350.00
Hamkaran.System.Co,20181201,5260.00,5300.00,5250.00,5321.00,933622882,177767,49,D,5362.00,5250.00
Hamkaran.System.Co,20181128,5493.00,5493.00,5290.00,5362.00,519545740,96794,17,D,5361.00,5290.00
Hamkaran.System.Co,20181127,5490.00,5588.00,5250.00,5361.00,2721540603,507655,125,D,5452.00,5557.00
Hamkaran.System.Co,20181126,5251.00,5546.00,5251.00,5452.00,7179271363,1316804,98,D,5282.00,5546.00
Hamkaran.System.Co,20181124,5280.00,5359.00,5250.00,5282.00,2831921473,536156,45,D,5353.00,5359.00
Hamkaran.System.Co,20181121,5331.00,5350.00,5322.00,5353.00,358631754,67316,12,D,5357.00,5350.00
Hamkaran.System.Co,20181120,5360.00,5398.00,5250.00,5357.00,168624100,31811,15,D,5361.00,5311.00
