<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
HiWeb,20190227,5670.00,5769.00,5645.00,5692.00,57763329739,10148744,1423,D,5581.00,5659.00
HiWeb,20190226,5450.00,5673.00,5352.00,5581.00,128359647470,23000878,2960,D,5455.00,5673.00
HiWeb,20190225,5613.00,5690.00,5383.00,5455.00,173728350078,31849412,4890,D,5607.00,5383.00
HiWeb,20190224,5580.00,5710.00,5580.00,5607.00,211685311053,37750446,4554,D,5812.00,5650.00
HiWeb,20190223,6000.00,6000.00,5770.00,5812.00,78504490207,13508427,1478,D,6010.00,5770.00
HiWeb,20190220,6115.00,6150.00,5994.00,6010.00,356352552464,59294961,2919,D,6116.00,5995.00
HiWeb,20190219,6201.00,6250.00,6107.00,6116.00,78343138504,12810255,1322,D,6231.00,6107.00
HiWeb,20190218,6249.00,6310.00,6112.00,6231.00,37356101346,5995376,1016,D,6185.00,6118.00
HiWeb,20190217,6280.00,6280.00,6061.00,6185.00,103006493870,16654963,1596,D,6262.00,6249.00
HiWeb,20190216,6300.00,6388.00,6161.00,6262.00,69364032143,11076224,1449,D,6296.00,6279.00
HiWeb,20190213,6325.00,6397.00,6260.00,6296.00,93894248462,14914280,1670,D,6275.00,6280.00
HiWeb,20190212,6330.00,6360.00,6133.00,6275.00,97074800513,15469926,1464,D,6346.00,6300.00
HiWeb,20190210,6300.00,6439.00,6280.00,6346.00,56085913346,8838618,1328,D,6344.00,6330.00
HiWeb,20190206,6348.00,6348.00,6272.00,6344.00,548329543317,86432399,4714,D,6104.00,6280.00
HiWeb,20190205,6101.00,6247.00,6016.00,6104.00,295550708231,48419189,2193,D,6007.00,6247.00
HiWeb,20190204,6078.00,6091.00,5960.00,6007.00,305912776325,50923511,2079,D,6004.00,6050.00
HiWeb,20190203,6098.00,6106.00,5865.00,6004.00,79286207090,13205337,1240,D,6101.00,5987.00
HiWeb,20190202,6189.00,6189.00,5980.00,6101.00,262015562332,42944040,2237,D,6106.00,6000.00
HiWeb,20190130,6140.00,6140.00,6026.00,6106.00,550200588958,90110450,4571,D,5904.00,6139.00
HiWeb,20190129,5800.00,5906.00,5740.00,5904.00,254262878394,43068139,1472,D,5679.00,5906.00
HiWeb,20190128,5790.00,5790.00,5649.00,5679.00,33325501138,5868128,1177,D,5822.00,5698.00
HiWeb,20190127,5906.00,6000.00,5791.00,5822.00,44770012337,7689677,1490,D,6026.00,5800.00
HiWeb,20190126,6110.00,6220.00,5900.00,6026.00,34230447250,5680464,1274,D,6069.00,5930.00
HiWeb,20190123,5930.00,6118.00,5895.00,6069.00,33730205108,5557376,1470,D,5883.00,6118.00
HiWeb,20190122,5760.00,5989.00,5750.00,5883.00,36289509106,6168930,1043,D,5864.00,5949.00
HiWeb,20190121,5960.00,6000.00,5794.00,5864.00,52026459032,8872333,1392,D,6035.00,5820.00
HiWeb,20190120,6279.00,6279.00,6011.00,6035.00,124696644784,20663762,3459,D,6261.00,6011.00
HiWeb,20190119,6289.00,6365.00,6200.00,6261.00,100636764711,16073791,1868,D,6203.00,6218.00
HiWeb,20190116,6300.00,6336.00,6070.00,6203.00,325336331440,52449018,3490,D,6306.00,6296.00
HiWeb,20190115,6552.00,6564.00,6269.00,6306.00,177100399561,28082953,4549,D,6530.00,6270.00
HiWeb,20190114,6640.00,6643.00,6505.00,6530.00,47659286296,7298248,1383,D,6590.00,6510.00
HiWeb,20190113,6643.00,6643.00,6557.00,6590.00,36489052946,5537260,1357,D,6685.00,6580.00
HiWeb,20190112,6749.00,6775.00,6610.00,6685.00,48217630387,7212916,1040,D,6726.00,6638.00
HiWeb,20190109,6651.00,6760.00,6650.00,6726.00,40657115043,6044413,799,D,6648.00,6717.00
HiWeb,20190108,6700.00,6700.00,6615.00,6648.00,32834466094,4939249,981,D,6740.00,6615.00
HiWeb,20190107,6810.00,6820.00,6670.00,6740.00,42399514093,6291070,965,D,6765.00,6700.00
HiWeb,20190106,6700.00,6820.00,6651.00,6765.00,76527534584,11312347,1155,D,6717.00,6741.00
HiWeb,20190105,6650.00,6810.00,6600.00,6717.00,63232832509,9413242,1090,D,6717.00,6648.00
HiWeb,20190102,6800.00,6849.00,6620.00,6717.00,83213409166,12389262,1516,D,6887.00,6700.00
HiWeb,20190101,6890.00,6988.00,6750.00,6887.00,89592251142,13009768,1993,D,6720.00,6760.00
HiWeb,20181231,6599.00,6836.00,6470.00,6720.00,113004277609,16816268,1932,D,6574.00,6836.00
HiWeb,20181230,6679.00,6679.00,6530.00,6574.00,54249944504,8252285,1391,D,6672.00,6578.00
HiWeb,20181229,6625.00,6780.00,6615.00,6672.00,42742580771,6405874,1426,D,6622.00,6620.00
HiWeb,20181226,6780.00,6849.00,6592.00,6622.00,183874751898,27768163,2361,D,6749.00,6610.00
HiWeb,20181225,6890.00,6892.00,6670.00,6749.00,63544641679,9415571,1320,D,6897.00,6700.00
HiWeb,20181224,7031.00,7039.00,6845.00,6897.00,59701216583,8656338,1182,D,7072.00,6850.00
HiWeb,20181223,6998.00,7200.00,6961.00,7072.00,102011462436,14423815,1528,D,6816.00,7030.00
HiWeb,20181222,6870.00,6900.00,6777.00,6816.00,32150743369,4716667,739,D,6826.00,6796.00
HiWeb,20181219,6939.00,6979.00,6750.00,6826.00,51673600002,7570620,1039,D,6906.00,6770.00
HiWeb,20181218,6820.00,7070.00,6750.00,6906.00,49958824484,7234157,1402,D,6873.00,6900.00
HiWeb,20181217,7035.00,7035.00,6788.00,6873.00,69379229299,10094495,1640,D,7040.00,6812.00
HiWeb,20181216,7190.00,7190.00,7000.00,7040.00,65930870898,9365576,1193,D,7183.00,7019.00
HiWeb,20181215,7248.00,7248.00,7150.00,7183.00,30494437253,4245625,588,D,7232.00,7164.00
HiWeb,20181212,7220.00,7320.00,7153.00,7232.00,53742619676,7431298,1402,D,7163.00,7153.00
HiWeb,20181211,7071.00,7279.00,7060.00,7163.00,47864468944,6681796,1147,D,7129.00,7204.00
HiWeb,20181210,7200.00,7290.00,7056.00,7129.00,124892630726,17520177,2137,D,7349.00,7059.00
HiWeb,20181209,7413.00,7413.00,7150.00,7349.00,250267266918,34055361,3415,D,7128.00,7200.00
