<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Investment.Banking,20190227,1782.00,1798.00,1782.00,1790.00,8576480393,4791001,216,D,1782.00,1791.00
Investment.Banking,20190226,1796.00,1814.00,1744.00,1782.00,6527986906,3662637,256,D,1788.00,1764.00
Investment.Banking,20190225,1791.00,1821.00,1744.00,1788.00,20619406605,11534842,684,D,1735.00,1745.00
Investment.Banking,20190224,1710.00,1745.00,1710.00,1735.00,11397898789,6571062,449,D,1662.00,1745.00
Investment.Banking,20190223,1640.00,1703.00,1635.00,1662.00,8219663930,4944601,286,D,1622.00,1703.00
Investment.Banking,20190220,1635.00,1641.00,1611.00,1622.00,605635552,371240,106,D,1620.00,1639.00
Investment.Banking,20190219,1620.00,1641.00,1570.00,1620.00,33679322682,20787034,585,D,1612.00,1634.00
Investment.Banking,20190218,1620.00,1620.00,1581.00,1612.00,570960534,358236,60,D,1615.00,1601.00
Investment.Banking,20190217,1632.00,1632.00,1601.00,1615.00,862645663,535419,64,D,1616.00,1617.00
Investment.Banking,20190216,1600.00,1630.00,1600.00,1616.00,2877884474,1776243,208,D,1605.00,1629.00
Investment.Banking,20190213,1610.00,1614.00,1593.00,1605.00,3431390659,2137707,247,D,1608.00,1611.00
Investment.Banking,20190212,1640.00,1640.00,1586.00,1608.00,1509813318,943565,113,D,1613.00,1610.00
Investment.Banking,20190210,1570.00,1639.00,1570.00,1613.00,4703057590,2916489,364,D,1576.00,1610.00
Investment.Banking,20190206,1586.00,1601.00,1580.00,1576.00,1735195032,1089570,163,D,1563.00,1599.00
Investment.Banking,20190205,1545.00,1584.00,1545.00,1563.00,2195909088,1396558,164,D,1549.00,1583.00
Investment.Banking,20190204,1540.00,1564.00,1540.00,1549.00,1417468568,912783,97,D,1546.00,1564.00
Investment.Banking,20190203,1540.00,1550.00,1530.00,1546.00,1536311697,996792,107,D,1550.00,1540.00
Investment.Banking,20190202,1570.00,1570.00,1522.00,1550.00,982959450,641460,98,D,1556.00,1522.00
Investment.Banking,20190130,1551.00,1569.00,1526.00,1556.00,970554274,626053,101,D,1558.00,1564.00
Investment.Banking,20190129,1527.00,1577.00,1527.00,1558.00,893139722,571350,77,D,1556.00,1560.00
Investment.Banking,20190128,1550.00,1568.00,1522.00,1556.00,1400474758,908249,150,D,1564.00,1556.00
Investment.Banking,20190127,1564.00,1572.00,1551.00,1564.00,431534683,276582,73,D,1564.00,1555.00
Investment.Banking,20190126,1560.00,1590.00,1560.00,1564.00,570930691,363574,74,D,1563.00,1572.00
Investment.Banking,20190123,1570.00,1579.00,1568.00,1563.00,747459990,475108,123,D,1560.00,1573.00
Investment.Banking,20190122,1586.00,1586.00,1540.00,1560.00,725408682,464380,134,D,1559.00,1570.00
Investment.Banking,20190121,1570.00,1570.00,1538.00,1559.00,1036455674,667189,128,D,1561.00,1549.00
Investment.Banking,20190120,1580.00,1580.00,1550.00,1561.00,1075936677,689739,89,D,1562.00,1565.00
Investment.Banking,20190119,1570.00,1585.00,1550.00,1562.00,708030045,453464,126,D,1562.00,1572.00
Investment.Banking,20190116,1570.00,1591.00,1539.00,1562.00,1907934022,1218430,162,D,1557.00,1573.00
Investment.Banking,20190115,1580.00,1580.00,1539.00,1557.00,2586985668,1664547,213,D,1564.00,1567.00
Investment.Banking,20190114,1578.00,1578.00,1540.00,1564.00,2238564955,1437862,261,D,1574.00,1572.00
Investment.Banking,20190113,1571.00,1589.00,1551.00,1574.00,1366983586,874238,143,D,1580.00,1570.00
Investment.Banking,20190112,1593.00,1593.00,1532.00,1580.00,2000992936,1274954,188,D,1592.00,1570.00
Investment.Banking,20190109,1595.00,1595.00,1573.00,1592.00,893523413,565196,86,D,1595.00,1573.00
Investment.Banking,20190108,1604.00,1610.00,1575.00,1595.00,1301059315,817026,174,D,1597.00,1589.00
Investment.Banking,20190107,1595.00,1610.00,1575.00,1597.00,1301113368,819103,116,D,1601.00,1605.00
Investment.Banking,20190106,1619.00,1619.00,1575.00,1601.00,1364808971,858134,103,D,1607.00,1580.00
