<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ir.Inv.Petr.,20190227,1617.00,1636.00,1595.00,1630.00,132453363563,81241053,3583,D,1559.00,1636.00
Ir.Inv.Petr.,20190226,1463.00,1569.00,1452.00,1559.00,79932097914,51276722,1836,D,1495.00,1569.00
Ir.Inv.Petr.,20190225,1480.00,1511.00,1461.00,1495.00,37111153963,24820876,1538,D,1468.00,1501.00
Ir.Inv.Petr.,20190224,1481.00,1489.00,1435.00,1468.00,8909070279,6076606,641,D,1482.00,1466.00
Ir.Inv.Petr.,20190223,1436.00,1495.00,1432.00,1482.00,22210610825,14987701,1108,D,1424.00,1468.00
Ir.Inv.Petr.,20190220,1449.00,1449.00,1403.00,1424.00,7830073677,5511205,715,D,1434.00,1430.00
Ir.Inv.Petr.,20190219,1439.00,1470.00,1410.00,1434.00,7470629511,5173571,849,D,1407.00,1413.00
Ir.Inv.Petr.,20190218,1363.00,1444.00,1363.00,1407.00,20827175261,14798080,866,D,1384.00,1433.00
Ir.Inv.Petr.,20190217,1409.00,1417.00,1349.00,1384.00,13159743901,9505842,865,D,1396.00,1350.00
Ir.Inv.Petr.,20190216,1409.00,1412.00,1380.00,1396.00,8288191466,5942166,829,D,1400.00,1401.00
Ir.Inv.Petr.,20190213,1410.00,1418.00,1380.00,1400.00,7708581790,5518734,839,D,1413.00,1380.00
Ir.Inv.Petr.,20190212,1420.00,1442.00,1408.00,1413.00,13136431951,9299885,583,D,1414.00,1415.00
Ir.Inv.Petr.,20190210,1405.00,1442.00,1405.00,1414.00,4931855888,3460026,428,D,1404.00,1435.00
Ir.Inv.Petr.,20190206,1420.00,1427.00,1396.00,1404.00,8588320252,6116666,607,D,1405.00,1412.00
Ir.Inv.Petr.,20190205,1410.00,1420.00,1400.00,1405.00,6763849510,4812163,536,D,1404.00,1415.00
Ir.Inv.Petr.,20190204,1410.00,1420.00,1391.00,1404.00,9692411162,6904534,648,D,1386.00,1398.00
Ir.Inv.Petr.,20190203,1420.00,1444.00,1362.00,1386.00,14339263111,10349300,1004,D,1433.00,1398.00
Ir.Inv.Petr.,20190202,1450.00,1455.00,1404.00,1433.00,6453744114,4514504,532,D,1438.00,1404.00
Ir.Inv.Petr.,20190130,1455.00,1459.00,1410.00,1438.00,8443481064,5899053,590,D,1468.00,1445.00
Ir.Inv.Petr.,20190129,1466.00,1510.00,1423.00,1468.00,12103773028,8243553,894,D,1497.00,1450.00
Ir.Inv.Petr.,20190128,1480.00,1518.00,1470.00,1497.00,25884080968,17292265,1588,D,1463.00,1470.00
Ir.Inv.Petr.,20190127,1401.00,1471.00,1401.00,1463.00,24636542623,16839747,678,D,1401.00,1471.00
Ir.Inv.Petr.,20190126,1402.00,1420.00,1380.00,1401.00,6892765972,4921885,461,D,1401.00,1400.00
Ir.Inv.Petr.,20190123,1400.00,1429.00,1396.00,1401.00,10631634622,7586767,726,D,1403.00,1400.00
Ir.Inv.Petr.,20190122,1399.00,1431.00,1385.00,1403.00,12458777341,8880183,631,D,1401.00,1405.00
Ir.Inv.Petr.,20190121,1435.00,1472.00,1400.00,1401.00,19446677097,13877191,848,D,1473.00,1400.00
Ir.Inv.Petr.,20190120,1499.00,1520.00,1439.00,1473.00,15127331348,10267490,951,D,1514.00,1440.00
Ir.Inv.Petr.,20190119,1510.00,1549.00,1478.00,1514.00,18181349051,12010882,1110,D,1488.00,1490.00
Ir.Inv.Petr.,20190116,1459.00,1494.00,1437.00,1488.00,66224588493,44506541,2332,D,1423.00,1490.00
Ir.Inv.Petr.,20190115,1430.00,1459.00,1411.00,1423.00,48010803578,33742562,1881,D,1445.00,1448.00
Ir.Inv.Petr.,20190114,1490.00,1490.00,1412.00,1445.00,6985521385,4894323,521,D,1479.00,1416.00
Ir.Inv.Petr.,20190108,1481.00,1514.00,1451.00,1479.00,41817175502,28267193,2040,D,1444.00,1470.00
Ir.Inv.Petr.,20190107,1430.00,1449.00,1418.00,1444.00,21863179762,15138399,971,D,1380.00,1449.00
Ir.Inv.Petr.,20190106,1354.00,1409.00,1310.00,1380.00,28120551742,20381306,1523,D,1342.00,1409.00
Ir.Inv.Petr.,20190105,1350.00,1352.00,1332.00,1342.00,8650863639,6433754,483,D,1329.00,1342.00
Ir.Inv.Petr.,20190102,1344.00,1350.00,1311.00,1329.00,7097686038,5361048,804,D,1344.00,1327.00
Ir.Inv.Petr.,20190101,1350.00,1363.00,1325.00,1344.00,13673234444,10170983,965,D,1357.00,1330.00
Ir.Inv.Petr.,20181231,1369.00,1369.00,1343.00,1357.00,7728184723,5709327,738,D,1370.00,1359.00
Ir.Inv.Petr.,20181230,1384.00,1393.00,1360.00,1370.00,9500310211,6937006,818,D,1387.00,1365.00
Ir.Inv.Petr.,20181229,1386.00,1422.00,1333.00,1387.00,16739036052,12064889,1268,D,1364.00,1382.00
Ir.Inv.Petr.,20181226,1319.00,1385.00,1319.00,1364.00,17409275263,12761190,1240,D,1321.00,1375.00
Ir.Inv.Petr.,20181225,1329.00,1337.00,1303.00,1321.00,8556473878,6504219,841,D,1347.00,1310.00
Ir.Inv.Petr.,20181224,1358.00,1358.00,1321.00,1347.00,21336913133,15836912,1437,D,1294.00,1350.00
Ir.Inv.Petr.,20181223,1281.00,1316.00,1281.00,1294.00,7006339574,5340464,246,D,1254.00,1316.00
Ir.Inv.Petr.,20181222,1286.00,1286.00,1239.00,1254.00,8682986927,6944796,881,D,1281.00,1249.00
Ir.Inv.Petr.,20181219,1313.00,1317.00,1264.00,1281.00,9775944443,7633221,982,D,1314.00,1288.00
Ir.Inv.Petr.,20181218,1328.00,1336.00,1305.00,1314.00,7289869919,5551888,818,D,1318.00,1318.00
Ir.Inv.Petr.,20181217,1320.00,1340.00,1307.00,1318.00,9202190189,6982299,835,D,1329.00,1327.00
Ir.Inv.Petr.,20181216,1337.00,1350.00,1305.00,1329.00,8512745275,6424614,963,D,1359.00,1325.00
Ir.Inv.Petr.,20181215,1387.00,1388.00,1330.00,1359.00,9854330372,7252203,949,D,1387.00,1350.00
Ir.Inv.Petr.,20181212,1400.00,1404.00,1370.00,1387.00,10243653563,7386068,938,D,1390.00,1380.00
Ir.Inv.Petr.,20181211,1388.00,1410.00,1370.00,1390.00,7369012544,5292721,728,D,1385.00,1398.00
Ir.Inv.Petr.,20181210,1378.00,1414.00,1365.00,1385.00,10779659498,7781856,724,D,1392.00,1385.00
Ir.Inv.Petr.,20181209,1420.00,1420.00,1380.00,1392.00,12204735624,8768034,780,D,1421.00,1394.00
Ir.Inv.Petr.,20181208,1444.00,1444.00,1400.00,1421.00,10824872694,7619441,712,D,1408.00,1413.00
Ir.Inv.Petr.,20181205,1409.00,1425.00,1400.00,1408.00,12455986508,8843870,799,D,1431.00,1413.00
Ir.Inv.Petr.,20181204,1490.00,1490.00,1401.00,1431.00,12746857478,8910068,758,D,1459.00,1412.00
Ir.Inv.Petr.,20181203,1424.00,1464.00,1411.00,1459.00,40302212753,27616167,1309,D,1395.00,1464.00
Ir.Inv.Petr.,20181202,1370.00,1418.00,1370.00,1395.00,18143176537,13008765,1194,D,1359.00,1390.00
Ir.Inv.Petr.,20181201,1401.00,1420.00,1356.00,1359.00,58453712257,42997233,1868,D,1427.00,1356.00
Ir.Inv.Petr.,20181128,1510.00,1510.00,1422.00,1427.00,32865673251,23027188,1419,D,1496.00,1429.00
Ir.Inv.Petr.,20181127,1500.00,1530.00,1473.00,1496.00,10410543046,6960244,803,D,1487.00,1499.00
Ir.Inv.Petr.,20181126,1530.00,1549.00,1467.00,1487.00,14277245592,9604440,988,D,1544.00,1467.00
Ir.Inv.Petr.,20181124,1591.00,1599.00,1522.00,1544.00,23784168805,15408847,1339,D,1596.00,1540.00
Ir.Inv.Petr.,20181121,1600.00,1617.00,1574.00,1596.00,14949129675,9367011,813,D,1598.00,1604.00
Ir.Inv.Petr.,20181120,1610.00,1650.00,1573.00,1598.00,20753792162,12984923,1066,D,1633.00,1612.00
Ir.Inv.Petr.,20181119,1606.00,1679.00,1600.00,1633.00,13625061291,8345367,868,D,1643.00,1611.00
Ir.Inv.Petr.,20181118,1660.00,1685.00,1642.00,1643.00,27740589592,16883325,994,D,1728.00,1642.00
Ir.Inv.Petr.,20181117,1740.00,1770.00,1719.00,1728.00,9955988805,5762380,590,D,1809.00,1719.00
Ir.Inv.Petr.,20181114,1854.00,1854.00,1730.00,1809.00,70849186501,39163179,1820,D,1766.00,1755.00
Ir.Inv.Petr.,20181113,1782.00,1799.00,1726.00,1766.00,61285971769,34702939,1819,D,1760.00,1750.00
Ir.Inv.Petr.,20181112,1756.00,1780.00,1730.00,1760.00,51578531447,29303257,1729,D,1726.00,1750.00
Ir.Inv.Petr.,20181111,1749.00,1785.00,1680.00,1726.00,38271109072,22179377,1295,D,1740.00,1711.00
Ir.Inv.Petr.,20181110,1820.00,1820.00,1715.00,1740.00,34456162229,19798441,1549,D,1797.00,1716.00
Ir.Inv.Petr.,20181106,1803.00,1803.00,1760.00,1797.00,131153623215,72994955,3849,D,1718.00,1803.00
Ir.Inv.Petr.,20181105,1718.00,1718.00,1718.00,1718.00,11201566160,6520120,278,D,1637.00,1718.00
Ir.Inv.Petr.,20181104,1581.00,1673.00,1581.00,1637.00,49351084725,30144741,1906,D,1594.00,1673.00
Ir.Inv.Petr.,20181103,1611.00,1619.00,1575.00,1594.00,21065791761,13212231,903,D,1603.00,1600.00
Ir.Inv.Petr.,20181031,1647.00,1647.00,1580.00,1603.00,26898853687,16777079,1277,D,1622.00,1610.00
Ir.Inv.Petr.,20181029,1644.00,1680.00,1599.00,1622.00,28588881216,17623340,1449,D,1608.00,1630.00
Ir.Inv.Petr.,20181028,1600.00,1648.00,1553.00,1608.00,27731320580,17246493,1498,D,1603.00,1639.00
Ir.Inv.Petr.,20181027,1608.00,1638.00,1597.00,1603.00,31813610825,19848877,1405,D,1681.00,1597.00
Ir.Inv.Petr.,20181024,1729.00,1744.00,1661.00,1681.00,20108293982,11961491,874,D,1748.00,1661.00
Ir.Inv.Petr.,20181023,1834.00,1834.00,1732.00,1748.00,37438398842,21411959,1559,D,1823.00,1732.00
Ir.Inv.Petr.,20181022,1884.00,1884.00,1760.00,1823.00,89710799227,49211505,3094,D,1798.00,1809.00
Ir.Inv.Petr.,20181021,1804.00,1804.00,1733.00,1798.00,101984987586,56717436,2544,D,1719.00,1804.00
Ir.Inv.Petr.,20181020,1700.00,1726.00,1690.00,1719.00,30334605658,17651495,802,D,1644.00,1726.00
Ir.Inv.Petr.,20181017,1645.00,1687.00,1634.00,1644.00,65422100567,39797446,2357,D,1720.00,1636.00
Ir.Inv.Petr.,20181016,1776.00,1779.00,1660.00,1720.00,71404569189,41513983,2974,D,1715.00,1694.00
Ir.Inv.Petr.,20181015,1655.00,1773.00,1655.00,1715.00,77294775816,45066249,3248,D,1692.00,1718.00
Ir.Inv.Petr.,20181014,1648.00,1648.00,1648.00,1692.00,4430967712,2688694,156,D,1734.00,1648.00
Ir.Inv.Petr.,20181013,1752.00,1776.00,1728.00,1734.00,12899764350,7439366,441,D,1818.00,1728.00
Ir.Inv.Petr.,20181010,1825.00,1870.00,1813.00,1818.00,79991811488,44006234,1844,D,1908.00,1813.00
Ir.Inv.Petr.,20181009,1861.00,1959.00,1777.00,1908.00,116901673609,61275079,3790,D,1867.00,1832.00
Ir.Inv.Petr.,20181008,1862.00,1900.00,1862.00,1867.00,75337721321,40352738,1907,D,1960.00,1883.00
Ir.Inv.Petr.,20181007,1958.00,2000.00,1958.00,1960.00,110111288840,56184164,2663,D,2061.00,1958.00
Ir.Inv.Petr.,20181006,2135.00,2135.00,1933.00,2061.00,147277506829,71451087,3811,D,2034.00,1933.00
Ir.Inv.Petr.,20181003,2032.00,2069.00,2032.00,2034.00,217280331863,106835792,4472,D,2138.00,2040.00
Ir.Inv.Petr.,20181002,2140.00,2140.00,2033.00,2138.00,5580552366,2724840,281,D,2252.00,2033.00
Ir.Inv.Petr.,20180930,2252.00,2252.00,2221.00,2252.00,159129898809,70663739,1973,D,2145.00,2250.00
Ir.Inv.Petr.,20180929,2145.00,2145.00,2145.00,2145.00,49013256435,22850003,680,D,2043.00,2145.00
Ir.Inv.Petr.,20180926,2043.00,2043.00,2043.00,2043.00,23548075632,11526224,364,D,1946.00,2043.00
Ir.Inv.Petr.,20180925,1890.00,1953.00,1876.00,1946.00,125276132008,64377399,3479,D,1860.00,1953.00
Ir.Inv.Petr.,20180924,1875.00,1892.00,1825.00,1860.00,112114952732,60289512,4507,D,1881.00,1875.00
Ir.Inv.Petr.,20180923,1889.00,1930.00,1800.00,1881.00,163973545912,87158702,6028,D,1858.00,1850.00
