<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Brake.L.,20190227,5534.00,5534.00,5108.00,5214.00,422704204,81174,39,D,5272.00,5200.00
Iran.Brake.L.,20190226,5499.00,5499.00,5115.00,5272.00,4692420,890,3,D,5272.00,5115.00
Iran.Brake.L.,20190225,4949.00,5400.00,4948.00,5272.00,249664526,46778,23,D,5203.00,5300.00
Iran.Brake.L.,20190224,5220.00,5301.00,5195.00,5203.00,1172909273,225450,80,D,5468.00,5195.00
Iran.Brake.L.,20190223,5253.00,5600.00,5253.00,5468.00,205375683,38051,23,D,5519.00,5328.00
Iran.Brake.L.,20190220,5599.00,5687.00,5599.00,5519.00,18206700,3234,5,D,5515.00,5687.00
Iran.Brake.L.,20190219,5600.00,5600.00,5580.00,5515.00,12712250,2275,3,D,5513.00,5590.00
Iran.Brake.L.,20190218,5450.00,5535.00,5450.00,5513.00,45074924,8147,15,D,5511.00,5534.00
Iran.Brake.L.,20190217,5586.00,5586.00,5269.00,5511.00,61337105,11615,17,D,5546.00,5272.00
Iran.Brake.L.,20190216,5612.00,5613.00,5434.00,5546.00,300097638,55119,34,D,5719.00,5434.00
Iran.Brake.L.,20190213,5750.00,5750.00,5490.00,5719.00,19167280,3467,8,D,5727.00,5700.00
Iran.Brake.L.,20190212,5732.00,5750.00,5491.00,5727.00,45038429,7924,10,D,5731.00,5749.00
Iran.Brake.L.,20190210,5500.00,5600.00,5500.00,5731.00,82792535,15014,13,D,5776.00,5600.00
Iran.Brake.L.,20190206,6052.00,6052.00,5601.00,5776.00,37159323,6543,11,D,5784.00,5636.00
Iran.Brake.L.,20190205,5580.00,5867.00,5543.00,5784.00,84097820,15118,22,D,5834.00,5544.00
Iran.Brake.L.,20190204,5700.00,5896.00,5571.00,5834.00,76050213,13385,16,D,5864.00,5605.00
Iran.Brake.L.,20190203,6063.00,6063.00,5598.00,5864.00,93786565,16299,23,D,5892.00,5935.00
Iran.Brake.L.,20190202,5825.00,5851.00,5825.00,5892.00,373459813,64099,32,D,6131.00,5825.00
Iran.Brake.L.,20190130,6000.00,6003.00,5875.00,6131.00,103365736,17359,18,D,6180.00,5875.00
Iran.Brake.L.,20190129,6527.00,6527.00,5969.00,6180.00,111200075,18455,27,D,6227.00,5969.00
