<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.China.Clay,20190227,15099.00,15100.00,14751.00,14951.00,3169928692,212019,90,D,14582.00,14855.00
Iran.China.Clay,20190226,14629.00,15180.00,14109.00,14582.00,3497539356,239856,88,D,14822.00,14800.00
Iran.China.Clay,20190225,15064.00,15600.00,14621.00,14822.00,17173836367,1158670,268,D,15390.00,14630.00
Iran.China.Clay,20190224,15799.00,15799.00,15100.00,15390.00,2016209277,131157,74,D,15509.00,15437.00
Iran.China.Clay,20190223,15850.00,15851.00,15002.00,15509.00,2876236066,185450,100,D,15691.00,15490.00
Iran.China.Clay,20190220,16060.00,16229.00,15040.00,15691.00,5354854443,341264,148,D,15741.00,15699.00
Iran.China.Clay,20190219,16111.00,16477.00,15726.00,15741.00,19508994038,1239367,187,D,16553.00,15726.00
Iran.China.Clay,20190218,16745.00,16745.00,16101.00,16553.00,771445390,46817,53,D,16587.00,16103.00
Iran.China.Clay,20190217,16770.00,17000.00,16161.00,16587.00,1738065612,103853,103,D,16251.00,16490.00
Iran.China.Clay,20190216,16185.00,16844.00,16020.00,16251.00,2363828609,145565,139,D,16636.00,16020.00
Iran.China.Clay,20190213,16101.00,16845.00,16000.00,16636.00,2302901118,138513,58,D,16764.00,16400.00
Iran.China.Clay,20190212,17049.00,17049.00,16250.00,16764.00,885229446,53724,45,D,16924.00,16380.00
Iran.China.Clay,20190210,17070.00,17226.00,16500.00,16924.00,1665571155,99465,91,D,17277.00,17000.00
Iran.China.Clay,20190206,17350.00,17450.00,17071.00,17277.00,3642306313,210819,51,D,17322.00,17240.00
Iran.China.Clay,20190205,16667.00,17599.00,16666.00,17322.00,16525891543,954049,201,D,16871.00,17490.00
Iran.China.Clay,20190204,16311.00,17199.00,16300.00,16871.00,4988431151,295683,74,D,16762.00,16841.00
Iran.China.Clay,20190203,17390.00,17390.00,16402.00,16762.00,1750352552,104638,58,D,16840.00,16790.00
Iran.China.Clay,20190202,17600.00,17600.00,16500.00,16840.00,3041780299,180631,66,D,17119.00,16999.00
Iran.China.Clay,20190130,17700.00,17700.00,16751.00,17119.00,4795155444,280105,94,D,17552.00,17000.00
Iran.China.Clay,20190129,18700.00,18700.00,17080.00,17552.00,9333969927,531797,169,D,17922.00,17400.00
Iran.China.Clay,20190128,17990.00,18300.00,17301.00,17922.00,12061082585,672993,185,D,17487.00,17908.00
Iran.China.Clay,20190127,16920.00,17606.00,16433.00,17487.00,23906899599,1367100,261,D,16768.00,17606.00
Iran.China.Clay,20190126,16744.00,17000.00,16159.00,16768.00,8210520356,489644,150,D,16494.00,16920.00
Iran.China.Clay,20190123,16800.00,16900.00,16202.00,16494.00,1709181318,103479,87,D,16441.00,16620.00
Iran.China.Clay,20190122,16530.00,16990.00,16110.00,16441.00,9373861034,570158,209,D,16531.00,16759.00
Iran.China.Clay,20190121,16332.00,17100.00,16300.00,16531.00,7678396407,464488,161,D,16948.00,16499.00
Iran.China.Clay,20190120,16795.00,17170.00,16401.00,16948.00,7231856730,426716,151,D,16795.00,16900.00
Iran.China.Clay,20190119,17289.00,17289.00,16600.00,16795.00,3817852919,227324,131,D,17098.00,16650.00
Iran.China.Clay,20190116,17465.00,17465.00,16850.00,17098.00,4542502580,265679,150,D,16848.00,16850.00
Iran.China.Clay,20190115,16088.00,17038.00,16088.00,16848.00,8989297223,533540,202,D,16227.00,17038.00
Iran.China.Clay,20190114,16000.00,16499.00,16000.00,16227.00,6036766212,372028,172,D,16252.00,16175.00
Iran.China.Clay,20190113,16750.00,16750.00,16000.00,16252.00,3748256366,230635,165,D,16418.00,16235.00
Iran.China.Clay,20190112,16899.00,16950.00,16104.00,16418.00,10162836908,619014,202,D,16951.00,16340.00
Iran.China.Clay,20190109,17320.00,17320.00,16352.00,16951.00,6420080449,378752,189,D,17163.00,16950.00
Iran.China.Clay,20190108,17078.00,17390.00,16727.00,17163.00,9699445994,565124,242,D,16634.00,17097.00
Iran.China.Clay,20190107,16199.00,16727.00,16100.00,16634.00,29509301751,1774063,236,D,15931.00,16727.00
Iran.China.Clay,20190106,16180.00,16180.00,15708.00,15931.00,15734888593,987683,282,D,16102.00,16040.00
Iran.China.Clay,20190105,16102.00,16345.00,15855.00,16102.00,10129878021,629117,211,D,16139.00,16100.00
Iran.China.Clay,20190102,16500.00,16980.00,15835.00,16139.00,23235614571,1439709,499,D,16356.00,15850.00
Iran.China.Clay,20190101,16000.00,16457.00,15800.00,16356.00,24373283936,1490204,467,D,15674.00,16457.00
Iran.China.Clay,20181231,15566.00,15730.00,15051.00,15674.00,40368791780,2575508,590,D,14981.00,15730.00
Iran.China.Clay,20181230,14700.00,15023.00,14300.00,14981.00,89163196662,5951838,640,D,14308.00,15023.00
Iran.China.Clay,20181229,14980.00,14980.00,14233.00,14308.00,20098639915,1404681,409,D,14982.00,14500.00
Iran.China.Clay,20181226,14853.00,15037.00,14444.00,14982.00,45505551066,3037437,446,D,14321.00,14583.00
Iran.China.Clay,20181225,14300.00,14775.00,13800.00,14321.00,32951073761,2300898,756,D,14076.00,14775.00
Iran.China.Clay,20181224,14076.00,14076.00,14076.00,14076.00,59796945324,4248149,431,D,13406.00,14076.00
Iran.China.Clay,20181223,13295.00,13410.00,12882.00,13406.00,23936061894,1785453,176,D,12772.00,13410.00
Iran.China.Clay,20181222,12150.00,12871.00,12112.00,12772.00,13731043610,1075127,253,D,12259.00,12871.00
Iran.China.Clay,20181219,12537.00,12537.00,12111.00,12259.00,5870767549,478903,175,D,12311.00,12399.00
Iran.China.Clay,20181218,12349.00,12540.00,12002.00,12311.00,17343010163,1408737,339,D,11943.00,12358.00
Iran.China.Clay,20181217,11695.00,12003.00,11555.00,11943.00,15561342642,1302991,410,D,11432.00,12000.00
Iran.China.Clay,20181216,10801.00,11650.00,10800.00,11432.00,5867636544,513269,196,D,11150.00,11600.00
Iran.China.Clay,20181215,11200.00,11300.00,10901.00,11150.00,2354755857,211198,73,D,11003.00,11200.00
Iran.China.Clay,20181212,11000.00,11238.00,10881.00,11003.00,3739124300,339820,74,D,11056.00,11200.00
Iran.China.Clay,20181211,11226.00,11226.00,10802.00,11056.00,992174754,89498,53,D,11012.00,11000.00
Iran.China.Clay,20181210,10899.00,11200.00,10800.00,11012.00,2615443028,237512,100,D,11143.00,11199.00
Iran.China.Clay,20181209,11051.00,11350.00,11001.00,11143.00,1222222845,110449,51,D,11358.00,11240.00
Iran.China.Clay,20181208,11500.00,11500.00,11253.00,11358.00,821948600,71647,28,D,11253.00,11499.00
Iran.China.Clay,20181205,11101.00,11400.00,10880.00,11253.00,4086630049,363170,56,D,11073.00,11400.00
Iran.China.Clay,20181204,11500.00,11500.00,10880.00,11073.00,1535839135,139080,97,D,11451.00,11388.00
Iran.China.Clay,20181203,11472.00,11600.00,11112.00,11451.00,2158464946,188490,68,D,11125.00,11305.00
Iran.China.Clay,20181202,10930.00,11400.00,10782.00,11125.00,3663620783,329314,93,D,10926.00,11395.00
Iran.China.Clay,20181201,11493.00,11493.00,10919.00,10926.00,5084856300,465371,133,D,11493.00,10919.00
Iran.China.Clay,20181128,11500.00,11670.00,11300.00,11493.00,9649837864,839607,177,D,11279.00,11500.00
Iran.China.Clay,20181127,11165.00,11690.00,11150.00,11279.00,7912484647,701521,162,D,11165.00,11500.00
Iran.China.Clay,20181126,11201.00,11500.00,11156.00,11165.00,4471758336,400533,92,D,11743.00,11500.00
Iran.China.Clay,20181124,11550.00,11570.00,11355.00,11743.00,489354326,42636,43,D,11849.00,11470.00
Iran.China.Clay,20181121,12479.00,12479.00,11533.00,11849.00,999042926,85894,43,D,12140.00,11970.00
Iran.China.Clay,20181120,12213.00,12500.00,12073.00,12140.00,2674985256,220345,123,D,12708.00,12073.00
Iran.China.Clay,20181119,13000.00,13000.00,12253.00,12708.00,1894491959,149093,90,D,12853.00,12461.00
Iran.China.Clay,20181118,12925.00,13440.00,12290.00,12853.00,1853601995,144248,147,D,12936.00,12380.00
Iran.China.Clay,20181117,12800.00,13100.00,12706.00,12936.00,7986126207,617362,244,D,12892.00,13090.00
Iran.China.Clay,20181114,13284.00,13284.00,12750.00,12892.00,6488129800,503285,198,D,13373.00,12830.00
Iran.China.Clay,20181113,13399.00,13411.00,12700.00,13373.00,18612176526,1391742,441,D,12773.00,13280.00
Iran.China.Clay,20181112,12910.00,12919.00,12580.00,12773.00,13677589484,1070806,287,D,12304.00,12919.00
Iran.China.Clay,20181111,11431.00,12555.00,11430.00,12304.00,25137910417,2043112,416,D,11958.00,12555.00
Iran.China.Clay,20181110,11979.00,12070.00,11620.00,11958.00,7550908358,631463,167,D,11746.00,12050.00
Iran.China.Clay,20181106,11770.00,11987.00,11251.00,11746.00,3740280933,318433,103,D,11539.00,11700.00
Iran.China.Clay,20181105,11111.00,11791.00,11111.00,11539.00,2411086968,208958,71,D,11235.00,11550.00
Iran.China.Clay,20181104,10832.00,11414.00,10831.00,11235.00,3378324472,300697,65,D,10943.00,11200.00
Iran.China.Clay,20181103,11001.00,11300.00,10803.00,10943.00,1705468127,155844,57,D,11294.00,10826.00
Iran.China.Clay,20181031,11140.00,11412.00,11140.00,11294.00,1356669765,119196,41,D,10956.00,11301.00
Iran.China.Clay,20181029,11129.00,11140.00,10700.00,10956.00,3510403579,320407,154,D,10610.00,11140.00
Iran.China.Clay,20181028,10900.00,10979.00,10401.00,10610.00,4701582184,443126,101,D,10869.00,10800.00
Iran.China.Clay,20181027,10564.00,11520.00,10564.00,10869.00,937726376,87703,74,D,11119.00,10799.00
Iran.China.Clay,20181024,11800.00,11800.00,10937.00,11119.00,6615413499,594970,140,D,11512.00,10937.00
Iran.China.Clay,20181023,11601.00,11999.00,11338.00,11512.00,7943980632,690066,151,D,11934.00,11341.00
Iran.China.Clay,20181022,12180.00,12180.00,11522.00,11934.00,13503690514,1131533,211,D,11849.00,11944.00
Iran.China.Clay,20181021,12280.00,12280.00,11200.00,11849.00,13308249374,1123135,277,D,11764.00,11950.00
Iran.China.Clay,20181020,11764.00,11764.00,11764.00,11764.00,19734027652,1677493,190,D,11204.00,11764.00
Iran.China.Clay,20181017,11400.00,11734.00,10665.00,11204.00,14781199337,1319232,214,D,11176.00,11734.00
Iran.China.Clay,20181016,11370.00,11488.00,10800.00,11176.00,15503332818,1387151,282,D,11042.00,10800.00
Iran.China.Clay,20181015,10961.00,11999.00,10961.00,11042.00,22407029723,2029322,424,D,11537.00,11000.00
Iran.China.Clay,20181014,11013.00,11013.00,11013.00,11537.00,156439665,14205,6,D,11592.00,11013.00
Iran.China.Clay,20181013,11092.00,11092.00,11092.00,11592.00,235649540,21245,11,D,11675.00,11092.00
Iran.China.Clay,20181010,11701.00,12000.00,11546.00,11675.00,2981276000,255350,72,D,12153.00,11546.00
Iran.China.Clay,20181009,12078.00,12685.00,12078.00,12153.00,15241363572,1254161,271,D,12713.00,12078.00
Iran.China.Clay,20181008,12096.00,12096.00,12096.00,12713.00,54432000,4500,3,D,12732.00,12096.00
Iran.China.Clay,20181007,12732.00,12732.00,12732.00,12732.00,3886035576,305218,35,D,13402.00,12732.00
Iran.China.Clay,20181006,13289.00,13950.00,13289.00,13402.00,5401487064,403030,122,D,13988.00,13289.00
Iran.China.Clay,20181003,13439.00,13439.00,13439.00,13988.00,450891889,33551,26,D,14146.00,13439.00
Iran.China.Clay,20181002,13950.00,13950.00,13707.00,14146.00,842446641,61321,45,D,14428.00,13707.00
Iran.China.Clay,20181001,14634.00,15300.00,13903.00,14428.00,14643522114,1014943,261,D,13938.00,13903.00
Iran.China.Clay,20180929,14067.00,14067.00,14067.00,13938.00,1702107000,121000,9,D,13398.00,14067.00
Iran.China.Clay,20180926,12764.00,13402.00,12764.00,13398.00,21408522611,1597841,151,D,12157.00,13402.00
Iran.China.Clay,20180925,12163.00,12163.00,12163.00,12157.00,1806254152,148504,23,D,11584.00,12163.00
