<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Counter,20190227,21075.00,21075.00,21075.00,21075.00,7364532300,349444,250,D,46567.00,21075.00
Iran.Counter,20190219,21075.00,21075.00,21075.00,21075.00,12039452025,571267,562,D,46567.00,21075.00
Iran.Counter,20180708,21075.00,21075.00,21075.00,21075.00,16933341000,803480,249,D,46567.00,21075.00
Iran.Counter,20180624,21075.00,21075.00,21075.00,21075.00,44583361650,2115462,361,D,46567.00,21075.00
Iran.Counter,20180512,21075.00,21075.00,21075.00,21075.00,56874280575,2698661,655,D,46567.00,21075.00
Iran.Counter,20180418,21075.00,21075.00,21075.00,21075.00,25538495325,1211791,553,D,46567.00,21075.00
Iran.Counter,20180314,21075.00,21075.00,21075.00,21075.00,49539105750,2350610,804,D,46567.00,21075.00
Iran.Counter,20180131,21075.00,21075.00,21075.00,21075.00,37394278725,1774343,885,D,46567.00,21075.00
Iran.Counter,20180117,21075.00,21075.00,21075.00,21075.00,64922001150,3080522,2209,D,46567.00,21075.00
Iran.Counter,20160518,51581.00,51581.00,51581.00,51581.00,103162000000,2000000,2,D,54295.00,51581.00
Iran.Counter,20141102,11250.00,11250.00,11250.00,11250.00,44163056250,3925605,1,D,11007.00,11250.00
