<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Darou,20190227,1800.00,1830.00,1777.00,1794.00,312873140,174067,44,D,1788.00,1777.00
Iran.Darou,20190226,1771.00,1830.00,1771.00,1788.00,83302257,46058,14,D,1784.00,1800.00
Iran.Darou,20190225,1788.00,1800.00,1770.00,1784.00,479624257,268917,45,D,1797.00,1795.00
Iran.Darou,20190224,1778.00,1820.00,1773.00,1797.00,362731064,202130,31,D,1804.00,1820.00
Iran.Darou,20190223,1773.00,1837.00,1773.00,1804.00,482490839,267473,38,D,1808.00,1830.00
Iran.Darou,20190220,1767.00,1820.00,1767.00,1808.00,269711162,149507,23,D,1814.00,1798.00
Iran.Darou,20190219,1821.00,1821.00,1790.00,1814.00,183886251,102015,24,D,1821.00,1798.00
Iran.Darou,20190218,1800.00,1877.00,1799.00,1821.00,398601651,220593,69,D,1885.00,1806.00
Iran.Darou,20190217,1897.00,1897.00,1875.00,1885.00,522159415,277001,45,D,1830.00,1880.00
Iran.Darou,20190216,1765.00,1836.00,1765.00,1830.00,341963183,187617,49,D,1846.00,1835.00
Iran.Darou,20190213,1870.00,1870.00,1810.00,1846.00,238026288,130216,41,D,1861.00,1811.00
Iran.Darou,20190212,1799.00,1881.00,1799.00,1861.00,810884064,435644,98,D,1792.00,1881.00
Iran.Darou,20190210,1751.00,1820.00,1751.00,1792.00,336941151,187279,75,D,1779.00,1809.00
Iran.Darou,20190206,1765.00,1826.00,1750.00,1779.00,326061655,182635,59,D,1766.00,1826.00
Iran.Darou,20190205,1776.00,1778.00,1750.00,1766.00,370511438,210535,42,D,1787.00,1771.00
Iran.Darou,20190204,1800.00,1800.00,1770.00,1787.00,232815219,131085,31,D,1798.00,1772.00
Iran.Darou,20190203,1760.00,1839.00,1760.00,1798.00,591262436,328923,69,D,1826.00,1839.00
Iran.Darou,20190202,1800.00,1824.00,1800.00,1826.00,183401406,101022,21,D,1832.00,1810.00
Iran.Darou,20190130,1860.00,1860.00,1818.00,1832.00,483950208,264111,77,D,1870.00,1818.00
Iran.Darou,20190129,1960.00,1980.00,1850.00,1870.00,607841777,325013,123,D,1939.00,1860.00
Iran.Darou,20190128,1980.00,2008.00,1900.00,1939.00,1115387718,575162,112,D,1933.00,1910.00
Iran.Darou,20190127,1901.00,1966.00,1900.00,1933.00,315301679,162322,44,D,1917.00,1939.00
Iran.Darou,20190126,1910.00,1944.00,1906.00,1917.00,232346236,120971,32,D,1913.00,1924.00
Iran.Darou,20190123,1907.00,1952.00,1905.00,1913.00,423196390,220704,70,D,1867.00,1920.00
Iran.Darou,20190122,1827.00,1908.00,1827.00,1867.00,448007982,240103,56,D,1916.00,1880.00
Iran.Darou,20190121,1870.00,1905.00,1862.00,1916.00,152967798,81084,38,D,1930.00,1900.00
Iran.Darou,20190120,1901.00,1939.00,1901.00,1930.00,354173209,184411,65,D,1958.00,1901.00
Iran.Darou,20190119,2044.00,2044.00,1943.00,1958.00,1107809795,565686,150,D,2045.00,1943.00
Iran.Darou,20190116,2097.00,2097.00,1957.00,2045.00,2278677797,1114254,217,D,2021.00,2010.00
Iran.Darou,20190115,1944.00,2032.00,1944.00,2021.00,2850219589,1410623,165,D,1936.00,2032.00
Iran.Darou,20190114,1953.00,1953.00,1874.00,1936.00,1906149174,984513,224,D,1860.00,1928.00
Iran.Darou,20190113,1874.00,1874.00,1874.00,1860.00,452850226,241649,44,D,1785.00,1874.00
Iran.Darou,20190112,1759.00,1832.00,1721.00,1785.00,713137618,399488,105,D,1745.00,1832.00
Iran.Darou,20190109,1717.00,1760.00,1717.00,1745.00,118389715,67875,25,D,1745.00,1748.00
Iran.Darou,20190108,1773.00,1773.00,1730.00,1745.00,96792875,55113,21,D,1742.00,1730.00
Iran.Darou,20190107,1730.00,1772.00,1730.00,1742.00,342751795,196952,50,D,1747.00,1731.00
Iran.Darou,20190106,1770.00,1770.00,1746.00,1747.00,292313161,166425,51,D,1734.00,1746.00
Iran.Darou,20190105,1775.00,1776.00,1706.00,1734.00,337422126,194981,42,D,1740.00,1744.00
Iran.Darou,20190102,1720.00,1750.00,1720.00,1740.00,176562158,102126,33,D,1746.00,1722.00
Iran.Darou,20190101,1751.00,1780.00,1721.00,1746.00,354871360,203458,58,D,1752.00,1750.00
Iran.Darou,20181231,1783.00,1784.00,1747.00,1752.00,216230101,123283,31,D,1750.00,1750.00
Iran.Darou,20181230,1768.00,1780.00,1730.00,1750.00,151600707,86778,31,D,1751.00,1736.00
Iran.Darou,20181229,1800.00,1810.00,1753.00,1751.00,144706764,81440,26,D,1741.00,1756.00
