<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Fold,20190227,2728.00,2785.00,2727.00,2746.00,2322719973,846498,187,D,2747.00,2730.00
Iran.Fold,20190226,2712.00,2800.00,2710.00,2747.00,4632406944,1696739,321,D,2841.00,2727.00
Iran.Fold,20190225,2860.00,2900.00,2780.00,2841.00,7155260466,2518868,397,D,2895.00,2800.00
Iran.Fold,20190224,2900.00,2970.00,2824.00,2895.00,9764576639,3372936,481,D,2962.00,2850.00
Iran.Fold,20190223,2891.00,2994.00,2890.00,2962.00,30803063617,10400910,999,D,2852.00,2900.00
Iran.Fold,20190220,2788.00,2871.00,2735.00,2852.00,14885071422,5219260,478,D,2735.00,2871.00
Iran.Fold,20190219,2780.00,2790.00,2705.00,2735.00,3546705452,1288148,227,D,2703.00,2780.00
Iran.Fold,20190218,2766.00,2818.00,2670.00,2703.00,8106991684,2999629,284,D,2750.00,2685.00
Iran.Fold,20190217,2720.00,2799.00,2651.00,2750.00,9442660503,3433977,559,D,2790.00,2706.00
Iran.Fold,20190216,2843.00,2855.00,2720.00,2790.00,4358193594,1566253,320,D,2816.00,2760.00
Iran.Fold,20190213,2760.00,2865.00,2745.00,2816.00,7262048292,2578842,477,D,2830.00,2834.00
Iran.Fold,20190212,2807.00,2891.00,2762.00,2830.00,6066712071,2143877,436,D,2800.00,2776.00
Iran.Fold,20190210,2725.00,2870.00,2725.00,2800.00,6773613433,2418890,552,D,2759.00,2810.00
Iran.Fold,20190206,2698.00,2770.00,2650.00,2759.00,30302295962,10981788,1387,D,2639.00,2770.00
Iran.Fold,20190205,2538.00,2648.00,2538.00,2639.00,21671704179,8212639,457,D,2522.00,2648.00
Iran.Fold,20190204,2442.00,2624.00,2442.00,2522.00,4074513158,1617338,246,D,2533.00,2624.00
Iran.Fold,20190203,2465.00,2594.00,2465.00,2533.00,2469172963,990752,173,D,2574.00,2520.00
Iran.Fold,20190202,2630.00,2630.00,2522.00,2574.00,2722604219,1057424,123,D,2574.00,2550.00
Iran.Fold,20190130,2624.00,2630.00,2550.00,2574.00,3151100085,1222990,136,D,2570.00,2560.00
