<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Parenteral,20190227,7000.00,7425.00,6726.00,7005.00,800563927,116006,45,D,7079.00,7187.00
Iran.Parenteral,20190226,7010.00,7070.00,6770.00,7079.00,114942930,16501,18,D,7086.00,6800.00
Iran.Parenteral,20190225,7125.00,7426.00,7125.00,7086.00,154699816,21377,12,D,7073.00,7300.00
Iran.Parenteral,20190224,7353.00,7353.00,7203.00,7073.00,463964612,63448,40,D,7003.00,7353.00
Iran.Parenteral,20190223,6902.00,7336.00,6901.00,7003.00,6790472926,969694,52,D,6987.00,7336.00
Iran.Parenteral,20190220,7000.00,7100.00,6851.00,6987.00,104247832,14966,15,D,6988.00,7100.00
Iran.Parenteral,20190219,7178.00,7316.00,7100.00,6988.00,116029742,15950,26,D,6971.00,7100.00
Iran.Parenteral,20190218,6811.00,7178.00,6810.00,6971.00,43574630,6148,14,D,6968.00,7178.00
Iran.Parenteral,20190217,7070.00,7070.00,6810.00,6968.00,89040490,12957,12,D,6973.00,7070.00
Iran.Parenteral,20190216,6900.00,6900.00,6900.00,6973.00,3450000,500,1,D,6973.00,6900.00
Iran.Parenteral,20190213,7000.00,7000.00,7000.00,6973.00,7000000,1000,1,D,6973.00,7000.00
Iran.Parenteral,20190206,7030.00,7250.00,7030.00,6973.00,435969120,60965,21,D,6923.00,7190.00
Iran.Parenteral,20190205,7060.00,7060.00,6803.00,6923.00,81723720,11996,9,D,6928.00,7030.00
Iran.Parenteral,20190204,7070.00,7080.00,6927.00,6928.00,56457512,8034,11,D,6925.00,6927.00
Iran.Parenteral,20190203,7080.00,7080.00,6923.00,6925.00,9949800,1408,5,D,6924.00,7080.00
Iran.Parenteral,20190202,7180.00,7190.00,7100.00,6924.00,59468060,8300,15,D,6917.00,7189.00
Iran.Parenteral,20190130,7230.00,7230.00,7063.00,6917.00,201808698,28220,29,D,6891.00,7200.00
Iran.Parenteral,20190129,6900.00,6900.00,6700.00,6891.00,138551327,20655,11,D,6906.00,6700.00
Iran.Parenteral,20190128,6863.00,7150.00,6600.00,6906.00,210916337,30195,22,D,6896.00,7000.00
Iran.Parenteral,20190127,6861.00,7000.00,6861.00,6896.00,21304059,3089,10,D,6896.00,6863.00
Iran.Parenteral,20190126,6850.00,6887.00,6850.00,6896.00,29378025,4286,5,D,6897.00,6860.00
Iran.Parenteral,20190123,6829.00,7000.00,6680.00,6897.00,59383904,8674,16,D,6899.00,6692.00
Iran.Parenteral,20190122,6837.00,6850.00,6837.00,6899.00,9935234,1451,6,D,6899.00,6850.00
Iran.Parenteral,20190121,6848.00,6848.00,6845.00,6899.00,3081150,450,3,D,6899.00,6845.00
Iran.Parenteral,20190120,6825.00,6850.00,6571.00,6899.00,119957782,18004,28,D,6915.00,6700.00
Iran.Parenteral,20190119,6716.00,6866.00,6600.00,6915.00,94364617,13956,19,D,6923.00,6850.00
Iran.Parenteral,20190116,6800.00,6874.00,6716.00,6923.00,805501896,119728,84,D,7069.00,6833.00
Iran.Parenteral,20190115,7000.00,7000.00,6800.00,7069.00,150872500,21600,9,D,7076.00,7000.00
Iran.Parenteral,20190114,6952.00,7199.00,6750.00,7076.00,161429300,23204,18,D,7087.00,7199.00
Iran.Parenteral,20190113,7045.00,7049.00,7000.00,7087.00,208858182,29774,14,D,7096.00,7000.00
Iran.Parenteral,20190112,7100.00,7100.00,7050.00,7096.00,110937900,15699,9,D,7098.00,7050.00
Iran.Parenteral,20190109,7200.00,7200.00,7110.00,7098.00,37289730,5182,6,D,7096.00,7110.00
Iran.Parenteral,20190108,7100.00,7200.00,7045.00,7096.00,124649485,17576,31,D,7096.00,7200.00
