<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Tire,20190227,4988.00,5109.00,4900.00,5087.00,11312468857,2223624,343,D,4866.00,5109.00
Iran.Tire,20190226,4700.00,4924.00,4541.00,4866.00,25301395201,5199583,798,D,4690.00,4921.00
Iran.Tire,20190225,4700.00,4708.00,4572.00,4690.00,20380444536,4345689,539,D,4484.00,4708.00
Iran.Tire,20190224,4300.00,4502.00,4300.00,4484.00,10810114520,2410921,237,D,4288.00,4502.00
Iran.Tire,20190223,4217.00,4385.00,4190.00,4288.00,2055017093,479302,202,D,4216.00,4220.00
Iran.Tire,20190220,4370.00,4370.00,4139.00,4216.00,9476015850,2247489,411,D,4346.00,4240.00
Iran.Tire,20190219,4252.00,4424.00,4252.00,4346.00,4269124841,982247,211,D,4393.00,4290.00
Iran.Tire,20190218,4350.00,4485.00,4299.00,4393.00,5584917693,1271413,338,D,4283.00,4348.00
Iran.Tire,20190217,4380.00,4400.00,4210.00,4283.00,4024205229,939469,143,D,4352.00,4260.00
Iran.Tire,20190216,4472.00,4472.00,4320.00,4352.00,6017289939,1382702,194,D,4435.00,4382.00
Iran.Tire,20190213,4420.00,4505.00,4201.00,4435.00,11740997124,2647289,418,D,4291.00,4300.00
Iran.Tire,20190212,4155.00,4400.00,4155.00,4291.00,6171154964,1438065,307,D,4224.00,4400.00
Iran.Tire,20190210,4202.00,4390.00,4064.00,4224.00,2381512949,563817,168,D,4277.00,4200.00
Iran.Tire,20190206,4329.00,4350.00,4210.00,4277.00,2124455850,496749,121,D,4241.00,4350.00
Iran.Tire,20190205,4200.00,4352.00,4140.00,4241.00,4039159791,952300,240,D,4145.00,4290.00
Iran.Tire,20190204,4220.00,4355.00,4120.00,4145.00,7376544907,1779805,286,D,4213.00,4188.00
Iran.Tire,20190203,4283.00,4494.00,4198.00,4213.00,2525794820,599512,176,D,4418.00,4198.00
Iran.Tire,20190202,4400.00,4540.00,4265.00,4418.00,2420190546,547817,146,D,4406.00,4282.00
Iran.Tire,20190130,4444.00,4450.00,4365.00,4406.00,2671567997,606330,162,D,4458.00,4365.00
Iran.Tire,20190129,4400.00,4502.00,4362.00,4458.00,966462480,216783,136,D,4529.00,4396.00
Iran.Tire,20190128,4630.00,4630.00,4403.00,4529.00,4272495400,943465,210,D,4543.00,4460.00
Iran.Tire,20190127,4530.00,4616.00,4450.00,4543.00,13644991800,3003298,575,D,4397.00,4451.00
Iran.Tire,20190126,4397.00,4397.00,4397.00,4397.00,11871205274,2699842,300,D,4188.00,4397.00
Iran.Tire,20190123,4277.00,4350.00,4122.00,4188.00,2331693715,556776,193,D,4181.00,4170.00
Iran.Tire,20190122,3983.00,4269.00,3983.00,4181.00,7522856468,1799248,233,D,4074.00,4260.00
Iran.Tire,20190121,4100.00,4199.00,4068.00,4074.00,5708903891,1401372,192,D,4282.00,4068.00
Iran.Tire,20190120,4309.00,4380.00,4150.00,4282.00,1997123369,466353,186,D,4235.00,4160.00
Iran.Tire,20190119,4236.00,4236.00,4200.00,4235.00,8628423077,2037599,372,D,4035.00,4236.00
Iran.Tire,20190116,4199.00,4199.00,3943.00,4035.00,4015527360,995167,150,D,4150.00,4089.00
Iran.Tire,20190115,4300.00,4320.00,4080.00,4150.00,3339960528,804887,199,D,4261.00,4150.00
Iran.Tire,20190114,4048.00,4282.00,4048.00,4261.00,13075696575,3068712,479,D,4079.00,4282.00
Iran.Tire,20190113,4053.00,4140.00,4000.00,4079.00,3740844799,917203,249,D,4116.00,4100.00
Iran.Tire,20190112,3935.00,4154.00,3935.00,4116.00,6595514790,1602429,391,D,3957.00,4090.00
Iran.Tire,20190109,3882.00,3998.00,3882.00,3957.00,2416761467,610698,146,D,4006.00,3935.00
Iran.Tire,20190108,3987.00,4099.00,3900.00,4006.00,2857132113,713160,260,D,3911.00,3902.00
Iran.Tire,20190107,3872.00,3987.00,3660.00,3911.00,6670649821,1705777,387,D,3798.00,3987.00
Iran.Tire,20190106,3797.00,3802.00,3710.00,3798.00,3518330199,926394,159,D,3621.00,3802.00
Iran.Tire,20190105,3718.00,3718.00,3600.00,3621.00,2429355515,670916,126,D,3707.00,3675.00
Iran.Tire,20190102,3759.00,3800.00,3601.00,3707.00,2827513793,762676,154,D,3751.00,3713.00
Iran.Tire,20190101,3610.00,3758.00,3610.00,3751.00,2873275680,766098,174,D,3688.00,3758.00
Iran.Tire,20181231,3450.00,3749.00,3450.00,3688.00,6379130834,1729670,290,D,3580.00,3687.00
Iran.Tire,20181230,3580.00,3674.00,3468.00,3580.00,3363042361,939346,201,D,3542.00,3489.00
Iran.Tire,20181229,3690.00,3690.00,3480.00,3542.00,1351013742,381386,124,D,3542.00,3540.00
