<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Yasa.Tire,20190227,3070.00,3243.00,3070.00,3191.00,4756728880,1490445,231,D,3114.00,3239.00
Iran.Yasa.Tire,20190226,3009.00,3247.00,3009.00,3114.00,2467086121,792343,147,D,3167.00,3129.00
Iran.Yasa.Tire,20190225,3200.00,3250.00,3121.00,3167.00,4778267330,1508682,212,D,3155.00,3159.00
Iran.Yasa.Tire,20190224,3200.00,3299.00,3110.00,3155.00,3022402926,958075,245,D,3228.00,3152.00
Iran.Yasa.Tire,20190223,3071.00,3295.00,3056.00,3228.00,12233389972,3790221,445,D,3139.00,3242.00
Iran.Yasa.Tire,20190220,3050.00,3180.00,3050.00,3139.00,4982905821,1587552,300,D,3036.00,3180.00
Iran.Yasa.Tire,20190219,3000.00,3059.00,2937.00,3036.00,6552256914,2158475,307,D,2914.00,3059.00
Iran.Yasa.Tire,20190218,2990.00,2990.00,2853.00,2914.00,2907590826,997790,165,D,2870.00,2960.00
Iran.Yasa.Tire,20190217,3020.00,3020.00,2862.00,2870.00,11852035181,4129802,445,D,3012.00,2864.00
Iran.Yasa.Tire,20190216,3067.00,3100.00,2960.00,3012.00,1634882030,542703,169,D,3067.00,2979.00
Iran.Yasa.Tire,20190213,3040.00,3139.00,3000.00,3067.00,4577399215,1492633,273,D,3109.00,3060.00
Iran.Yasa.Tire,20190212,3158.00,3160.00,3085.00,3109.00,3052988641,981880,165,D,3138.00,3091.00
Iran.Yasa.Tire,20190210,3187.00,3187.00,3040.00,3138.00,1919350288,611733,137,D,3130.00,3137.00
Iran.Yasa.Tire,20190206,3202.00,3205.00,3086.00,3130.00,3801984096,1214697,185,D,3175.00,3095.00
Iran.Yasa.Tire,20190205,3100.00,3224.00,3100.00,3175.00,10511242450,3310405,382,D,3071.00,3132.00
Iran.Yasa.Tire,20190204,3001.00,3139.00,3000.00,3071.00,4214838149,1372381,281,D,3037.00,3090.00
Iran.Yasa.Tire,20190203,3075.00,3139.00,3032.00,3037.00,13473399116,4435844,411,D,3191.00,3074.00
Iran.Yasa.Tire,20190202,3250.00,3280.00,3079.00,3191.00,12542995526,3931139,617,D,3127.00,3110.00
Iran.Yasa.Tire,20190130,3080.00,3153.00,3001.00,3127.00,9276230973,2966299,422,D,3003.00,3153.00
Iran.Yasa.Tire,20190129,3069.00,3129.00,2920.00,3003.00,15023446484,5002814,749,D,3023.00,3011.00
Iran.Yasa.Tire,20190128,2900.00,3042.00,2900.00,3023.00,30006448709,9926335,969,D,2898.00,3042.00
Iran.Yasa.Tire,20190127,2898.00,2898.00,2897.00,2898.00,10302541594,3555053,259,D,2760.00,2898.00
Iran.Yasa.Tire,20190126,2738.00,2816.00,2657.00,2760.00,6646929507,2408135,296,D,2682.00,2816.00
Iran.Yasa.Tire,20190123,2651.00,2739.00,2650.00,2682.00,3188935698,1188966,250,D,2709.00,2699.00
Iran.Yasa.Tire,20190122,2625.00,2770.00,2625.00,2709.00,3254174685,1201352,229,D,2687.00,2690.00
Iran.Yasa.Tire,20190121,2789.00,2819.00,2682.00,2687.00,8969749465,3337862,375,D,2823.00,2682.00
Iran.Yasa.Tire,20190120,2812.00,2870.00,2800.00,2823.00,3914274498,1386702,175,D,2842.00,2811.00
Iran.Yasa.Tire,20190119,2888.00,2898.00,2799.00,2842.00,4883433422,1718176,244,D,2848.00,2821.00
Iran.Yasa.Tire,20190116,2895.00,2895.00,2799.00,2848.00,3547756968,1245736,282,D,2778.00,2817.00
Iran.Yasa.Tire,20190115,2681.00,2841.00,2630.00,2778.00,11702485167,4212402,538,D,2706.00,2841.00
Iran.Yasa.Tire,20190114,2787.00,2790.00,2671.00,2706.00,8079186048,2985498,576,D,2807.00,2695.00
Iran.Yasa.Tire,20190113,2855.00,2860.00,2788.00,2807.00,6561055122,2337380,395,D,2867.00,2800.00
Iran.Yasa.Tire,20190112,2840.00,0.00,0.00,2867.00,4650013296,1622042,268,D,2835.00,2855.00
Iran.Yasa.Tire,20190109,2900.00,2900.00,2790.00,2835.00,5939773658,2095057,469,D,2879.00,2847.00
Iran.Yasa.Tire,20190108,2935.00,2946.00,2814.00,2879.00,8533543315,2964404,560,D,2896.00,2865.00
Iran.Yasa.Tire,20190107,2835.00,2940.00,2754.00,2896.00,20162776955,6961291,1145,D,2819.00,2889.00
Iran.Yasa.Tire,20190106,2710.00,2837.00,2703.00,2819.00,16946678164,6011652,631,D,2702.00,2815.00
Iran.Yasa.Tire,20190105,2660.00,2775.00,2622.00,2702.00,7997376656,2960222,467,D,2693.00,2700.00
Iran.Yasa.Tire,20190102,2835.00,2835.00,2650.00,2693.00,6982961242,2593288,428,D,2779.00,2677.00
Iran.Yasa.Tire,20190101,2710.00,2840.00,2663.00,2779.00,9229198389,3321000,419,D,2717.00,2769.00
Iran.Yasa.Tire,20181231,2660.00,2770.00,2582.00,2717.00,9635917214,3546611,535,D,2647.00,2697.00
Iran.Yasa.Tire,20181230,2760.00,2760.00,2591.00,2647.00,9298301774,3512425,477,D,2636.00,2662.00
Iran.Yasa.Tire,20181229,2579.00,2653.00,2530.00,2636.00,20943773925,7946313,736,D,2527.00,2653.00
Iran.Yasa.Tire,20181226,2560.00,2588.00,2483.00,2527.00,4767512778,1886650,248,D,2517.00,2520.00
Iran.Yasa.Tire,20181225,2500.00,2590.00,2480.00,2517.00,4183262203,1661804,282,D,2506.00,2500.00
Iran.Yasa.Tire,20181224,2550.00,2550.00,2476.00,2506.00,3027341683,1207912,223,D,2563.00,2497.00
Iran.Yasa.Tire,20181223,2559.00,2580.00,2502.00,2563.00,11899860535,4642463,604,D,2458.00,2520.00
Iran.Yasa.Tire,20181222,2400.00,2509.00,2371.00,2458.00,6196578742,2521278,342,D,2390.00,2509.00
Iran.Yasa.Tire,20181219,2498.00,2498.00,2350.00,2390.00,2663805673,1114571,209,D,2422.00,2389.00
Iran.Yasa.Tire,20181218,2480.00,2480.00,2405.00,2422.00,2675655773,1104661,184,D,2488.00,2406.00
Iran.Yasa.Tire,20181217,2580.00,2589.00,2416.00,2488.00,4182476215,1681108,274,D,2530.00,2420.00
Iran.Yasa.Tire,20181216,2483.00,2600.00,2403.00,2530.00,9337934825,3691591,573,D,2516.00,2554.00
Iran.Yasa.Tire,20181215,2499.00,2576.00,2450.00,2516.00,14406016068,5725447,828,D,2480.00,2500.00
Iran.Yasa.Tire,20181212,2380.00,2489.00,2371.00,2480.00,8137687225,3281971,358,D,2371.00,2489.00
Iran.Yasa.Tire,20181211,2400.00,2430.00,2340.00,2371.00,3162886769,1333820,249,D,2365.00,2349.00
Iran.Yasa.Tire,20181210,2370.00,2404.00,2350.00,2365.00,4974788127,2103231,328,D,2424.00,2380.00
Iran.Yasa.Tire,20181209,2510.00,2532.00,2359.00,2424.00,9930467201,4096725,583,D,2483.00,2389.00
Iran.Yasa.Tire,20181208,2500.00,2520.00,2444.00,2483.00,9254452210,3727675,730,D,2413.00,2450.00
Iran.Yasa.Tire,20181205,2250.00,2420.00,2250.00,2413.00,4985121306,2066336,179,D,2305.00,2420.00
Iran.Yasa.Tire,20181204,2400.00,2438.00,2281.00,2305.00,7196908598,3122184,431,D,2401.00,2281.00
Iran.Yasa.Tire,20181203,2445.00,2445.00,2360.00,2401.00,4529206480,1886647,277,D,2380.00,2390.00
Iran.Yasa.Tire,20181202,2411.00,2440.00,2352.00,2380.00,6324689440,2657644,417,D,2341.00,2410.00
Iran.Yasa.Tire,20181201,2400.00,2400.00,2335.00,2341.00,6831187728,2918254,350,D,2457.00,2335.00
Iran.Yasa.Tire,20181128,2498.00,2550.00,2400.00,2457.00,6330416068,2576473,418,D,2505.00,2497.00
Iran.Yasa.Tire,20181127,2430.00,2563.00,2353.00,2505.00,14406207388,5749859,773,D,2441.00,2498.00
Iran.Yasa.Tire,20181126,2590.00,2590.00,2430.00,2441.00,9849009195,4034520,466,D,2557.00,2430.00
Iran.Yasa.Tire,20181124,2610.00,2650.00,2545.00,2557.00,18353797079,7177056,775,D,2678.00,2545.00
Iran.Yasa.Tire,20181121,2700.00,2755.00,2587.00,2678.00,12496441003,4666925,772,D,2701.00,2640.00
Iran.Yasa.Tire,20181120,2800.00,2805.00,2664.00,2701.00,54845615549,20307266,2148,D,2804.00,2700.00
Iran.Yasa.Tire,20181119,2805.00,2805.00,2756.00,2804.00,21680695482,7732482,463,D,2672.00,2805.00
Iran.Yasa.Tire,20181118,2600.00,2730.00,2470.00,2672.00,54601228579,20432691,1743,D,2715.00,2730.00
Iran.Yasa.Tire,20181117,2579.00,2730.00,2530.00,2715.00,37551956404,13831453,876,D,2600.00,2730.00
Iran.Yasa.Tire,20181114,2601.00,2650.00,2512.00,2600.00,41475698347,15953402,1606,D,2601.00,2588.00
