<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iranian.Lizing,20190227,1333.00,1377.00,1306.00,1341.00,1347880265,1004909,121,D,1319.00,1339.00
Iranian.Lizing,20190226,1317.00,1350.00,1315.00,1319.00,3591796044,2723916,263,D,1384.00,1315.00
Iranian.Lizing,20190225,1405.00,1411.00,1373.00,1384.00,2254173146,1629252,183,D,1445.00,1373.00
Iranian.Lizing,20190224,1451.00,1506.00,1383.00,1445.00,3269348756,2262987,247,D,1382.00,1436.00
Iranian.Lizing,20190223,1420.00,1434.00,1298.00,1382.00,16429651836,11888532,795,D,1366.00,1434.00
Iranian.Lizing,20190220,1436.00,1473.00,1364.00,1366.00,10477099454,7670195,375,D,1435.00,1379.00
Iranian.Lizing,20190219,1453.00,1485.00,1425.00,1435.00,2451127320,1707863,234,D,1499.00,1425.00
Iranian.Lizing,20190218,1560.00,1560.00,1451.00,1499.00,2873442201,1916809,291,D,1518.00,1452.00
Iranian.Lizing,20190217,1470.00,1580.00,1446.00,1518.00,16135286421,10632727,804,D,1506.00,1560.00
Iranian.Lizing,20190216,1515.00,1533.00,1502.00,1506.00,3080374524,2045333,212,D,1581.00,1502.00
Iranian.Lizing,20190213,1637.00,1637.00,1482.00,1581.00,25108947905,15880504,1047,D,1560.00,1510.00
Iranian.Lizing,20190212,1560.00,1560.00,1559.00,1560.00,5129905950,3288403,190,D,1486.00,1560.00
Iranian.Lizing,20190210,1486.00,1486.00,1486.00,1486.00,1517613164,1021274,81,D,1416.00,1486.00
Iranian.Lizing,20190206,1415.00,1418.00,1381.00,1416.00,17276132092,12197680,405,D,1351.00,1418.00
Iranian.Lizing,20190205,1351.00,1351.00,1351.00,1351.00,4712500107,3488157,172,D,1287.00,1351.00
Iranian.Lizing,20190204,1287.00,1287.00,1287.00,1287.00,1470765582,1142786,62,D,1226.00,1287.00
Iranian.Lizing,20190203,1170.00,1232.00,1170.00,1226.00,2312946631,1885882,127,D,1174.00,1232.00
Iranian.Lizing,20190202,1182.00,1190.00,1152.00,1174.00,483153962,411508,62,D,1168.00,1152.00
Iranian.Lizing,20190130,1180.00,1180.00,1160.00,1168.00,693249496,593448,78,D,1175.00,1170.00
Iranian.Lizing,20190129,1170.00,1207.00,1170.00,1175.00,543566189,462713,66,D,1171.00,1175.00
Iranian.Lizing,20190128,1186.00,1211.00,1170.00,1171.00,219217109,184949,27,D,1161.00,1200.00
Iranian.Lizing,20190123,1170.00,1175.00,1140.00,1161.00,503602183,433865,102,D,1169.00,1173.00
Iranian.Lizing,20190122,1180.00,1205.00,1150.00,1169.00,349738491,298243,56,D,1159.00,1170.00
Iranian.Lizing,20190121,1180.00,1180.00,1148.00,1159.00,478703705,413053,62,D,1207.00,1170.00
Iranian.Lizing,20190120,1199.00,1239.00,1180.00,1207.00,1718150865,1423754,163,D,1186.00,1215.00
Iranian.Lizing,20190119,1178.00,1201.00,1160.00,1186.00,555207333,467982,99,D,1202.00,1188.00
Iranian.Lizing,20190116,1227.00,1236.00,1171.00,1202.00,891837853,742241,110,D,1214.00,1191.00
Iranian.Lizing,20190115,1180.00,1236.00,1180.00,1214.00,1090538506,898080,148,D,1194.00,1214.00
Iranian.Lizing,20190114,1176.00,1220.00,1176.00,1194.00,709158773,594018,115,D,1181.00,1200.00
