<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Jaam.Darou,20190227,6306.00,6306.00,6100.00,6181.00,791193204,127995,133,D,6399.00,6249.00
Jaam.Darou,20190226,6650.00,6650.00,6300.00,6399.00,526814563,82333,76,D,6628.00,6300.00
Jaam.Darou,20190225,6659.00,6659.00,6438.00,6628.00,9361843170,1412499,269,D,6342.00,6558.00
Jaam.Darou,20190224,6342.00,6342.00,6342.00,6342.00,10752353640,1695420,157,D,6040.00,6342.00
Jaam.Darou,20190216,8666.00,9099.00,8666.00,9060.00,2239186478,247142,108,D,8666.00,9099.00
Jaam.Darou,20190213,8812.00,8812.00,8630.00,8666.00,343604526,39628,23,D,8656.00,8654.00
Jaam.Darou,20190212,8600.00,8795.00,8400.00,8656.00,305066769,35050,44,D,8589.00,8701.00
Jaam.Darou,20190210,8715.00,8715.00,8400.00,8589.00,470910535,54641,46,D,8306.00,8571.00
Jaam.Darou,20190206,8454.00,8454.00,8200.00,8306.00,326934607,38856,39,D,8119.00,8442.00
Jaam.Darou,20190205,8011.00,8454.00,7931.00,8119.00,371708839,45787,60,D,8120.00,8130.00
Jaam.Darou,20190204,7950.00,8200.00,7950.00,8120.00,71739732,8942,17,D,8137.00,8041.00
Jaam.Darou,20190203,8150.00,8150.00,8050.00,8137.00,142188118,17632,13,D,8166.00,8050.00
Jaam.Darou,20190202,8450.00,8450.00,8000.00,8166.00,240413257,29470,25,D,8174.00,8000.00
Jaam.Darou,20190130,8445.00,8455.00,8051.00,8174.00,363341091,44693,45,D,8334.00,8180.00
Jaam.Darou,20190129,8650.00,8650.00,7940.00,8334.00,70105815,8501,17,D,8349.00,8445.00
Jaam.Darou,20190128,8583.00,8583.00,8330.00,8349.00,188122494,22530,28,D,8348.00,8330.00
Jaam.Darou,20190127,8739.00,8739.00,8060.00,8348.00,35079279,4158,9,D,8341.00,8366.00
Jaam.Darou,20190126,8919.00,8919.00,8322.00,8341.00,769657694,92271,57,D,8759.00,8337.00
Jaam.Darou,20190123,8330.00,8923.00,8330.00,8759.00,108519465,12346,17,D,8750.00,8900.00
Jaam.Darou,20190122,8780.00,8850.00,8750.00,8750.00,442704019,50370,12,D,8472.00,8750.00
Jaam.Darou,20190121,9098.00,9098.00,8446.00,8472.00,642894191,75888,46,D,8890.00,8446.00
Jaam.Darou,20190120,8738.00,8800.00,8738.00,8890.00,27718398,3171,7,D,8899.00,8738.00
Jaam.Darou,20190119,8900.00,9099.00,8800.00,8899.00,446709508,50047,30,D,8715.00,8800.00
Jaam.Darou,20190116,8710.00,8830.00,8570.00,8715.00,219755355,25484,23,D,8782.00,8800.00
Jaam.Darou,20190115,8700.00,8975.00,8700.00,8782.00,1146893035,130593,62,D,8624.00,8960.00
Jaam.Darou,20190114,9130.00,9131.00,8300.00,8624.00,378357098,44008,39,D,8698.00,8830.00
Jaam.Darou,20190113,8300.00,8733.00,8300.00,8698.00,1483137230,170517,90,D,8318.00,8733.00
Jaam.Darou,20190112,8311.00,8580.00,8311.00,8318.00,57401423,6899,9,D,8318.00,8311.00
Jaam.Darou,20190109,8349.00,8500.00,8149.00,8318.00,216361670,25846,18,D,8270.00,8311.00
Jaam.Darou,20190108,8601.00,8612.00,8100.00,8270.00,414176958,50199,72,D,8506.00,8262.00
