<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Jam.Petr.,20190227,11000.00,11000.00,10850.00,10909.00,14539232358,1332756,82,D,10872.00,10891.00
Jam.Petr.,20190226,10950.00,11000.00,10756.00,10872.00,19123189945,1758955,224,D,11037.00,10800.00
Jam.Petr.,20190225,10900.00,11289.00,10900.00,11037.00,16550274865,1499581,247,D,10894.00,11000.00
Jam.Petr.,20190224,11388.00,11388.00,10800.00,10894.00,12786912307,1173715,260,D,11020.00,10900.00
Jam.Petr.,20190223,10600.00,11303.00,10515.00,11020.00,18757031441,1702060,421,D,10840.00,10755.00
Jam.Petr.,20190220,10739.00,10739.00,10450.00,10840.00,3351511643,316115,205,D,10974.00,10600.00
Jam.Petr.,20190219,10980.00,10980.00,10564.00,10974.00,3655346570,340249,176,D,11120.00,10571.00
Jam.Petr.,20190218,11030.00,11030.00,10871.00,11120.00,3524126748,321966,116,D,11220.00,10900.00
Jam.Petr.,20190217,11320.00,11320.00,10889.00,11220.00,3637795815,329634,119,D,11331.00,11030.00
Jam.Petr.,20190216,11282.00,11388.00,11100.00,11331.00,2441882847,218008,116,D,11374.00,11110.00
Jam.Petr.,20190213,11090.00,11499.00,11006.00,11374.00,4880266148,428392,145,D,11356.00,11344.00
Jam.Petr.,20190212,11151.00,11201.00,11106.00,11356.00,1549629186,138661,61,D,11390.00,11200.00
Jam.Petr.,20190210,11200.00,11349.00,11104.00,11390.00,1348527531,119819,42,D,11412.00,11240.00
Jam.Petr.,20190206,11156.00,11400.00,11156.00,11412.00,2975931382,264489,146,D,11483.00,11200.00
Jam.Petr.,20190205,11450.00,11620.00,11281.00,11483.00,2218024615,194558,101,D,11507.00,11400.00
Jam.Petr.,20190204,11000.00,11787.00,11000.00,11507.00,3058584188,264233,88,D,11477.00,11330.00
Jam.Petr.,20190203,11400.00,11800.00,11173.00,11477.00,10338621685,900849,245,D,11761.00,11300.00
Jam.Petr.,20190202,11684.00,11900.00,11380.00,11761.00,8451728487,717085,188,D,11635.00,11400.00
Jam.Petr.,20190130,11400.00,11999.00,11311.00,11635.00,5068317668,433361,144,D,11575.00,11500.00
Jam.Petr.,20190129,11252.00,11699.00,11252.00,11575.00,1980584734,173223,107,D,11611.00,11468.00
Jam.Petr.,20190128,11450.00,11550.00,11300.00,11611.00,1270210219,112084,119,D,11652.00,11300.00
Jam.Petr.,20190127,11501.00,11750.00,11342.00,11652.00,1855155429,162304,143,D,11703.00,11342.00
Jam.Petr.,20190126,11602.00,12000.00,11301.00,11703.00,6665588868,566265,198,D,11574.00,11583.00
Jam.Petr.,20190123,11580.00,11749.00,11440.00,11574.00,2101101242,181526,94,D,11574.00,11519.00
Jam.Petr.,20190122,11500.00,11887.00,11401.00,11574.00,2314221383,200436,136,D,11583.00,11488.00
Jam.Petr.,20190121,11680.00,11999.00,11380.00,11583.00,8884981104,768167,239,D,11710.00,11400.00
Jam.Petr.,20190120,11400.00,12029.00,11160.00,11710.00,13294791356,1135382,447,D,11457.00,11400.00
Jam.Petr.,20190119,11400.00,11480.00,11240.00,11457.00,3842841751,337929,182,D,11512.00,11399.00
Jam.Petr.,20190116,11542.00,11542.00,11251.00,11512.00,4468543148,389409,126,D,11542.00,11402.00
Jam.Petr.,20190115,11671.00,11671.00,11300.00,11542.00,5099672379,446965,303,D,11688.00,11300.00
Jam.Petr.,20190114,11700.00,11700.00,11500.00,11688.00,3267571672,281704,119,D,11731.00,11600.00
Jam.Petr.,20190113,11880.00,11900.00,11500.00,11731.00,5170991008,444101,182,D,11826.00,11500.00
Jam.Petr.,20190112,11926.00,11980.00,11750.00,11826.00,6306640803,529800,224,D,11699.00,11750.00
Jam.Petr.,20190109,11897.00,11990.00,11510.00,11699.00,5896975352,502581,228,D,11643.00,11598.00
Jam.Petr.,20190108,11360.00,11800.00,11360.00,11643.00,10798843048,927493,339,D,11588.00,11640.00
Jam.Petr.,20190107,11500.00,11789.00,11350.00,11588.00,6650670968,580105,393,D,11895.00,11400.00
Jam.Petr.,20190106,11663.00,11701.00,11501.00,11895.00,1928478292,166205,203,D,11970.00,11550.00
Jam.Petr.,20190105,12250.00,12250.00,11665.00,11970.00,7720744454,649230,323,D,12276.00,11681.00
Jam.Petr.,20190102,12252.00,12300.00,11910.00,12276.00,2619034012,217835,292,D,12358.00,11970.00
Jam.Petr.,20190101,12388.00,12388.00,12100.00,12358.00,15476196825,1252365,625,D,11799.00,12236.00
Jam.Petr.,20181231,11700.00,12150.00,11700.00,11799.00,4775726879,398079,296,D,11638.00,12090.00
Jam.Petr.,20181230,11391.00,11997.00,11390.00,11638.00,6608018864,562539,333,D,11451.00,11700.00
Jam.Petr.,20181229,11600.00,11670.00,11294.00,11451.00,7743745358,672433,340,D,11249.00,11385.00
Jam.Petr.,20181226,11400.00,11400.00,11112.00,11249.00,10949860908,973390,400,D,11639.00,11370.00
Jam.Petr.,20181225,12000.00,12000.00,11400.00,11639.00,7398559580,635689,334,D,11734.00,11400.00
Jam.Petr.,20181211,15910.00,16700.00,15910.00,16430.00,21126563431,1285891,424,D,16535.00,16498.00
Jam.Petr.,20181210,16250.00,16280.00,16003.00,16535.00,2867969512,177696,175,D,16706.00,16200.00
Jam.Petr.,20181209,16800.00,16800.00,16100.00,16706.00,3202972372,194640,153,D,16829.00,16313.00
Jam.Petr.,20181208,17000.00,17000.00,16350.00,16829.00,2751572320,167000,157,D,16969.00,16600.00
Jam.Petr.,20181205,16700.00,17100.00,16700.00,16969.00,5394245708,317515,128,D,16944.00,16748.00
