<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kaveh.Company,20190227,3380.00,3380.00,3300.00,3332.00,21939867492,6584004,795,D,3371.00,3302.00
Kaveh.Company,20190226,3325.00,3410.00,3244.00,3371.00,33004954555,9790781,1037,D,3378.00,3390.00
Kaveh.Company,20190225,3330.00,3465.00,3300.00,3378.00,98015178751,29016975,2763,D,3302.00,3395.00
Kaveh.Company,20190224,3302.00,3302.00,3302.00,3302.00,43493435492,13171846,468,D,3145.00,3302.00
Kaveh.Company,20190223,3246.00,3246.00,3246.00,3145.00,3620565678,1115393,71,D,3092.00,3246.00
Kaveh.Company,20190220,3189.00,3189.00,3189.00,3092.00,3946068600,1237400,148,D,3038.00,3189.00
Kaveh.Company,20190219,3095.00,3095.00,3095.00,3038.00,6615389180,2137444,132,D,2948.00,3095.00
Kaveh.Company,20190218,2950.00,3015.00,2931.00,2948.00,6462105273,2157460,292,D,2872.00,3015.00
Kaveh.Company,20190217,2935.00,2935.00,2808.00,2872.00,18866547313,6569740,807,D,2869.00,2921.00
Kaveh.Company,20190216,2859.00,2910.00,2804.00,2869.00,41660753146,14522099,1212,D,2662.00,2877.00
Kaveh.Company,20190204,3530.00,3686.00,3520.00,3611.00,27504867734,7617946,861,D,3538.00,3600.00
Kaveh.Company,20190203,3630.00,3630.00,3500.00,3538.00,22119064148,6251602,588,D,3637.00,3533.00
Kaveh.Company,20190202,3724.00,3724.00,3580.00,3637.00,10799943515,2969363,404,D,3680.00,3580.00
Kaveh.Company,20190130,3678.00,3750.00,3622.00,3680.00,7400021605,2010928,496,D,3678.00,3660.00
Kaveh.Company,20190129,3700.00,3750.00,3621.00,3678.00,11455231982,3114143,517,D,3670.00,3690.00
Kaveh.Company,20190128,3695.00,3790.00,3591.00,3670.00,12370190057,3371046,541,D,3695.00,3616.00
Kaveh.Company,20190127,3841.00,3841.00,3651.00,3695.00,26552193635,7185102,941,D,3843.00,3660.00
Kaveh.Company,20190126,3951.00,3951.00,3825.00,3843.00,38258012556,9956008,1173,D,4026.00,3825.00
Kaveh.Company,20190123,4120.00,4198.00,3911.00,4026.00,30999488414,7699591,1205,D,4056.00,3960.00
