<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kaveh.Paper,20190227,2757.00,2923.00,2757.00,2886.00,8021284196,2779175,467,D,2784.00,2923.00
Kaveh.Paper,20190226,2752.00,2850.00,2752.00,2784.00,4134000214,1484885,300,D,2856.00,2800.00
Kaveh.Paper,20190225,2840.00,2917.00,2800.00,2856.00,4228587583,1480501,386,D,2843.00,2806.00
Kaveh.Paper,20190224,2800.00,2900.00,2798.00,2843.00,4220873330,1484585,363,D,2873.00,2855.00
Kaveh.Paper,20190223,2898.00,2980.00,2796.00,2873.00,5772190993,2009271,456,D,2880.00,2801.00
Kaveh.Paper,20190220,2962.00,2997.00,2856.00,2880.00,12422683011,4314076,800,D,3006.00,2923.00
Kaveh.Paper,20190219,3000.00,3140.00,2955.00,3006.00,6309371054,2098876,471,D,3086.00,2989.00
Kaveh.Paper,20190218,3151.00,3200.00,3050.00,3086.00,6009990404,1947640,457,D,3195.00,3081.00
Kaveh.Paper,20190217,3207.00,3269.00,3110.00,3195.00,11850440673,3708603,758,D,3142.00,3146.00
Kaveh.Paper,20190216,3020.00,3184.00,3000.00,3142.00,19935495097,6345699,1175,D,3033.00,3184.00
Kaveh.Paper,20190213,3020.00,3150.00,2921.00,3033.00,14693983170,4845205,842,D,3066.00,3048.00
Kaveh.Paper,20190212,3230.00,3278.00,2966.00,3066.00,18634682438,6078131,1152,D,3122.00,3000.00
Kaveh.Paper,20190210,2977.00,3201.00,2950.00,3122.00,28590968317,9157710,1347,D,3049.00,3201.00
Kaveh.Paper,20190206,3007.00,3007.00,3007.00,3049.00,324861245,108035,57,D,3165.00,3007.00
Kaveh.Paper,20190205,3165.00,3165.00,3165.00,3165.00,805748865,254581,38,D,3331.00,3165.00
Kaveh.Paper,20190204,3247.00,3247.00,3247.00,3331.00,242346339,74637,30,D,3417.00,3247.00
Kaveh.Paper,20190203,3257.00,3257.00,3257.00,3417.00,30198904,9272,8,D,3428.00,3257.00
Kaveh.Paper,20190202,3550.00,3550.00,3227.00,3428.00,8236937639,2402667,265,D,3396.00,3227.00
Kaveh.Paper,20190130,3396.00,3396.00,3396.00,3396.00,866791644,255239,69,D,3235.00,3396.00
Kaveh.Paper,20190129,3235.00,3235.00,3235.00,3235.00,1062461345,328427,64,D,3081.00,3235.00
Kaveh.Paper,20190128,3084.00,3084.00,3006.00,3081.00,10630525524,3450152,336,D,2938.00,3084.00
Kaveh.Paper,20190127,2847.00,2989.00,2847.00,2938.00,3306590516,1125618,157,D,2840.00,2989.00
Kaveh.Paper,20190105,2850.00,2900.00,2760.00,2840.00,7639584004,2689671,505,D,2903.00,2858.00
Kaveh.Paper,20190102,3050.00,3060.00,2786.00,2903.00,22807123550,7855873,1297,D,2932.00,2834.00
Kaveh.Paper,20190101,2861.00,2957.00,2861.00,2932.00,18837423206,6424933,857,D,2817.00,2957.00
Kaveh.Paper,20181231,2766.00,2835.00,2753.00,2817.00,7417382624,2632700,350,D,2700.00,2835.00
Kaveh.Paper,20181230,2600.00,2723.00,2560.00,2700.00,11846345960,4387469,608,D,2594.00,2723.00
Kaveh.Paper,20181229,2582.00,2630.00,2554.00,2594.00,3710276647,1430339,271,D,2658.00,2583.00
Kaveh.Paper,20181226,2633.00,2708.00,2610.00,2658.00,2212790411,832545,283,D,2682.00,2640.00
Kaveh.Paper,20181225,2639.00,2735.00,2501.00,2682.00,10368501503,3866281,720,D,2613.00,2655.00
Kaveh.Paper,20181224,2599.00,2680.00,2510.00,2613.00,4116862394,1575561,315,D,2607.00,2615.00
Kaveh.Paper,20181223,2625.00,2643.00,2550.00,2607.00,5210151711,1998173,406,D,2518.00,2598.00
Kaveh.Paper,20181222,2450.00,2546.00,2426.00,2518.00,2098997940,833577,144,D,2425.00,2546.00
Kaveh.Paper,20181219,2440.00,2520.00,2387.00,2425.00,3968971486,1636600,287,D,2512.00,2470.00
Kaveh.Paper,20181218,2596.00,2596.00,2508.00,2512.00,4346337108,1730202,340,D,2640.00,2508.00
Kaveh.Paper,20181217,2671.00,2715.00,2596.00,2640.00,4257112356,1612270,323,D,2732.00,2596.00
Kaveh.Paper,20181216,2789.00,2789.00,2630.00,2732.00,9242774873,3383378,596,D,2657.00,2670.00
Kaveh.Paper,20181215,2608.00,2675.00,2570.00,2657.00,4358979939,1640846,298,D,2548.00,2675.00
Kaveh.Paper,20181212,2501.00,2574.00,2500.00,2548.00,2968554317,1164851,283,D,2521.00,2574.00
Kaveh.Paper,20181211,2550.00,2590.00,2500.00,2521.00,2020335275,801272,174,D,2587.00,2501.00
Kaveh.Paper,20181210,2615.00,2680.00,2500.00,2587.00,6936731910,2681703,465,D,2571.00,2500.00
Kaveh.Paper,20181209,2500.00,2590.00,2431.00,2571.00,9989085482,3885799,555,D,2467.00,2590.00
Kaveh.Paper,20181208,2412.00,2500.00,2412.00,2467.00,3092059147,1253264,272,D,2430.00,2486.00
Kaveh.Paper,20181205,2350.00,2481.00,2350.00,2430.00,1884717080,775520,144,D,2393.00,2410.00
Kaveh.Paper,20181204,2418.00,2427.00,2361.00,2393.00,631134256,263731,90,D,2447.00,2394.00
Kaveh.Paper,20181203,2410.00,2500.00,2366.00,2447.00,3777007073,1543755,267,D,2391.00,2400.00
Kaveh.Paper,20181202,2399.00,2425.00,2301.00,2391.00,2053790327,858983,201,D,2335.00,2400.00
Kaveh.Paper,20181201,2468.00,2490.00,2288.00,2335.00,2344573459,1003976,169,D,2406.00,2330.00
Kaveh.Paper,20181128,2368.00,2490.00,2350.00,2406.00,1904944707,791871,174,D,2423.00,2429.00
Kaveh.Paper,20181127,2398.00,2445.00,2281.00,2423.00,3484471938,1438262,315,D,2329.00,2438.00
Kaveh.Paper,20181126,2340.00,2420.00,2301.00,2329.00,1472123668,632036,175,D,2390.00,2310.00
Kaveh.Paper,20181124,2500.00,2500.00,2357.00,2390.00,2442123006,1021689,238,D,2481.00,2399.00
Kaveh.Paper,20181121,2485.00,2520.00,2449.00,2481.00,3481253585,1402925,289,D,2425.00,2490.00
Kaveh.Paper,20181120,2260.00,2433.00,2260.00,2425.00,5370754827,2214425,322,D,2318.00,2433.00
Kaveh.Paper,20181119,2292.00,2388.00,2222.00,2318.00,3039022061,1311092,254,D,2332.00,2260.00
Kaveh.Paper,20181118,2499.00,2499.00,2296.00,2332.00,2117077371,907651,200,D,2416.00,2312.00
Kaveh.Paper,20181117,2579.00,2579.00,2395.00,2416.00,3687931664,1526431,351,D,2521.00,2437.00
Kaveh.Paper,20181114,2550.00,2590.00,2406.00,2521.00,7102043930,2817590,385,D,2496.00,2520.00
Kaveh.Paper,20181113,2496.00,2496.00,2489.00,2496.00,3340634238,1338451,169,D,2378.00,2496.00
Kaveh.Paper,20181112,2318.00,2381.00,2318.00,2378.00,2291538927,963586,151,D,2268.00,2381.00
Kaveh.Paper,20181111,2311.00,2320.00,2235.00,2268.00,3592304748,1584072,287,D,2330.00,2250.00
Kaveh.Paper,20181110,2460.00,2480.00,2289.00,2330.00,4561442057,1957570,425,D,2409.00,2311.00
Kaveh.Paper,20181106,2450.00,2480.00,2380.00,2409.00,2897614574,1202777,274,D,2449.00,2400.00
Kaveh.Paper,20181105,2460.00,2498.00,2410.00,2449.00,1415073568,577761,146,D,2414.00,2450.00
Kaveh.Paper,20181104,2471.00,2474.00,2382.00,2414.00,3730282560,1545567,310,D,2507.00,2382.00
Kaveh.Paper,20181103,2630.00,2630.00,2471.00,2507.00,3148109100,1255599,260,D,2601.00,2473.00
Kaveh.Paper,20181031,2638.00,2638.00,2561.00,2601.00,3869571909,1487454,249,D,2559.00,2612.00
Kaveh.Paper,20181029,2495.00,2576.00,2495.00,2559.00,6798119341,2656187,377,D,2454.00,2576.00
Kaveh.Paper,20181028,2377.00,2545.00,2377.00,2454.00,3624555618,1476819,309,D,2431.00,2440.00
Kaveh.Paper,20181027,2450.00,2530.00,2405.00,2431.00,4344116014,1786856,274,D,2531.00,2405.00
Kaveh.Paper,20181024,2628.00,2628.00,2520.00,2531.00,2575467986,1017768,161,D,2652.00,2520.00
Kaveh.Paper,20181023,2623.00,2880.00,2623.00,2652.00,13145403155,4956692,601,D,2761.00,2674.00
Kaveh.Paper,20181022,2839.00,2850.00,2742.00,2761.00,1996613540,723086,151,D,2886.00,2742.00
Kaveh.Paper,20181021,3011.00,3011.00,2750.00,2886.00,9658105733,3346961,583,D,2868.00,2798.00
Kaveh.Paper,20181020,2653.00,2898.00,2653.00,2868.00,6117789478,2133087,312,D,2760.00,2898.00
Kaveh.Paper,20181017,2780.00,2800.00,2757.00,2760.00,6890122719,2496645,357,D,2902.00,2757.00
Kaveh.Paper,20181016,2932.00,2932.00,2800.00,2902.00,12871124436,4435313,671,D,2793.00,2900.00
Kaveh.Paper,20181015,2705.00,2959.00,2705.00,2793.00,43395375425,15539258,1925,D,2847.00,2939.00
Kaveh.Paper,20181014,2722.00,2722.00,2722.00,2847.00,58166418,21369,5,D,2865.00,2722.00
Kaveh.Paper,20181013,2850.00,2850.00,2850.00,2865.00,427856250,150125,527,D,3000.00,2850.00
Kaveh.Paper,20181010,2888.00,2888.00,2888.00,3000.00,108964240,37730,13,D,3039.00,2888.00
Kaveh.Paper,20181009,3039.00,3039.00,3039.00,3039.00,776759283,255597,274,D,3198.00,3039.00
Kaveh.Paper,20181008,3042.00,3042.00,3042.00,3198.00,10138986,3333,4,D,3202.00,3042.00
Kaveh.Paper,20181007,3097.00,3097.00,3097.00,3202.00,158423938,51154,9,D,3259.00,3097.00
Kaveh.Paper,20181006,3259.00,3259.00,3259.00,3259.00,2178305823,668397,87,D,3430.00,3259.00
Kaveh.Paper,20181003,3430.00,3430.00,3430.00,3430.00,606619510,176857,29,D,3610.00,3430.00
Kaveh.Paper,20181002,3610.00,3610.00,3610.00,3610.00,987150890,273449,54,D,3799.00,3610.00
Kaveh.Paper,20181001,4000.00,4000.00,3720.00,3799.00,24398471174,6422083,980,D,3915.00,3720.00
Kaveh.Paper,20180930,3915.00,3915.00,3915.00,3915.00,1907912610,487334,49,D,3729.00,3915.00
Kaveh.Paper,20180929,3729.00,3729.00,3729.00,3729.00,540604317,144973,42,D,3552.00,3729.00
Kaveh.Paper,20180926,3389.00,3558.00,3389.00,3552.00,1847549854,520138,71,D,3228.00,3558.00
Kaveh.Paper,20180923,3228.00,3228.00,3228.00,3228.00,798032616,247222,25,D,3075.00,3228.00
Kaveh.Paper,20180922,3075.00,3075.00,3075.00,3075.00,3394329525,1103847,91,D,2929.00,3075.00
Kaveh.Paper,20180918,2880.00,2945.00,2801.00,2929.00,4901888908,1673813,202,D,2805.00,2945.00
Kaveh.Paper,20180917,2661.00,2817.00,2580.00,2805.00,19322614129,6887551,662,D,2683.00,2817.00
Kaveh.Paper,20180916,2799.00,2799.00,2673.00,2683.00,6316856533,2354561,453,D,2813.00,2680.00
Kaveh.Paper,20180915,2933.00,2933.00,2671.00,2813.00,11272227268,4007767,588,D,2794.00,2740.00
Kaveh.Paper,20180912,2794.00,2794.00,2794.00,2794.00,834947784,298836,33,D,2661.00,2794.00
Kaveh.Paper,20180911,2629.00,2709.00,2491.00,2661.00,8397259403,3155847,539,D,2580.00,2709.00
Kaveh.Paper,20180910,2589.00,2710.00,2461.00,2580.00,8478337224,3286128,456,D,2466.00,2599.00
Kaveh.Paper,20180909,2466.00,2466.00,2466.00,2466.00,613858914,248929,35,D,2349.00,2466.00
Kaveh.Paper,20180908,2290.00,2359.00,2289.00,2349.00,3172663527,1350768,206,D,2247.00,2359.00
Kaveh.Paper,20180905,2255.00,2255.00,2189.00,2247.00,7213257630,3210008,382,D,2148.00,2255.00
Kaveh.Paper,20180904,2106.00,2154.00,2106.00,2148.00,1364984062,635576,104,D,2052.00,2154.00
Kaveh.Paper,20180903,2020.00,2120.00,2000.00,2052.00,2123901085,1035138,193,D,2024.00,2090.00
Kaveh.Paper,20180902,2087.00,2090.00,2007.00,2024.00,2791525304,1379209,253,D,2112.00,2020.00
Kaveh.Paper,20180901,2180.00,2196.00,2085.00,2112.00,2144887761,1015758,245,D,2165.00,2086.00
Kaveh.Paper,20180829,2100.00,2188.00,2100.00,2165.00,3080508492,1422709,234,D,2101.00,2150.00
Kaveh.Paper,20180828,2132.00,2189.00,2050.00,2101.00,3328251703,1583871,283,D,2092.00,2073.00
Kaveh.Paper,20180827,2131.00,2131.00,1992.00,2092.00,3588023808,1715209,299,D,2030.00,2125.00
Kaveh.Paper,20180826,2000.00,2065.00,1990.00,2030.00,1822566114,897749,146,D,1967.00,2065.00
Kaveh.Paper,20180825,1993.00,2000.00,1920.00,1967.00,2007108019,1020224,166,D,1944.00,1975.00
Kaveh.Paper,20180821,1980.00,2006.00,1900.00,1944.00,4117410979,2117854,273,D,1927.00,1960.00
Kaveh.Paper,20180820,1850.00,1941.00,1850.00,1927.00,3022222219,1568410,237,D,1849.00,1941.00
Kaveh.Paper,20180819,1810.00,1900.00,1802.00,1849.00,1747544961,945321,187,D,1819.00,1850.00
Kaveh.Paper,20180818,1815.00,1837.00,1805.00,1819.00,1598366283,878544,162,D,1815.00,1809.00
Kaveh.Paper,20180815,1839.00,1845.00,1796.00,1815.00,1295142375,713742,116,D,1819.00,1815.00
Kaveh.Paper,20180814,1820.00,1840.00,1801.00,1819.00,1296899627,713090,165,D,1814.00,1803.00
Kaveh.Paper,20180813,1808.00,1838.00,1780.00,1814.00,2288174128,1261630,201,D,1787.00,1810.00
Kaveh.Paper,20180812,1815.00,1815.00,1752.00,1787.00,1144191747,640122,144,D,1754.00,1812.00
Kaveh.Paper,20180811,1760.00,1800.00,1711.00,1754.00,1300013488,741124,159,D,1731.00,1760.00
Kaveh.Paper,20180808,1763.00,1799.00,1700.00,1731.00,1274367195,736369,137,D,1768.00,1760.00
Kaveh.Paper,20180807,1780.00,1800.00,1762.00,1768.00,3029829860,1713774,256,D,1854.00,1796.00
Kaveh.Paper,20180806,1897.00,1897.00,1768.00,1854.00,3053126182,1647113,299,D,1807.00,1768.00
Kaveh.Paper,20180805,1717.00,1831.00,1710.00,1807.00,2458840338,1361021,253,D,1744.00,1810.00
Kaveh.Paper,20180804,1859.00,1860.00,1713.00,1744.00,2291386456,1314085,224,D,1803.00,1779.00
Kaveh.Paper,20180801,1790.00,1868.00,1770.00,1803.00,2750357955,1525127,202,D,1815.00,1802.00
Kaveh.Paper,20180731,1768.00,1831.00,1670.00,1815.00,3908753690,2153237,374,D,1744.00,1831.00
Kaveh.Paper,20180730,1857.00,1857.00,1730.00,1744.00,2975967453,1706674,283,D,1821.00,1730.00
