<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kermanshah.Petr,20190227,6278.00,6432.00,6276.00,6464.00,1104645831,173901,50,D,6480.00,6351.00
Kermanshah.Petr,20190226,6205.00,6465.00,6205.00,6480.00,2495974584,393146,83,D,6530.00,6303.00
Kermanshah.Petr,20190225,6375.00,6640.00,6375.00,6530.00,5789591783,886111,112,D,6525.00,6588.00
Kermanshah.Petr,20190224,6501.00,6640.00,6300.00,6525.00,9677409495,1483239,193,D,6539.00,6500.00
Kermanshah.Petr,20190223,6480.00,6611.00,6341.00,6539.00,6086106911,928925,152,D,6513.00,6580.00
Kermanshah.Petr,20190220,6450.00,6529.00,6300.00,6513.00,1789420055,276208,70,D,6521.00,6500.00
Kermanshah.Petr,20190219,6240.00,6579.00,6161.00,6521.00,13243360013,2030835,179,D,6266.00,6411.00
Kermanshah.Petr,20190218,6170.00,6348.00,6150.00,6266.00,4385858753,698218,88,D,6251.00,6311.00
Kermanshah.Petr,20190217,6074.00,6160.00,6072.00,6251.00,1400943208,228648,78,D,6275.00,6160.00
Kermanshah.Petr,20190216,6152.00,6289.00,6152.00,6275.00,1429346452,231643,64,D,6296.00,6157.00
Kermanshah.Petr,20190213,6071.00,6422.00,6071.00,6296.00,4041291351,640920,78,D,6289.00,6201.00
Kermanshah.Petr,20190212,6202.00,6334.00,6128.00,6289.00,2110352119,339418,81,D,6311.00,6128.00
Kermanshah.Petr,20190210,6209.00,6399.00,6160.00,6311.00,1650117878,263763,54,D,6324.00,6201.00
Kermanshah.Petr,20190206,6062.00,6378.00,6062.00,6324.00,1562906263,248290,63,D,6330.00,6330.00
Kermanshah.Petr,20190205,6303.00,6400.00,6251.00,6330.00,3219681976,509216,83,D,6334.00,6258.00
Kermanshah.Petr,20190204,6127.00,6401.00,6127.00,6334.00,4428181793,699778,110,D,6340.00,6320.00
Kermanshah.Petr,20190203,6201.00,6386.00,6159.00,6340.00,2192882868,350816,102,D,6369.00,6159.00
Kermanshah.Petr,20190202,6440.00,6443.00,6200.00,6369.00,4834591567,761337,104,D,6392.00,6280.00
Kermanshah.Petr,20190130,6464.00,6464.00,6227.00,6392.00,3948294687,616751,90,D,6384.00,6460.00
Kermanshah.Petr,20190129,6399.00,6471.00,6200.00,6384.00,5647442827,890059,194,D,6450.00,6414.00
Kermanshah.Petr,20190128,6300.00,6416.00,6240.00,6450.00,3632595293,577642,148,D,6562.00,6398.00
Kermanshah.Petr,20190127,6520.00,6520.00,6352.00,6562.00,2075463747,324331,106,D,6610.00,6373.00
Kermanshah.Petr,20190126,6701.00,6779.00,6500.00,6610.00,3795275756,576472,94,D,6628.00,6500.00
Kermanshah.Petr,20190123,6566.00,6700.00,6552.00,6628.00,8790874856,1327112,153,D,6685.00,6700.00
Kermanshah.Petr,20190122,6682.00,6709.00,6656.00,6685.00,7840993054,1171752,157,D,6653.00,6700.00
Kermanshah.Petr,20190121,6630.00,6694.00,6500.00,6653.00,6971342059,1056854,159,D,6820.00,6500.00
Kermanshah.Petr,20190120,6800.00,7050.00,6620.00,6820.00,15909151575,2332645,272,D,6785.00,6627.00
Kermanshah.Petr,20190119,6776.00,6889.00,6703.00,6785.00,7470594052,1100144,180,D,6767.00,6720.00
Kermanshah.Petr,20190116,6776.00,6778.00,6601.00,6767.00,50115413676,7406383,559,D,6456.00,6690.00
Kermanshah.Petr,20190115,6035.00,6523.00,6034.00,6456.00,33334777520,5163638,274,D,6213.00,6523.00
Kermanshah.Petr,20190114,6025.00,6230.00,6025.00,6213.00,3864131336,623270,125,D,6223.00,6050.00
Kermanshah.Petr,20190113,6302.00,6312.00,6150.00,6223.00,8900556783,1430329,177,D,6433.00,6160.00
Kermanshah.Petr,20190112,6601.00,6601.00,6601.00,6433.00,11162278478,1735229,228,D,6331.00,6310.00
Kermanshah.Petr,20190109,6149.00,6456.00,6149.00,6331.00,8043584104,1266377,374,D,6149.00,6449.00
Kermanshah.Petr,20190108,6199.00,6300.00,6140.00,6149.00,4371715510,699542,117,D,6051.00,6197.00
Kermanshah.Petr,20190107,6140.00,6250.00,6100.00,6051.00,2923243592,473130,142,D,5987.00,6136.00
Kermanshah.Petr,20190106,6000.00,6145.00,5916.00,5987.00,4106489797,675750,149,D,5905.00,6140.00
Kermanshah.Petr,20190105,5948.00,6028.00,5850.00,5905.00,4229918050,709975,157,D,5852.00,6028.00
Kermanshah.Petr,20190102,5945.00,6000.00,5701.00,5852.00,8096111281,1383385,151,D,5849.00,5849.00
Kermanshah.Petr,20190101,5909.00,6000.00,5709.00,5849.00,6320182128,1080258,205,D,5845.00,6000.00
Kermanshah.Petr,20181231,5751.00,5900.00,5751.00,5845.00,12735355905,2179018,224,D,5764.00,5814.00
Kermanshah.Petr,20181230,5794.00,5799.00,5701.00,5764.00,4595136595,794860,198,D,5741.00,5790.00
Kermanshah.Petr,20181229,5788.00,5788.00,5652.00,5741.00,9370504581,1632333,283,D,5524.00,5786.00
Kermanshah.Petr,20181226,5518.00,5560.00,5518.00,5524.00,4431235621,799838,113,D,5502.00,5559.00
Kermanshah.Petr,20181225,5498.00,5635.00,5456.00,5502.00,4977912881,900452,136,D,5456.00,5460.00
Kermanshah.Petr,20181224,5497.00,5500.00,5400.00,5456.00,7465150424,1368808,78,D,5522.00,5440.00
Kermanshah.Petr,20181223,5500.00,5558.00,5300.00,5522.00,8614826453,1560078,149,D,5519.00,5411.00
Kermanshah.Petr,20181222,5355.00,5542.00,5355.00,5519.00,1566778347,288653,89,D,5542.00,5400.00
Kermanshah.Petr,20181219,5505.00,5505.00,5315.00,5542.00,1444429938,269391,117,D,5585.00,5400.00
Kermanshah.Petr,20181218,5599.00,5750.00,5437.00,5585.00,18039637634,3230216,205,D,5723.00,5505.00
Kermanshah.Petr,20181217,5600.00,5769.00,5504.00,5723.00,13074372069,2284643,169,D,5781.00,5536.00
Kermanshah.Petr,20181216,5693.00,6080.00,5639.00,5781.00,6393403812,1113927,243,D,5935.00,5639.00
Kermanshah.Petr,20181215,5800.00,5960.00,5733.00,5935.00,4061423421,690179,154,D,5983.00,5900.00
Kermanshah.Petr,20181212,5919.00,5998.00,5770.00,5983.00,3219975566,546774,145,D,6042.00,5800.00
Kermanshah.Petr,20181211,6079.00,6195.00,5845.00,6042.00,2685096816,453511,177,D,6100.00,5919.00
Kermanshah.Petr,20181210,6000.00,6000.00,5880.00,6100.00,2026802416,343016,123,D,6162.00,5938.00
