<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kharazmy.Invest,20190227,962.00,1010.00,962.00,993.00,36419208738,36664015,2014,D,917.00,988.00
Kharazmy.Invest,20190219,928.00,939.00,910.00,917.00,13734464837,14982246,1074,D,924.00,914.00
Kharazmy.Invest,20190218,907.00,945.00,907.00,924.00,16790208709,18168998,1108,D,908.00,920.00
Kharazmy.Invest,20190217,916.00,926.00,902.00,908.00,9966822658,10974018,934,D,927.00,910.00
Kharazmy.Invest,20190216,948.00,948.00,915.00,927.00,19133953888,20631323,1535,D,936.00,928.00
Kharazmy.Invest,20190213,960.00,960.00,927.00,936.00,21363155856,22813704,1825,D,966.00,935.00
Kharazmy.Invest,20190212,975.00,977.00,960.00,966.00,11526834057,11937514,798,D,976.00,961.00
Kharazmy.Invest,20190210,997.00,999.00,965.00,976.00,9205195964,9431492,759,D,982.00,982.00
Kharazmy.Invest,20190206,996.00,999.00,970.00,982.00,17707001813,18039828,1138,D,987.00,990.00
Kharazmy.Invest,20190205,995.00,999.00,982.00,987.00,12059533216,12212462,871,D,986.00,990.00
Kharazmy.Invest,20190204,986.00,1001.00,970.00,986.00,27386130850,27783047,1698,D,976.00,993.00
Kharazmy.Invest,20190203,1013.00,1015.00,969.00,976.00,35073405430,35945990,2038,D,1020.00,969.00
Kharazmy.Invest,20190202,1033.00,1043.00,1010.00,1020.00,17663837294,17316718,1213,D,1031.00,1011.00
Kharazmy.Invest,20190130,1047.00,1050.00,1026.00,1031.00,18676120841,18112490,1232,D,1037.00,1027.00
Kharazmy.Invest,20190129,1031.00,1058.00,1029.00,1037.00,14918365386,14384860,1074,D,1037.00,1032.00
Kharazmy.Invest,20190128,1070.00,1070.00,1025.00,1037.00,24121503121,23257413,1733,D,1074.00,1031.00
Kharazmy.Invest,20190127,1072.00,1094.00,1050.00,1074.00,53272803084,49615475,2628,D,1047.00,1055.00
Kharazmy.Invest,20190126,1061.00,1070.00,1034.00,1047.00,18854603233,18005870,1442,D,1051.00,1034.00
Kharazmy.Invest,20190123,1050.00,1065.00,1045.00,1051.00,16253828347,15462249,1182,D,1048.00,1050.00
Kharazmy.Invest,20190122,1049.00,1060.00,1030.00,1048.00,13593326924,12976509,891,D,1027.00,1055.00
Kharazmy.Invest,20190121,1068.00,1068.00,1015.00,1027.00,31910706946,31060909,1632,D,1068.00,1031.00
Kharazmy.Invest,20190120,1078.00,1084.00,1055.00,1068.00,30911410935,28952593,1639,D,1076.00,1060.00
Kharazmy.Invest,20190119,1094.00,1096.00,1063.00,1076.00,31026636957,28836106,2009,D,1098.00,1069.00
Kharazmy.Invest,20190116,1062.00,1110.00,1062.00,1098.00,88529950638,80657580,4531,D,1058.00,1091.00
Kharazmy.Invest,20190115,1070.00,1071.00,1050.00,1058.00,22564976082,21320257,1494,D,1064.00,1060.00
Kharazmy.Invest,20190114,1060.00,1074.00,1055.00,1064.00,33217209170,31212364,2110,D,1051.00,1057.00
Kharazmy.Invest,20190113,1034.00,1071.00,1029.00,1051.00,41736947305,39715358,2712,D,1031.00,1057.00
Kharazmy.Invest,20190112,1030.00,1043.00,1020.00,1031.00,41685045177,40443548,2285,D,1033.00,1030.00
Kharazmy.Invest,20190109,1039.00,1044.00,1027.00,1033.00,21630714163,20933710,1280,D,1027.00,1030.00
Kharazmy.Invest,20190108,1055.00,1055.00,1009.00,1027.00,44341529468,43179596,2524,D,1049.00,1031.00
Kharazmy.Invest,20190107,1062.00,1085.00,1040.00,1049.00,35144195550,33495411,1897,D,1067.00,1050.00
Kharazmy.Invest,20190106,1053.00,1083.00,1039.00,1067.00,44270369566,41477561,2506,D,1054.00,1059.00
Kharazmy.Invest,20190105,1060.00,1084.00,1030.00,1054.00,38493703643,36528352,2275,D,1078.00,1030.00
Kharazmy.Invest,20190102,1100.00,1105.00,1057.00,1078.00,62491613347,57959821,3145,D,1088.00,1057.00
Kharazmy.Invest,20190101,1053.00,1099.00,1039.00,1088.00,108698177426,99921615,4023,D,1047.00,1098.00
Kharazmy.Invest,20181231,1061.00,1064.00,1032.00,1047.00,21112713574,20171498,1311,D,1063.00,1038.00
Kharazmy.Invest,20181230,1050.00,1072.00,1040.00,1063.00,37252766714,35049065,2068,D,1051.00,1064.00
Kharazmy.Invest,20181229,1040.00,1065.00,1036.00,1051.00,33834812790,32180138,2025,D,1049.00,1052.00
Kharazmy.Invest,20181226,1060.00,1079.00,1023.00,1049.00,63822419096,60814720,3549,D,1039.00,1035.00
Kharazmy.Invest,20181225,999.00,1055.00,990.00,1039.00,122810745750,118159559,5346,D,1005.00,1055.00
Kharazmy.Invest,20181224,999.00,1028.00,985.00,1005.00,32123464906,31955615,1798,D,1003.00,1002.00
Kharazmy.Invest,20181223,981.00,1024.00,981.00,1003.00,31278252432,31183518,1843,D,980.00,986.00
Kharazmy.Invest,20181222,970.00,990.00,957.00,980.00,30050272973,30675311,1910,D,947.00,973.00
Kharazmy.Invest,20181219,948.00,974.00,923.00,947.00,20770782566,21927367,1438,D,951.00,962.00
Kharazmy.Invest,20181218,951.00,975.00,939.00,951.00,18137620863,19072705,1228,D,971.00,949.00
Kharazmy.Invest,20181217,1000.00,1000.00,956.00,971.00,24306457491,25027912,1836,D,1006.00,963.00
Kharazmy.Invest,20181216,1000.00,1039.00,970.00,1006.00,64023728931,63610538,3744,D,969.00,997.00
Kharazmy.Invest,20181215,955.00,988.00,945.00,969.00,43800581353,45191319,2595,D,941.00,988.00
Kharazmy.Invest,20181212,926.00,958.00,926.00,941.00,20184151966,21445407,1571,D,933.00,932.00
Kharazmy.Invest,20181211,939.00,948.00,911.00,933.00,34143656974,36598834,2066,D,917.00,930.00
Kharazmy.Invest,20181210,927.00,938.00,906.00,917.00,16587082054,18086342,1289,D,917.00,907.00
Kharazmy.Invest,20181209,901.00,940.00,888.00,917.00,37550876996,40965031,2377,D,906.00,919.00
Kharazmy.Invest,20181208,921.00,927.00,900.00,906.00,18467909908,20392133,1513,D,914.00,903.00
