<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khash.Cement,20190227,11310.00,12000.00,11300.00,11681.00,36437590,3209,9,D,11703.00,12000.00
Khash.Cement,20190226,11119.00,11500.00,11119.00,11703.00,1157900,104,2,D,11704.00,11500.00
Khash.Cement,20190225,11330.00,11331.00,11330.00,11704.00,57216609,5050,6,D,11746.00,11331.00
Khash.Cement,20190224,11326.00,11500.00,11326.00,11746.00,170406644,15032,18,D,11922.00,11330.00
Khash.Cement,20190223,12335.00,12335.00,11314.00,11922.00,49027368,4062,6,D,11909.00,11314.00
Khash.Cement,20190220,11792.00,12381.00,11204.00,11909.00,153237073,12500,9,D,11792.00,12210.00
Khash.Cement,20190219,11325.00,11326.00,11325.00,11792.00,123024075,10863,11,D,11921.00,11326.00
Khash.Cement,20190218,12300.00,12249.00,11600.00,11921.00,48244331,4102,8,D,11935.00,12248.00
Khash.Cement,20190217,11362.00,11935.00,11362.00,11935.00,24560990,2160,8,D,11960.00,11935.00
Khash.Cement,20190216,12350.00,12350.00,11950.00,11960.00,713886960,59691,48,D,12578.00,12150.00
Khash.Cement,20190213,13400.00,13400.00,12267.00,12578.00,334741836,27216,19,D,12911.00,12268.00
Khash.Cement,20190212,12967.00,12967.00,12121.00,12911.00,874556535,67735,35,D,12351.00,12959.00
Khash.Cement,20190210,12373.00,12373.00,12000.00,12351.00,2100428896,170056,45,D,11784.00,12372.00
Khash.Cement,20190206,11500.00,11929.00,11500.00,11784.00,807679948,68539,43,D,11361.00,11919.00
Khash.Cement,20190205,11500.00,11500.00,11470.00,11361.00,22970050,1998,9,D,11355.00,11500.00
Khash.Cement,20190204,11670.00,11670.00,11300.00,11355.00,453895925,39919,38,D,11296.00,11500.00
Khash.Cement,20190203,11271.00,11670.00,11000.00,11296.00,1562429319,138313,54,D,11124.00,11500.00
Khash.Cement,20190202,10985.00,11271.00,10983.00,11124.00,1376692413,123760,67,D,10770.00,11203.00
Khash.Cement,20190130,10770.00,10770.00,10770.00,10770.00,576054990,53487,10,D,10258.00,10770.00
Khash.Cement,20190129,10266.00,10270.00,9980.00,10258.00,707103562,68933,28,D,10493.00,10260.00
Khash.Cement,20190128,10982.00,10982.00,10000.00,10493.00,324611712,30873,23,D,10462.00,10266.00
