<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khorasan.Petro.,20190227,11350.00,11600.00,11300.00,11407.00,2098929076,182745,62,D,11380.00,11530.00
Khorasan.Petro.,20190226,11402.00,11600.00,11253.00,11380.00,2636878700,233884,71,D,11431.00,11350.00
Khorasan.Petro.,20190225,11589.00,11639.00,11390.00,11431.00,2273064452,196645,72,D,11382.00,11638.00
Khorasan.Petro.,20190224,11739.00,11739.00,11451.00,11382.00,4745828720,412217,92,D,11204.00,11590.00
Khorasan.Petro.,20190223,11400.00,11697.00,11300.00,11204.00,902237045,78245,46,D,11164.00,11422.00
Khorasan.Petro.,20190220,11230.00,11400.00,11171.00,11164.00,3604454676,319498,79,D,11070.00,11399.00
Khorasan.Petro.,20190219,10900.00,11200.00,10900.00,11070.00,4415001476,399229,57,D,11085.00,11155.00
Khorasan.Petro.,20190218,10998.00,10998.00,10701.00,11085.00,2379456083,219723,63,D,11198.00,10850.00
Khorasan.Petro.,20190217,10972.00,11000.00,10900.00,11198.00,2103145184,192597,61,D,11300.00,10998.00
Khorasan.Petro.,20190216,11231.00,11231.00,10950.00,11300.00,3151240074,283616,88,D,11424.00,11000.00
Khorasan.Petro.,20190213,11500.00,11500.00,11230.00,11424.00,437438140,38831,31,D,11433.00,11449.00
Khorasan.Petro.,20190212,11229.00,11500.00,11229.00,11433.00,2048350865,179487,48,D,11440.00,11499.00
Khorasan.Petro.,20190210,11120.00,11400.00,11120.00,11440.00,1567900964,138016,44,D,11459.00,11400.00
Khorasan.Petro.,20190206,11700.00,11700.00,11202.00,11459.00,1704501218,151051,82,D,11506.00,11220.00
Khorasan.Petro.,20190205,11500.00,11999.00,11450.00,11506.00,7251298737,630208,82,D,1000.00,11500.00
