<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khorasan.Steel.Co.,20190227,8511.00,8848.00,8511.00,8628.00,83358436,9742,10,D,8629.00,8848.00
Khorasan.Steel.Co.,20190226,8563.00,8800.00,8563.00,8629.00,638659231,74210,20,D,8631.00,8665.00
Khorasan.Steel.Co.,20190225,8800.00,8850.00,8555.00,8631.00,343350714,40019,17,D,8633.00,8600.00
Khorasan.Steel.Co.,20190224,8700.00,8700.00,8484.00,8633.00,1273604322,146664,18,D,8626.00,8650.00
Khorasan.Steel.Co.,20190223,8700.00,8790.00,8450.00,8626.00,342468832,39061,30,D,8621.00,8700.00
Khorasan.Steel.Co.,20190220,8451.00,8699.00,8450.00,8621.00,53164860,6190,11,D,8621.00,8699.00
Khorasan.Steel.Co.,20190219,8740.00,8740.00,8609.00,8621.00,349296237,40233,20,D,8619.00,8609.00
Khorasan.Steel.Co.,20190218,8790.00,8792.00,8500.00,8619.00,7632958462,889309,40,D,8745.00,8700.00
Khorasan.Steel.Co.,20190217,8755.00,8755.00,8350.00,8745.00,223068619,26099,13,D,8750.00,8738.00
Khorasan.Steel.Co.,20190216,8600.00,8788.00,8461.00,8750.00,3440261582,393666,21,D,8756.00,8651.00
Khorasan.Steel.Co.,20190213,8757.00,8790.00,8678.00,8756.00,40877915144,4668454,257,D,8757.00,8760.00
Khorasan.Steel.Co.,20190212,8700.00,8761.00,8400.00,8757.00,503964250,58072,17,D,8761.00,8676.00
Khorasan.Steel.Co.,20190210,8700.00,8799.00,8450.00,8761.00,126803585,14592,5,D,8762.00,8700.00
Khorasan.Steel.Co.,20190206,8500.00,8868.00,8409.00,8762.00,3108018236,357528,22,D,8794.00,8790.00
Khorasan.Steel.Co.,20190205,8900.00,8900.00,8359.00,8794.00,4216240694,479705,52,D,8798.00,8461.00
Khorasan.Steel.Co.,20190204,8885.00,8905.00,8551.00,8798.00,1449695986,163568,21,D,8787.00,8879.00
Khorasan.Steel.Co.,20190203,8601.00,8788.00,8385.00,8787.00,167946808,19294,14,D,8788.00,8699.00
Khorasan.Steel.Co.,20190202,8370.00,8601.00,8360.00,8788.00,9846595,1156,5,D,8788.00,8601.00
Khorasan.Steel.Co.,20190130,8541.00,8570.00,8541.00,8788.00,165876578,19390,4,D,8792.00,8554.00
Khorasan.Steel.Co.,20190129,8900.00,8909.00,8800.00,8792.00,911191080,102355,20,D,8781.00,8888.00
Khorasan.Steel.Co.,20190128,8480.00,8780.00,8480.00,8781.00,118737369,13767,12,D,8783.00,8780.00
Khorasan.Steel.Co.,20190127,8865.00,8865.00,8464.00,8783.00,46385054,5471,4,D,8784.00,8472.00
Khorasan.Steel.Co.,20190126,8463.00,8868.00,8463.00,8784.00,100937033,11726,9,D,8786.00,8868.00
Khorasan.Steel.Co.,20190123,8411.00,8940.00,8411.00,8786.00,588657174,67658,13,D,8791.00,8707.00
Khorasan.Steel.Co.,20190122,8900.00,8900.00,8501.00,8791.00,684308791,78915,15,D,8800.00,8900.00
Khorasan.Steel.Co.,20190121,8395.00,8900.00,8395.00,8800.00,2347559749,269867,25,D,8831.00,8900.00
Khorasan.Steel.Co.,20190120,8858.00,8858.00,8451.00,8831.00,178948567,20582,5,D,8834.00,8457.00
Khorasan.Steel.Co.,20190119,8999.00,8999.00,8860.00,8834.00,1795768529,202401,13,D,8826.00,8860.00
Khorasan.Steel.Co.,20190116,8770.00,8966.00,8770.00,8826.00,264692467,30000,13,D,8826.00,8966.00
Khorasan.Steel.Co.,20190115,8455.00,8950.00,8455.00,8826.00,517063234,58187,18,D,8823.00,8874.00
Khorasan.Steel.Co.,20190114,8899.00,8967.00,8876.00,8823.00,1288254810,144480,34,D,8810.00,8955.00
Khorasan.Steel.Co.,20190113,8915.00,8915.00,8827.00,8810.00,354956367,39920,19,D,8807.00,8906.00
Khorasan.Steel.Co.,20190112,8969.00,8971.00,8737.00,8807.00,6562037500,739459,34,D,8687.00,8854.00
Khorasan.Steel.Co.,20190109,8680.00,8700.00,8652.00,8687.00,132071708,15247,13,D,8687.00,8656.00
Khorasan.Steel.Co.,20190108,8690.00,8700.00,8640.00,8687.00,1590713138,183902,31,D,8694.00,8650.00
Khorasan.Steel.Co.,20190107,8600.00,8750.00,8600.00,8694.00,87481283,10099,16,D,8694.00,8616.00
Khorasan.Steel.Co.,20190106,8600.00,8695.00,8600.00,8694.00,197996039,22997,15,D,8696.00,8601.00
Khorasan.Steel.Co.,20190105,8690.00,8787.00,8690.00,8696.00,84117839,9640,10,D,8696.00,8720.00
Khorasan.Steel.Co.,20190102,8800.00,8820.00,8690.00,8696.00,615042820,70087,15,D,8691.00,8690.00
Khorasan.Steel.Co.,20190101,8690.00,8722.00,8690.00,8691.00,1154277457,132693,29,D,8690.00,8722.00
Khorasan.Steel.Co.,20181231,8700.00,8700.00,8600.00,8690.00,705784260,81260,9,D,8690.00,8609.00
Khorasan.Steel.Co.,20181230,8675.00,8700.00,8618.00,8690.00,2851328399,328291,35,D,8692.00,8700.00
Khorasan.Steel.Co.,20181229,8505.00,8670.00,8504.00,8692.00,422434140,49500,28,D,8699.00,8541.00
Khorasan.Steel.Co.,20181226,8400.00,8789.00,8381.00,8699.00,2827285088,334372,29,D,8801.00,8464.00
Khorasan.Steel.Co.,20181225,8381.00,8795.00,8381.00,8801.00,437872080,51898,21,D,8818.00,8500.00
Khorasan.Steel.Co.,20181224,8500.00,8800.00,8500.00,8818.00,1598230884,187103,17,D,8873.00,8561.00
Khorasan.Steel.Co.,20181223,8989.00,8989.00,8610.00,8873.00,212505719,24440,15,D,8877.00,8656.00
Khorasan.Steel.Co.,20181222,8845.00,8989.00,8845.00,8877.00,2876798192,320638,40,D,8839.00,8939.00
Khorasan.Steel.Co.,20181219,8700.00,8800.00,8617.00,8839.00,4024429347,466652,33,D,9000.00,8621.00
Khorasan.Steel.Co.,20181218,8851.00,8851.00,8623.00,9000.00,848452353,97217,17,D,9027.00,8850.00
Khorasan.Steel.Co.,20181217,8620.00,9000.00,8620.00,9027.00,5242552420,583163,48,D,9069.00,8851.00
Khorasan.Steel.Co.,20181216,9000.00,9030.00,8900.00,9069.00,6011815373,668382,45,D,9187.00,8999.00
Khorasan.Steel.Co.,20181215,8750.00,8800.00,8748.00,9187.00,394121568,44968,12,D,9205.00,8793.00
Khorasan.Steel.Co.,20181212,9000.00,9000.00,8928.00,9205.00,202513520,22563,16,D,9210.00,9000.00
Khorasan.Steel.Co.,20181211,8900.00,9000.00,8851.00,9210.00,2181710437,245172,32,D,9304.00,9000.00
Khorasan.Steel.Co.,20181210,8900.00,9000.00,8899.00,9304.00,164976365,18529,23,D,9311.00,8900.00
Khorasan.Steel.Co.,20181209,9000.00,9000.00,8894.00,9311.00,1021755921,114866,30,D,9362.00,8900.00
Khorasan.Steel.Co.,20181208,8993.00,9129.00,8993.00,9362.00,2348211796,259623,60,D,9466.00,9110.00
Khorasan.Steel.Co.,20181205,9033.00,9150.00,9033.00,9466.00,894853488,98872,51,D,9508.00,9034.00
Khorasan.Steel.Co.,20181204,9140.00,9202.00,9094.00,9508.00,1417117429,155164,48,D,9572.00,9094.00
Khorasan.Steel.Co.,20181203,9420.00,9420.00,9140.00,9572.00,1171893690,126992,36,D,9618.00,9269.00
