<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lamiran,20190227,13873.00,13873.00,13870.00,13753.00,392270170,28277,24,D,13213.00,13873.00
Lamiran,20190226,13550.00,13900.00,12901.00,13213.00,344177436,26255,25,D,13545.00,13000.00
Lamiran,20190225,14229.00,14229.00,13211.00,13545.00,712101670,52574,58,D,13553.00,13251.00
Lamiran,20190224,13764.00,13765.00,13524.00,13553.00,2500334448,184486,75,D,14235.00,13524.00
Lamiran,20190223,14010.00,15210.00,13771.00,14235.00,6448778891,453037,199,D,14488.00,13861.00
Lamiran,20190220,14273.00,14273.00,14273.00,14488.00,345435146,24202,10,D,15024.00,14273.00
Lamiran,20190219,14828.00,14828.00,14828.00,15024.00,376379124,25383,11,D,15608.00,14828.00
Lamiran,20190218,16900.00,16900.00,15393.00,15608.00,779073756,49916,53,D,16203.00,15393.00
Lamiran,20190217,16220.00,16220.00,15750.00,16203.00,8536358802,526842,260,D,15448.00,16220.00
Lamiran,20190216,15477.00,15477.00,14772.00,15448.00,6341586680,410509,116,D,14740.00,15477.00
Lamiran,20190213,14740.00,14740.00,14740.00,14740.00,1594646900,108185,22,D,14039.00,14740.00
Lamiran,20190212,14039.00,14039.00,14039.00,14039.00,2864335053,204027,66,D,13371.00,14039.00
Lamiran,20190210,12800.00,13600.00,12400.00,13371.00,6043591894,452002,221,D,12953.00,13600.00
Lamiran,20190206,12953.00,12953.00,12953.00,12953.00,1274251375,98375,9,D,12337.00,12953.00
Lamiran,20190205,12337.00,12337.00,12337.00,12337.00,772690984,62632,7,D,11750.00,12337.00
Lamiran,20190204,11275.00,11838.00,11275.00,11750.00,1176853050,100155,9,D,10647.00,11838.00
Lamiran,20190203,10647.00,10647.00,10647.00,10647.00,617547294,58002,6,D,10140.00,10647.00
Lamiran,20190202,10156.00,10156.00,10156.00,10140.00,507850780,50005,2,D,9673.00,10156.00
Lamiran,20190130,9673.00,9673.00,9673.00,9673.00,822253365,85005,4,D,9213.00,9673.00
Lamiran,20190129,9280.00,9280.00,9280.00,9213.00,464055680,50006,3,D,8839.00,9280.00
Lamiran,20190128,8940.00,8940.00,8940.00,8839.00,402353640,45006,29,D,8515.00,8940.00
Lamiran,20190127,8902.00,8902.00,8902.00,8515.00,44563412,5006,6,D,8479.00,8902.00
Lamiran,20190126,8901.00,8901.00,8901.00,8479.00,1228338,138,2,D,8478.00,8901.00
Lamiran,20190123,8813.00,8813.00,8813.00,8478.00,102592133,11641,5,D,8394.00,8813.00
Lamiran,20190122,8793.00,8793.00,8793.00,8394.00,23802651,2707,3,D,8375.00,8793.00
Lamiran,20190121,8767.00,8767.00,8767.00,8375.00,31184219,3557,6,D,8350.00,8767.00
Lamiran,20190120,8144.00,8144.00,8144.00,8350.00,244881936,30069,4,D,8570.00,8144.00
