<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotos.Investment,20190227,2208.00,2291.00,2208.00,2264.00,35367528456,15618436,3827,D,2208.00,2249.00
Lotos.Investment,20190226,2200.00,2229.00,2182.00,2208.00,25348485545,11478140,3507,D,2224.00,2199.00
Lotos.Investment,20190225,2224.00,2245.00,2200.00,2224.00,25421184161,11432002,4429,D,2234.00,2207.00
Lotos.Investment,20190224,2220.00,2261.00,2212.00,2234.00,36858010127,16499846,5087,D,2240.00,2247.00
Lotos.Investment,20190223,2260.00,2265.00,2221.00,2240.00,49345133086,22027148,6821,D,2267.00,2225.00
Lotos.Investment,20190220,2284.00,2284.00,2251.00,2267.00,46184827534,20374489,5423,D,2283.00,2269.00
Lotos.Investment,20190219,2290.00,2293.00,2260.00,2283.00,39082664220,17120344,5784,D,2289.00,2264.00
Lotos.Investment,20190218,2292.00,2299.00,2282.00,2289.00,46025997112,20103569,5774,D,2302.00,2290.00
Lotos.Investment,20190217,2311.00,2322.00,2291.00,2302.00,56986568111,24754828,6480,D,2300.00,2294.00
Lotos.Investment,20190216,2295.00,2330.00,2256.00,2300.00,84901372715,36915874,19366,D,2296.00,2315.00
Lotos.Investment,20190213,2294.00,2329.00,2262.00,2296.00,108142702633,47108163,29317,D,2294.00,2296.00
Lotos.Investment,20190212,2275.00,2349.00,2242.00,2294.00,115529533113,50358618,22214,D,2253.00,2284.00
Lotos.Investment,20190210,2242.00,2289.00,2220.00,2253.00,78914994252,35020203,17493,D,2245.00,2252.00
Lotos.Investment,20190206,2250.00,2288.00,2231.00,2245.00,69692375545,31042916,13598,D,2255.00,2241.00
Lotos.Investment,20190205,2255.00,2301.00,2228.00,2255.00,90681135535,40208386,22325,D,2274.00,2253.00
Lotos.Investment,20190204,2273.00,2349.00,2211.00,2274.00,257824904259,113377785,69429,D,2322.00,2254.00
Lotos.Investment,20190203,2321.00,2350.00,2321.00,2322.00,154055999752,66345970,41491,D,2443.00,2321.00
Lotos.Investment,20190202,2497.00,2497.00,2261.00,2443.00,343496256018,140628139,86809,D,2379.00,2284.00
Lotos.Investment,20190130,2379.00,2379.00,2379.00,2379.00,16499230956,6935364,3926,D,2266.00,2379.00
Lotos.Investment,20190129,2266.00,2266.00,2266.00,2266.00,5447912668,2404198,927,D,2159.00,2266.00
Lotos.Investment,20190127,2165.00,2165.00,2165.00,2159.00,4088266925,1888345,918,D,2062.00,2165.00
Lotos.Investment,20190126,2152.00,2152.00,2152.00,2062.00,521354280,242265,232,D,2050.00,2152.00
Lotos.Investment,20190123,2050.00,2050.00,2050.00,2050.00,1036015802100,505373562,360083,D,1000.00,2050.00
