<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
MAPN-O-980312,20190227,15.00,15.00,15.00,15.00,7500000,500,5,D,11.00,15.00
MAPN-O-980312,20190226,11.00,11.00,11.00,11.00,1100000,100,1,D,16.00,11.00
MAPN-O-980312,20190225,16.00,16.00,16.00,16.00,1600000,100,1,D,16.00,16.00
MAPN-O-980312,20190224,14.00,20.00,14.00,16.00,24000000,1520,16,D,19.00,20.00
MAPN-O-980312,20190223,19.00,19.00,19.00,19.00,3800000,200,3,D,16.00,19.00
MAPN-O-980312,20190219,16.00,16.00,16.00,16.00,8000000,500,5,D,15.00,16.00
MAPN-O-980312,20190217,17.00,17.00,13.00,15.00,6200000,400,4,D,18.00,13.00
MAPN-O-980312,20190216,18.00,19.00,18.00,18.00,3700000,200,2,D,18.00,19.00
MAPN-O-980312,20190213,19.00,19.00,18.00,18.00,3700000,200,2,D,18.00,18.00
MAPN-O-980312,20190210,18.00,18.00,18.00,18.00,1800000,100,1,D,18.00,18.00
MAPN-O-980312,20190206,18.00,18.00,18.00,18.00,3600000,200,2,D,18.00,18.00
MAPN-O-980312,20190203,18.00,18.00,18.00,18.00,7200000,400,4,D,1.00,18.00
