<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
MSMI-O-980225,20190227,240.00,240.00,230.00,231.00,254000000,1100,11,D,268.00,230.00
MSMI-O-980225,20190226,242.00,273.00,242.00,268.00,160700000,600,6,D,242.00,273.00
MSMI-O-980225,20190224,200.00,250.00,200.00,242.00,193400000,800,8,D,59.00,250.00
MSMI-O-980225,20190223,59.00,59.00,59.00,59.00,26550000,450,8,D,118.00,59.00
MSMI-O-980225,20190220,111.00,120.00,111.00,118.00,76750000,650,9,D,61.00,120.00
MSMI-O-980225,20190219,59.00,75.00,59.00,61.00,82550000,1350,15,D,21.00,75.00
MSMI-O-980225,20190218,21.00,21.00,21.00,21.00,2100000,100,1,D,22.00,21.00
MSMI-O-980225,20190217,22.00,22.00,22.00,22.00,8800000,400,4,D,20.00,22.00
MSMI-O-980225,20190216,19.00,22.00,19.00,20.00,60000,3,3,D,31.00,22.00
MSMI-O-980225,20190213,30.00,38.00,30.00,31.00,30800000,1000,10,D,60.00,38.00
MSMI-O-980225,20190206,60.00,60.00,60.00,60.00,1980000,33,1,D,79.00,60.00
MSMI-O-980225,20190205,79.00,79.00,79.00,79.00,7900000,100,1,D,30.00,79.00
MSMI-O-980225,20190204,30.00,30.00,30.00,30.00,9000000,300,3,D,1.00,30.00
