<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
MSMI-O-980225,20190227,715.00,715.00,715.00,715.00,69355000,97,4,D,702.00,715.00
MSMI-O-980225,20190224,702.00,702.00,702.00,702.00,5616000,8,1,D,333.00,702.00
MSMI-O-980225,20190206,333.00,333.00,333.00,333.00,27306000,82,4,D,335.00,333.00
MSMI-O-980225,20190205,335.00,335.00,335.00,335.00,63650000,190,3,D,219.00,335.00
MSMI-O-980225,20190204,218.00,225.00,218.00,219.00,44925000,205,5,D,195.00,225.00
MSMI-O-980225,20190203,220.00,220.00,193.00,195.00,32581000,167,5,D,254.00,195.00
MSMI-O-980225,20190202,254.00,254.00,254.00,254.00,254000,1,1,D,270.00,254.00
MSMI-O-980225,20190130,270.00,270.00,270.00,270.00,26730000,99,6,D,292.00,270.00
MSMI-O-980225,20190127,280.00,305.00,280.00,292.00,127175000,435,12,D,321.00,305.00
MSMI-O-980225,20190126,321.00,322.00,321.00,321.00,32422000,101,2,D,1.00,322.00
