<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Maskan.Invest.,20190227,931.00,991.00,931.00,982.00,1939461173,1975821,240,D,949.00,988.00
Maskan.Invest.,20190226,978.00,978.00,913.00,949.00,1061714606,1118406,130,D,955.00,959.00
Maskan.Invest.,20190225,972.00,974.00,950.00,955.00,286753149,300032,51,D,955.00,955.00
Maskan.Invest.,20190224,985.00,985.00,940.00,955.00,915223417,958310,125,D,953.00,964.00
Maskan.Invest.,20190223,990.00,1000.00,935.00,953.00,643663849,675590,118,D,981.00,955.00
Maskan.Invest.,20190220,969.00,995.00,956.00,981.00,1880560146,1916153,313,D,948.00,986.00
Maskan.Invest.,20190219,1014.00,1014.00,939.00,948.00,4083842601,4308684,374,D,988.00,959.00
Maskan.Invest.,20190218,990.00,1017.00,973.00,988.00,1496736315,1515587,170,D,978.00,1004.00
Maskan.Invest.,20190217,1016.00,1016.00,977.00,978.00,2249788405,2299930,189,D,1028.00,978.00
Maskan.Invest.,20190216,1042.00,1042.00,1007.00,1028.00,3909744454,3803550,345,D,993.00,1016.00
Maskan.Invest.,20190213,965.00,994.00,960.00,993.00,3247813297,3271987,214,D,947.00,994.00
Maskan.Invest.,20190212,960.00,967.00,923.00,947.00,515440611,544555,91,D,951.00,960.00
Maskan.Invest.,20190210,953.00,973.00,933.00,951.00,784537586,825340,133,D,940.00,933.00
Maskan.Invest.,20190206,930.00,959.00,930.00,940.00,1619205785,1721707,176,D,934.00,930.00
Maskan.Invest.,20190205,950.00,950.00,912.00,934.00,784143374,839170,119,D,953.00,912.00
Maskan.Invest.,20190204,925.00,995.00,925.00,953.00,552001328,579185,70,D,965.00,930.00
Maskan.Invest.,20190203,1000.00,1014.00,950.00,965.00,2074539550,2150200,178,D,999.00,968.00
Maskan.Invest.,20190202,1045.00,1049.00,989.00,999.00,2888958614,2890967,255,D,1014.00,989.00
Maskan.Invest.,20190130,978.00,1021.00,962.00,1014.00,4600740887,4535656,415,D,973.00,1021.00
Maskan.Invest.,20190129,959.00,985.00,954.00,973.00,2288341429,2352083,224,D,944.00,976.00
Maskan.Invest.,20190128,971.00,979.00,933.00,944.00,1245244612,1318827,142,D,968.00,938.00
Maskan.Invest.,20190127,987.00,987.00,942.00,968.00,881261796,910414,117,D,969.00,957.00
Maskan.Invest.,20190126,921.00,987.00,921.00,969.00,2008107444,2071543,223,D,955.00,970.00
Maskan.Invest.,20190123,955.00,975.00,929.00,955.00,948727759,993696,151,D,949.00,951.00
Maskan.Invest.,20190122,929.00,967.00,900.00,949.00,1701003654,1791827,161,D,921.00,954.00
Maskan.Invest.,20190121,976.00,976.00,909.00,921.00,1420202168,1541444,164,D,956.00,929.00
Maskan.Invest.,20190120,945.00,975.00,920.00,956.00,4174172151,4367943,449,D,930.00,975.00
Maskan.Invest.,20190119,890.00,940.00,888.00,930.00,4802610473,5162137,469,D,896.00,940.00
Maskan.Invest.,20190116,900.00,910.00,885.00,896.00,1162068415,1297012,132,D,901.00,889.00
Maskan.Invest.,20190115,914.00,915.00,898.00,901.00,1254628656,1392502,142,D,901.00,901.00
Maskan.Invest.,20190114,917.00,917.00,895.00,901.00,1098767293,1219394,98,D,906.00,901.00
Maskan.Invest.,20190113,885.00,919.00,885.00,906.00,2440456520,2693021,280,D,895.00,909.00
Maskan.Invest.,20190112,897.00,900.00,880.00,895.00,1217929592,1361386,125,D,883.00,890.00
Maskan.Invest.,20190109,898.00,898.00,872.00,883.00,1054302488,1193474,112,D,881.00,884.00
Maskan.Invest.,20190108,898.00,898.00,870.00,881.00,777108651,882254,102,D,877.00,870.00
Maskan.Invest.,20190107,877.00,880.00,874.00,877.00,799476763,911831,96,D,877.00,880.00
Maskan.Invest.,20190106,869.00,890.00,865.00,877.00,1993071396,2273111,207,D,876.00,880.00
Maskan.Invest.,20190105,900.00,900.00,867.00,876.00,1000409066,1141766,115,D,899.00,872.00
Maskan.Invest.,20190102,918.00,919.00,890.00,899.00,1418710190,1577237,148,D,912.00,890.00
Maskan.Invest.,20190101,896.00,915.00,896.00,912.00,2531487759,2775021,283,D,872.00,915.00
Maskan.Invest.,20181231,867.00,896.00,853.00,872.00,1842955267,2114417,191,D,870.00,890.00
Maskan.Invest.,20181230,880.00,880.00,853.00,870.00,1242604086,1428632,147,D,889.00,880.00
Maskan.Invest.,20181229,899.00,899.00,878.00,889.00,79121597,89009,17,D,888.00,878.00
Maskan.Invest.,20181223,869.00,899.00,868.00,888.00,572369253,644500,106,D,875.00,892.00
Maskan.Invest.,20181222,892.00,893.00,870.00,875.00,468077029,535094,71,D,886.00,886.00
Maskan.Invest.,20181219,870.00,899.00,870.00,886.00,827642851,934531,107,D,877.00,889.00
Maskan.Invest.,20181218,900.00,900.00,868.00,877.00,384943306,439393,95,D,882.00,868.00
Maskan.Invest.,20181217,910.00,910.00,873.00,882.00,719528264,815981,106,D,903.00,875.00
Maskan.Invest.,20181216,918.00,918.00,888.00,903.00,502323397,556025,72,D,900.00,913.00
Maskan.Invest.,20181215,924.00,924.00,875.00,900.00,765056310,850303,110,D,910.00,915.00
Maskan.Invest.,20181212,940.00,940.00,900.00,910.00,360239084,397717,87,D,921.00,910.00
Maskan.Invest.,20181211,896.00,945.00,896.00,921.00,379344380,412133,73,D,921.00,930.00
Maskan.Invest.,20181210,926.00,927.00,900.00,921.00,1182072535,1283932,167,D,898.00,925.00
Maskan.Invest.,20181209,946.00,946.00,876.00,898.00,835770760,931043,122,D,922.00,888.00
Maskan.Invest.,20181208,918.00,938.00,900.00,922.00,1079082298,1169891,146,D,912.00,937.00
Maskan.Invest.,20181205,917.00,920.00,891.00,912.00,781973823,856978,132,D,889.00,918.00
Maskan.Invest.,20181204,900.00,900.00,873.00,889.00,982252845,1105482,146,D,904.00,897.00
Maskan.Invest.,20181203,901.00,914.00,889.00,904.00,1131960856,1252785,133,D,888.00,914.00
Maskan.Invest.,20181202,882.00,910.00,872.00,888.00,1621011343,1824573,197,D,874.00,890.00
Maskan.Invest.,20181201,927.00,927.00,868.00,874.00,1057530026,1209783,184,D,913.00,880.00
Maskan.Invest.,20181128,899.00,928.00,890.00,913.00,3040179345,3328531,407,D,891.00,920.00
Maskan.Invest.,20181127,903.00,944.00,884.00,891.00,9372967507,10523399,920,D,930.00,904.00
Maskan.Invest.,20181126,962.00,979.00,927.00,930.00,1542739735,1659179,152,D,975.00,927.00
