<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mazandaran.Cem.,20190227,1749.00,1788.00,1713.00,1745.00,1284378452,736034,86,D,1728.00,1737.00
Mazandaran.Cem.,20190226,1700.00,1767.00,1700.00,1728.00,544722563,313186,54,D,1709.00,1720.00
Mazandaran.Cem.,20190225,1722.00,1750.00,1677.00,1709.00,457305499,269224,52,D,1722.00,1710.00
Mazandaran.Cem.,20190224,1762.00,1770.00,1700.00,1722.00,733618296,425910,63,D,1716.00,1739.00
Mazandaran.Cem.,20190223,1762.00,1762.00,1699.00,1716.00,1372662806,800068,112,D,1786.00,1717.00
Mazandaran.Cem.,20190220,1712.00,1787.00,1706.00,1786.00,138364670,79465,30,D,1795.00,1762.00
Mazandaran.Cem.,20190219,1744.00,1799.00,1744.00,1795.00,159079484,90320,27,D,1803.00,1758.00
Mazandaran.Cem.,20190218,1824.00,1855.00,1727.00,1803.00,434838319,239360,42,D,1790.00,1799.00
Mazandaran.Cem.,20190217,1805.00,1862.00,1786.00,1790.00,881225352,492250,59,D,1879.00,1786.00
Mazandaran.Cem.,20190216,1954.00,1954.00,1835.00,1879.00,1206798241,642269,114,D,1931.00,1836.00
Mazandaran.Cem.,20190213,1831.00,1936.00,1831.00,1931.00,3790564667,1963227,190,D,1844.00,1936.00
Mazandaran.Cem.,20190212,1829.00,1859.00,1821.00,1844.00,1296900834,703434,113,D,1771.00,1859.00
Mazandaran.Cem.,20190210,1782.00,1797.00,1650.00,1771.00,1191656851,672840,83,D,1712.00,1797.00
Mazandaran.Cem.,20190206,1674.00,1782.00,1673.00,1712.00,1529384789,893518,122,D,1756.00,1779.00
Mazandaran.Cem.,20190205,1840.00,1840.00,1745.00,1756.00,1069969812,609367,96,D,1836.00,1745.00
Mazandaran.Cem.,20190204,1870.00,1900.00,1805.00,1836.00,2025881983,1103563,147,D,1900.00,1840.00
Mazandaran.Cem.,20190203,1901.00,1905.00,1900.00,1900.00,1400250433,736942,56,D,1999.00,1900.00
Mazandaran.Cem.,20190202,2070.00,2076.00,1901.00,1999.00,2552003960,1276545,196,D,1981.00,1935.00
Mazandaran.Cem.,20190130,1956.00,1985.00,1901.00,1981.00,5347058509,2698947,210,D,1891.00,1985.00
Mazandaran.Cem.,20190129,1927.00,1945.00,1827.00,1891.00,1815017896,959946,145,D,1895.00,1940.00
Mazandaran.Cem.,20190128,1822.00,1930.00,1822.00,1895.00,2337606501,1233241,204,D,1867.00,1900.00
Mazandaran.Cem.,20190127,1899.00,1966.00,1807.00,1867.00,2875211188,1540219,278,D,1902.00,1870.00
Mazandaran.Cem.,20190126,1915.00,1915.00,1824.00,1902.00,6763171255,3556682,438,D,1824.00,1898.00
Mazandaran.Cem.,20190123,1824.00,1824.00,1824.00,1824.00,1029945312,564663,49,D,1738.00,1824.00
Mazandaran.Cem.,20190122,1675.00,1750.00,1675.00,1738.00,1091626783,628127,102,D,1667.00,1750.00
Mazandaran.Cem.,20190121,1700.00,1700.00,1625.00,1667.00,1760328298,1055945,104,D,1681.00,1694.00
Mazandaran.Cem.,20190120,1650.00,1729.00,1610.00,1681.00,2547865915,1515908,193,D,1651.00,1729.00
Mazandaran.Cem.,20190119,1647.00,1700.00,1620.00,1651.00,2116358107,1282057,155,D,1632.00,1643.00
Mazandaran.Cem.,20190116,1655.00,1655.00,1600.00,1632.00,1144895138,701534,142,D,1579.00,1647.00
Mazandaran.Cem.,20190115,1580.00,1630.00,1500.00,1579.00,1978172381,1252807,186,D,1556.00,1629.00
Mazandaran.Cem.,20190114,1542.00,1580.00,1541.00,1556.00,1210811073,778030,107,D,1565.00,1580.00
Mazandaran.Cem.,20190113,1581.00,1618.00,1551.00,1565.00,877800436,561000,80,D,1607.00,1560.00
Mazandaran.Cem.,20190112,1635.00,1635.00,1580.00,1607.00,439363550,275387,56,D,1622.00,1580.00
Mazandaran.Cem.,20190109,1620.00,1635.00,1600.00,1622.00,1436585963,885590,115,D,1558.00,1625.00
Mazandaran.Cem.,20190108,1542.00,1582.00,1540.00,1558.00,621256112,397446,64,D,1536.00,1580.00
Mazandaran.Cem.,20190107,1540.00,1579.00,1524.00,1536.00,1406997433,916069,171,D,1548.00,1530.00
Mazandaran.Cem.,20190106,1663.00,1654.00,1535.00,1548.00,818858186,529143,71,D,1594.00,1549.00
Mazandaran.Cem.,20190105,1619.00,1665.00,1541.00,1594.00,365682836,232623,47,D,1613.00,1599.00
Mazandaran.Cem.,20190102,1680.00,1680.00,1596.00,1613.00,813473985,504201,93,D,1680.00,1598.00
Mazandaran.Cem.,20190101,1700.00,1709.00,1642.00,1680.00,826740701,492139,114,D,1678.00,1645.00
Mazandaran.Cem.,20181231,1641.00,1708.00,1629.00,1678.00,1978316773,1178889,223,D,1628.00,1681.00
Mazandaran.Cem.,20181230,1582.00,1634.00,1530.00,1628.00,2200650966,1351722,135,D,1557.00,1634.00
Mazandaran.Cem.,20181229,1550.00,1598.00,1500.00,1557.00,485410296,308391,86,D,1528.00,1582.00
Mazandaran.Cem.,20181226,1520.00,1560.00,1519.00,1528.00,416292261,271614,48,D,1522.00,1550.00
Mazandaran.Cem.,20181225,1519.00,1549.00,1493.00,1522.00,977456848,642192,82,D,1493.00,1532.00
Mazandaran.Cem.,20181224,1510.00,1528.00,1461.00,1493.00,437608060,294543,67,D,1504.00,1508.00
Mazandaran.Cem.,20181223,1438.00,1540.00,1438.00,1504.00,653505568,434545,86,D,1506.00,1494.00
Mazandaran.Cem.,20181222,1504.00,1580.00,1495.00,1506.00,894613424,594123,103,D,1573.00,1499.00
Mazandaran.Cem.,20181219,1668.00,1668.00,1542.00,1573.00,827565710,526151,114,D,1619.00,1549.00
Mazandaran.Cem.,20181218,1649.00,1649.00,1592.00,1619.00,651179858,404204,110,D,1658.00,1610.00
Mazandaran.Cem.,20181217,1643.00,1690.00,1620.00,1658.00,322450062,196865,83,D,1672.00,1649.00
Mazandaran.Cem.,20181216,1710.00,1729.00,1650.00,1672.00,432818620,259757,68,D,1679.00,1650.00
Mazandaran.Cem.,20181215,1621.00,1708.00,1621.00,1679.00,746107825,444082,131,D,1668.00,1695.00
Mazandaran.Cem.,20181212,1700.00,1740.00,1650.00,1668.00,1797420372,1077554,164,D,1726.00,1693.00
Mazandaran.Cem.,20181211,1657.00,1775.00,1657.00,1726.00,964370708,558637,66,D,1735.00,1720.00
Mazandaran.Cem.,20181210,1770.00,1770.00,1710.00,1735.00,1486267330,856566,137,D,1781.00,1726.00
Mazandaran.Cem.,20181209,1829.00,1829.00,1751.00,1781.00,1125798154,632235,187,D,1790.00,1769.00
Mazandaran.Cem.,20181208,1830.00,1839.00,1772.00,1790.00,998593041,557923,127,D,1784.00,1810.00
Mazandaran.Cem.,20181205,1767.00,1840.00,1761.00,1784.00,966713126,541820,104,D,1813.00,1795.00
Mazandaran.Cem.,20181204,1890.00,1899.00,1780.00,1813.00,1528819226,843177,117,D,1859.00,1800.00
Mazandaran.Cem.,20181203,1813.00,1900.00,1813.00,1859.00,819168927,439713,59,D,1822.00,1861.00
Mazandaran.Cem.,20181202,1840.00,1900.00,1800.00,1822.00,1366186621,749711,143,D,1893.00,1820.00
Mazandaran.Cem.,20181201,1970.00,1970.00,1857.00,1893.00,588880840,316756,85,D,1954.00,1857.00
Mazandaran.Cem.,20181128,1924.00,1960.00,1891.00,1954.00,384595754,201331,45,D,1984.00,1910.00
Mazandaran.Cem.,20181127,2009.00,2068.00,1878.00,1984.00,902753782,454983,102,D,1976.00,1955.00
Mazandaran.Cem.,20181126,1969.00,2010.00,1940.00,1976.00,1482701413,750208,117,D,1949.00,1996.00
Mazandaran.Cem.,20181124,1932.00,1954.00,1929.00,1949.00,1301541945,667660,104,D,1861.00,1954.00
Mazandaran.Cem.,20181121,1821.00,1930.00,1821.00,1861.00,1273091077,684009,95,D,1877.00,1899.00
Mazandaran.Cem.,20181120,1957.00,1957.00,1831.00,1877.00,698588593,374077,76,D,1908.00,1891.00
Mazandaran.Cem.,20181119,1994.00,1994.00,1847.00,1908.00,481222083,252605,56,D,1911.00,1860.00
Mazandaran.Cem.,20181118,1971.00,1971.00,1905.00,1911.00,1608021620,841422,126,D,2005.00,1905.00
Mazandaran.Cem.,20181117,2062.00,2062.00,1951.00,2005.00,773411318,387772,171,D,2043.00,2000.00
Mazandaran.Cem.,20181114,2115.00,2115.00,1952.00,2043.00,590066607,288763,77,D,2043.00,2070.00
Mazandaran.Cem.,20181113,2055.00,2056.00,2000.00,2043.00,1967003663,962631,151,D,1959.00,2056.00
Mazandaran.Cem.,20181112,1913.00,2020.00,1853.00,1959.00,1070144330,546379,123,D,1950.00,2020.00
Mazandaran.Cem.,20181111,1924.00,1990.00,1905.00,1950.00,737445301,380374,99,D,1989.00,1952.00
Mazandaran.Cem.,20181110,2040.00,2040.00,1952.00,1989.00,711715271,357988,96,D,1991.00,2009.00
