<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mellat.Insur.,20190227,2340.00,2342.00,2250.00,2336.00,33747868248,14445729,849,D,2231.00,2342.00
Mellat.Insur.,20190226,2231.00,2327.00,2223.00,2231.00,14205168509,6366770,203,D,2340.00,2298.00
Mellat.Insur.,20190225,2250.00,2400.00,2250.00,2340.00,2646880062,1131269,137,D,2328.00,2300.00
Mellat.Insur.,20190224,2400.00,2400.00,2287.00,2328.00,5388302532,2314443,294,D,2407.00,2389.00
Mellat.Insur.,20190223,2410.00,2410.00,2305.00,2407.00,12010964338,4990356,395,D,2296.00,2400.00
Mellat.Insur.,20190220,2296.00,2296.00,2296.00,2296.00,15325329320,6674795,281,D,2187.00,2296.00
Mellat.Insur.,20190219,2122.00,2228.00,2062.00,2187.00,9234341275,4222536,286,D,2122.00,2228.00
Mellat.Insur.,20190218,2061.00,2140.00,2061.00,2122.00,322391052,152331,32,D,2123.00,2116.00
Mellat.Insur.,20190217,2157.00,2160.00,2052.00,2123.00,1239006022,584791,62,D,2127.00,2070.00
Mellat.Insur.,20190216,2157.00,2170.00,2082.00,2127.00,935079459,440427,74,D,2130.00,2090.00
Mellat.Insur.,20190213,2090.00,2169.00,2061.00,2130.00,1237559311,581794,96,D,2132.00,2159.00
Mellat.Insur.,20190212,2197.00,2197.00,2100.00,2132.00,1201847249,562031,113,D,2126.00,2140.00
Mellat.Insur.,20190210,2123.00,2200.00,2051.00,2126.00,1312137485,617176,113,D,2126.00,2115.00
Mellat.Insur.,20190206,2071.00,2179.00,2071.00,2126.00,5439440979,2558300,243,D,2179.00,2111.00
Mellat.Insur.,20190205,2121.00,2220.00,2015.00,2179.00,15433368823,7081768,678,D,2121.00,2015.00
Mellat.Insur.,20190204,2230.00,2231.00,2104.00,2121.00,3943740107,1859373,227,D,2214.00,2146.00
Mellat.Insur.,20190203,2129.00,2250.00,2129.00,2214.00,1556256198,702499,91,D,2213.00,2250.00
Mellat.Insur.,20190202,2209.00,2280.00,2118.00,2213.00,1271509199,578717,134,D,2229.00,2150.00
Mellat.Insur.,20190130,2143.00,2217.00,2143.00,2229.00,789519721,363358,144,D,2255.00,2195.00
Mellat.Insur.,20190129,2226.00,2288.00,2186.00,2255.00,1108922667,503647,87,D,2298.00,2193.00
Mellat.Insur.,20190128,2332.00,2334.00,2300.00,2298.00,54059225,23351,17,D,2298.00,2308.00
Mellat.Insur.,20190127,2366.00,2366.00,2250.00,2298.00,1047748770,455239,90,D,2295.00,2251.00
Mellat.Insur.,20190126,2389.00,2389.00,2301.00,2295.00,360716317,154504,39,D,2289.00,2320.00
Mellat.Insur.,20190123,2231.00,2320.00,2231.00,2289.00,1170190323,515092,106,D,2303.00,2272.00
Mellat.Insur.,20190122,2212.00,2406.00,2210.00,2303.00,1177136191,508098,64,D,2292.00,2263.00
Mellat.Insur.,20190121,2339.00,2339.00,2204.00,2292.00,725904150,326376,57,D,2319.00,2225.00
Mellat.Insur.,20190120,2363.00,2363.00,2300.00,2319.00,614118715,266173,63,D,2323.00,2339.00
Mellat.Insur.,20190119,2362.00,2429.00,2296.00,2323.00,3867044701,1664324,355,D,2416.00,2359.00
Mellat.Insur.,20190116,2432.00,2550.00,2394.00,2416.00,4891636636,2024630,331,D,2519.00,2394.00
Mellat.Insur.,20190115,2456.00,2588.00,2456.00,2519.00,1092027473,429160,82,D,2504.00,2500.00
Mellat.Insur.,20190114,2488.00,2550.00,2388.00,2504.00,2945873814,1176560,122,D,2474.00,2545.00
Mellat.Insur.,20190113,2497.00,2517.00,2439.00,2474.00,2167676476,885633,136,D,2567.00,2440.00
Mellat.Insur.,20190112,2602.00,2602.00,2479.00,2567.00,1232135846,490615,91,D,2609.00,2482.00
Mellat.Insur.,20190109,2649.00,2657.00,2525.00,2609.00,1784367328,680211,133,D,2587.00,2525.00
Mellat.Insur.,20190108,2585.00,2599.00,2566.00,2587.00,10400731248,4020442,342,D,2496.00,2596.00
Mellat.Insur.,20190107,2406.00,2526.00,2330.00,2496.00,6873971699,2754495,283,D,2406.00,2526.00
Mellat.Insur.,20190106,2447.00,2447.00,2340.00,2406.00,1613707353,669491,65,D,2400.00,2400.00
Mellat.Insur.,20190105,2301.00,2350.00,2301.00,2400.00,424313282,181596,44,D,2412.00,2350.00
Mellat.Insur.,20190102,2400.00,2400.00,2326.00,2412.00,592920362,252474,43,D,2430.00,2329.00
Mellat.Insur.,20190101,2354.00,2414.00,2340.00,2430.00,799781576,336524,87,D,2452.00,2400.00
Mellat.Insur.,20181231,2403.00,2407.00,2358.00,2452.00,149736210,62850,26,D,2456.00,2377.00
