<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mobarakeh.Steel,20190227,3265.00,3265.00,3260.00,3262.00,130500000000,40000000,4,D,3275.00,3260.00
Mobarakeh.Steel,20190225,3272.00,3272.00,3272.00,3272.00,49080000000,15000000,1,D,3245.00,3272.00
Mobarakeh.Steel,20190203,4986.00,4986.00,4986.00,4986.00,93243205944,18701004,2,D,4863.00,4986.00
Mobarakeh.Steel,20190128,4972.00,4972.00,4972.00,4972.00,49918880000,10040000,1,D,4800.00,4972.00
Mobarakeh.Steel,20190127,4969.00,4969.00,4969.00,4969.00,149467520000,30080000,3,D,4930.00,4969.00
Mobarakeh.Steel,20190122,4962.00,4962.00,4768.00,4793.00,594534480000,124040000,3,D,4969.00,4768.00
Mobarakeh.Steel,20190121,4955.00,4955.00,4955.00,4955.00,372814200000,75240000,8,D,5033.00,4955.00
Mobarakeh.Steel,20190120,4952.00,4952.00,4952.00,4952.00,248838000000,50250000,5,D,5105.00,4952.00
Mobarakeh.Steel,20190116,5108.00,5108.00,5108.00,5108.00,2554000000000,500000000,1,D,5108.00,5108.00
Mobarakeh.Steel,20190114,5020.00,5020.00,5020.00,5020.00,20080000000,4000000,1,D,4977.00,5020.00
Mobarakeh.Steel,20190108,4850.00,4850.00,4850.00,4850.00,24250000000,5000000,1,D,4802.00,4850.00
Mobarakeh.Steel,20190106,4530.00,4530.00,4530.00,4530.00,90600000000,20000000,1,D,4704.00,4530.00
Mobarakeh.Steel,20190102,4650.00,4650.00,4650.00,4650.00,502200000000,108000000,1,D,4812.00,4650.00
Mobarakeh.Steel,20181231,4929.00,4929.00,4929.00,4929.00,49290000000,10000000,1,D,4929.00,4929.00
Mobarakeh.Steel,20181230,4877.00,4877.00,4877.00,4877.00,3316360000000,680000000,10,D,4877.00,4877.00
Mobarakeh.Steel,20181229,4805.00,4805.00,4805.00,4805.00,34596000000,7200000,1,D,4805.00,4805.00
Mobarakeh.Steel,20181226,4790.00,4790.00,4790.00,4790.00,47900000000,10000000,1,D,4742.00,4790.00
Mobarakeh.Steel,20181225,4700.00,4700.00,4700.00,4700.00,23500000000,5000000,1,D,4806.00,4700.00
Mobarakeh.Steel,20181224,4747.00,4747.00,4747.00,4747.00,1601787928622,337431626,4,D,4747.00,4747.00
Mobarakeh.Steel,20181209,5135.00,5135.00,5135.00,5135.00,20540000000,4000000,1,D,5213.00,5135.00
Mobarakeh.Steel,20181202,4875.00,4875.00,4875.00,4875.00,97500000000,20000000,2,D,4875.00,4875.00
Mobarakeh.Steel,20181113,5756.00,5760.00,5756.00,5758.00,51820000000,9000000,2,D,5756.00,5760.00
Mobarakeh.Steel,20181105,5878.00,5878.00,5878.00,5878.00,23512000000,4000000,1,D,5878.00,5878.00
Mobarakeh.Steel,20181016,6250.00,6250.00,6250.00,6250.00,312500000000,50000000,1,D,6206.00,6250.00
Mobarakeh.Steel,20181010,6141.00,6141.00,6141.00,6141.00,229794033804,37419644,1,D,6141.00,6141.00
Mobarakeh.Steel,20180922,5184.00,5184.00,5184.00,5184.00,103680000000,20000000,1,D,5184.00,5184.00
Mobarakeh.Steel,20180918,5210.00,5210.00,5210.00,5210.00,104200000000,20000000,2,D,5240.00,5210.00
Mobarakeh.Steel,20180917,5300.00,5300.00,5300.00,5300.00,53000000000,10000000,1,D,5206.00,5300.00
Mobarakeh.Steel,20180909,4700.00,4700.00,4700.00,4700.00,37600000000,8000000,1,D,4656.00,4700.00
Mobarakeh.Steel,20180819,4476.00,4476.00,4476.00,4476.00,895200000000,200000000,2,D,4522.00,4476.00
Mobarakeh.Steel,20180815,4520.00,4520.00,4520.00,4520.00,29999240000,6637000,1,D,4645.00,4520.00
Mobarakeh.Steel,20180813,4531.00,4531.00,4531.00,4531.00,20616050000,4550000,1,D,4672.00,4531.00
Mobarakeh.Steel,20180812,4623.00,4623.00,4623.00,4623.00,3120525000000,675000000,9,D,4623.00,4623.00
Mobarakeh.Steel,20180724,3620.00,3620.00,3570.00,3579.00,167510757520,46809736,3,D,3629.00,3570.00
Mobarakeh.Steel,20180723,3636.00,3636.00,3636.00,3636.00,36360000000,10000000,1,D,3540.00,3636.00
Mobarakeh.Steel,20180715,3700.00,3700.00,3700.00,3700.00,18500000000,5000000,1,D,3836.00,3700.00
Mobarakeh.Steel,20180707,4335.00,4335.00,4335.00,4335.00,56355000000,13000000,1,D,4129.00,4335.00
Mobarakeh.Steel,20180625,4210.00,4210.00,4210.00,4210.00,42100000000,10000000,1,D,4084.00,4210.00
Mobarakeh.Steel,20180624,4000.00,4000.00,4000.00,4000.00,40000000000,10000000,1,D,3901.00,4000.00
Mobarakeh.Steel,20180623,3900.00,3900.00,3900.00,3900.00,39000000000,10000000,1,D,3916.00,3900.00
Mobarakeh.Steel,20180620,3850.00,3850.00,3850.00,3850.00,77000000000,20000000,1,D,3835.00,3850.00
Mobarakeh.Steel,20180612,3200.00,3200.00,3200.00,3200.00,22400000000,7000000,1,D,3182.00,3200.00
Mobarakeh.Steel,20180603,3240.00,3240.00,3240.00,3240.00,32400000000,10000000,1,D,3191.00,3240.00
