<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mobin.Petr.,20190227,6970.00,6977.00,6708.00,6885.00,9430477134,1369253,277,D,6861.00,6889.00
Mobin.Petr.,20190226,6920.00,6989.00,6707.00,6861.00,21353288868,3112494,436,D,7002.00,6899.00
Mobin.Petr.,20190225,6916.00,7098.00,6912.00,7002.00,39819216040,5686760,387,D,6900.00,7042.00
Mobin.Petr.,20190224,6988.00,7096.00,6600.00,6900.00,29090478634,4215797,672,D,6901.00,7096.00
Mobin.Petr.,20190223,6714.00,6942.00,6713.00,6901.00,28509801641,4131135,560,D,6612.00,6915.00
Mobin.Petr.,20190220,6601.00,6699.00,6530.00,6612.00,60225392742,9108738,564,D,6607.00,6615.00
Mobin.Petr.,20190219,6744.00,6744.00,6422.00,6607.00,25301001031,3829193,572,D,6687.00,6610.00
Mobin.Petr.,20190218,6769.00,6769.00,6650.00,6687.00,13197422182,1973669,425,D,6759.00,6680.00
Mobin.Petr.,20190217,6894.00,6894.00,6677.00,6759.00,10631898980,1573078,345,D,6829.00,6758.00
Mobin.Petr.,20190216,6950.00,7055.00,6680.00,6829.00,17703691401,2592518,334,D,7028.00,6870.00
Mobin.Petr.,20190213,7070.00,7200.00,6920.00,7028.00,30743203794,4374126,423,D,6985.00,6997.00
Mobin.Petr.,20190212,7098.00,7106.00,6901.00,6985.00,26001853446,3722279,289,D,6981.00,7000.00
Mobin.Petr.,20190210,7053.00,7120.00,6850.00,6981.00,12215231326,1749683,222,D,7016.00,7070.00
Mobin.Petr.,20190206,7050.00,7050.00,6975.00,7016.00,9211667985,1313495,206,D,7041.00,7027.00
Mobin.Petr.,20190205,6930.00,7197.00,6900.00,7041.00,17514173021,2487329,805,D,6918.00,7020.00
Mobin.Petr.,20190204,6800.00,6999.00,6704.00,6918.00,15501739559,2240835,364,D,6788.00,6900.00
Mobin.Petr.,20190203,6894.00,6894.00,6652.00,6788.00,4281355368,636925,184,D,6840.00,6720.00
Mobin.Petr.,20190202,6850.00,6999.00,6629.00,6840.00,10608064590,1550997,351,D,6882.00,6650.00
Mobin.Petr.,20190130,6920.00,6920.00,6835.00,6882.00,24142445465,3507875,453,D,7004.00,6860.00
Mobin.Petr.,20190129,7010.00,7080.00,6951.00,7004.00,19330840820,2759858,437,D,7069.00,6990.00
Mobin.Petr.,20190128,7100.00,7298.00,7000.00,7069.00,12282426665,1737523,340,D,7156.00,7050.00
Mobin.Petr.,20190127,7193.00,7264.00,7001.00,7156.00,14863693922,2077139,340,D,7193.00,7001.00
Mobin.Petr.,20190126,7199.00,7250.00,7000.00,7193.00,34894153969,4850846,389,D,7212.00,7151.00
Mobin.Petr.,20190123,7240.00,7290.00,7150.00,7212.00,6756003794,938798,347,D,7247.00,7150.00
Mobin.Petr.,20190122,7289.00,7400.00,7180.00,7247.00,5668108213,779958,285,D,7220.00,7200.00
Mobin.Petr.,20190121,7488.00,7488.00,7161.00,7220.00,12428195744,1721433,418,D,7430.00,7189.00
Mobin.Petr.,20190120,7680.00,7700.00,7365.00,7430.00,26413751337,3555017,553,D,7481.00,7373.00
Mobin.Petr.,20190119,7350.00,7540.00,7350.00,7481.00,38883961284,5197441,615,D,7429.00,7500.00
Mobin.Petr.,20190116,7478.00,7600.00,7300.00,7429.00,11899005157,1601601,440,D,7493.00,7300.00
Mobin.Petr.,20190115,7600.00,7600.00,7400.00,7493.00,29812385326,3978451,393,D,7493.00,7478.00
Mobin.Petr.,20190114,7502.00,7503.00,7431.00,7493.00,9981591694,1332205,537,D,7621.00,7498.00
Mobin.Petr.,20190113,7650.00,7690.00,7520.00,7621.00,8931239963,1172094,219,D,7629.00,7600.00
Mobin.Petr.,20190112,7690.00,7700.00,7430.00,7629.00,33364941988,4373402,760,D,7817.00,7690.00
Mobin.Petr.,20190109,8150.00,8150.00,7743.00,7817.00,84515093413,10811774,926,D,8154.00,7743.00
Mobin.Petr.,20190102,8157.00,8200.00,8012.00,8154.00,26211910469,3214685,498,D,8157.00,8180.00
Mobin.Petr.,20190101,8197.00,8197.00,8110.00,8157.00,23600441836,2893294,319,D,8162.00,8180.00
Mobin.Petr.,20181231,8060.00,8195.00,7705.00,8162.00,10570745811,1295054,375,D,8097.00,8170.00
Mobin.Petr.,20181230,8140.00,8214.00,8046.00,8097.00,39894896526,4927092,490,D,8097.00,8100.00
Mobin.Petr.,20181229,7999.00,8190.00,7900.00,8097.00,19645643676,2426315,524,D,7823.00,8140.00
