<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Neiriz.Cement,20190227,15600.00,15906.00,15600.00,15871.00,738548305,46533,65,D,15149.00,15906.00
Neiriz.Cement,20190226,14500.00,15301.00,14500.00,15149.00,46943500,3104,7,D,15152.00,15301.00
Neiriz.Cement,20190225,14550.00,15279.00,14550.00,15152.00,617755598,40771,43,D,14552.00,15279.00
Neiriz.Cement,20190224,14601.00,15200.00,14601.00,14552.00,121888000,8310,13,D,14515.00,14610.00
Neiriz.Cement,20190223,14571.00,15000.00,13845.00,14515.00,52477101,3734,10,D,14571.00,14011.00
Neiriz.Cement,20190220,14006.00,14999.00,14006.00,14571.00,128920468,9068,14,D,14706.00,14999.00
Neiriz.Cement,20190218,14600.00,15320.00,14600.00,14706.00,67507220,4508,9,D,14663.00,15302.00
Neiriz.Cement,20190217,14101.00,14109.00,14101.00,14663.00,81503319,5779,4,D,14783.00,14103.00
Neiriz.Cement,20190216,14498.00,14524.00,14497.00,14783.00,296815338,20473,10,D,15258.00,14524.00
Neiriz.Cement,20190213,15350.00,15350.00,15000.00,15258.00,104037930,6847,10,D,15273.00,15000.00
Neiriz.Cement,20190212,15789.00,15789.00,15450.00,15273.00,215891280,13811,27,D,15038.00,15600.00
Neiriz.Cement,20190210,15038.00,15038.00,15038.00,15038.00,560421146,37267,36,D,14322.00,15038.00
Neiriz.Cement,20190206,14489.00,14489.00,14300.00,14322.00,279472724,19376,19,D,14173.00,14300.00
Neiriz.Cement,20190205,14770.00,14770.00,14035.00,14173.00,389146347,27665,14,D,14770.00,14035.00
Neiriz.Cement,20190203,14248.00,14250.00,14248.00,14770.00,140378600,9852,10,D,14996.00,14250.00
Neiriz.Cement,20190202,14602.00,14602.00,14601.00,14996.00,219016000,15000,6,D,15333.00,14601.00
Neiriz.Cement,20190130,15190.00,15404.00,15190.00,15333.00,1612102651,105141,34,D,14671.00,15404.00
Neiriz.Cement,20190129,14670.00,15299.00,14669.00,14671.00,618525771,42161,12,D,15441.00,15299.00
Neiriz.Cement,20190128,15800.00,15800.00,15300.00,15441.00,23950400,1518,6,D,15424.00,15300.00
Neiriz.Cement,20190127,14848.00,14866.00,14848.00,15424.00,124353834,8372,6,D,15629.00,14866.00
Neiriz.Cement,20190126,16000.00,16000.00,14982.00,15629.00,88003615,5862,12,D,15769.00,15001.00
Neiriz.Cement,20190123,15640.00,16100.00,15640.00,15769.00,224136444,14063,13,D,15640.00,15800.00
Neiriz.Cement,20190122,14710.00,16258.00,14710.00,15640.00,1018545775,65123,32,D,15484.00,15980.00
Neiriz.Cement,20190121,14754.00,14754.00,14754.00,15484.00,28608006,1939,5,D,15530.00,14754.00
Neiriz.Cement,20190120,15400.00,15690.00,15181.00,15530.00,407204151,26400,21,D,15979.00,15181.00
Neiriz.Cement,20190119,16098.00,16098.00,15400.00,15979.00,707724079,44292,33,D,15333.00,15400.00
Neiriz.Cement,20190116,14937.00,15393.00,14937.00,15333.00,1176211226,76711,35,D,14660.00,15393.00
Neiriz.Cement,20190115,15150.00,15150.00,14600.00,14660.00,116350100,7828,17,D,14607.00,15096.00
Neiriz.Cement,20190114,14739.00,14739.00,14500.00,14607.00,460441727,31274,57,D,14038.00,14738.00
Neiriz.Cement,20190113,14024.00,14038.00,14024.00,14038.00,797425800,56806,24,D,13370.00,14038.00
Neiriz.Cement,20190112,13006.00,13936.00,13006.00,13370.00,116713955,8519,34,D,13274.00,13934.00
Neiriz.Cement,20190109,13001.00,13010.00,13001.00,13274.00,128104880,9850,13,D,13374.00,13006.00
Neiriz.Cement,20190107,12985.00,13120.00,12985.00,13374.00,180608974,13891,23,D,13603.00,12990.00
Neiriz.Cement,20190106,14280.00,14280.00,13190.00,13603.00,5063524,371,5,D,13603.00,13190.00
Neiriz.Cement,20190105,13180.00,13180.00,13170.00,13603.00,113637760,8628,5,D,13737.00,13170.00
Neiriz.Cement,20190102,14000.00,14000.00,13397.00,13737.00,266747975,19760,30,D,14102.00,13800.00
Neiriz.Cement,20190101,14101.00,14300.00,13901.00,14102.00,95784870,6793,14,D,14103.00,13901.00
Neiriz.Cement,20181231,14540.00,14556.00,14056.00,14103.00,716586192,50811,35,D,14795.00,14081.00
Neiriz.Cement,20181230,14338.00,15000.00,14337.00,14795.00,208402000,14448,8,D,15091.00,14500.00
Neiriz.Cement,20181229,15800.00,15800.00,14793.00,15091.00,232830949,15713,18,D,15345.00,14793.00
Neiriz.Cement,20181226,15500.00,15811.00,14900.00,15345.00,119607188,7995,7,D,15461.00,14900.00
Neiriz.Cement,20181225,15719.00,16000.00,14794.00,15461.00,89211223,5972,13,D,15571.00,15898.00
Neiriz.Cement,20181224,15500.00,15719.00,15500.00,15571.00,434423020,27640,27,D,14972.00,15719.00
Neiriz.Cement,20181223,13800.00,15142.00,13800.00,14972.00,891913030,59571,25,D,14421.00,15142.00
Neiriz.Cement,20181222,14800.00,14800.00,13818.00,14421.00,117347812,8357,16,D,14543.00,13900.00
Neiriz.Cement,20181219,14800.00,15000.00,14000.00,14543.00,97555119,6595,26,D,14475.00,14002.00
Neiriz.Cement,20181218,14001.00,14600.00,13950.00,14475.00,122629336,8771,17,D,14673.00,13950.00
Neiriz.Cement,20181217,14751.00,15647.00,14618.00,14673.00,794372559,54140,55,D,15387.00,15000.00
Neiriz.Cement,20181216,15015.00,16200.00,14900.00,15387.00,651722203,42355,37,D,15636.00,15200.00
Neiriz.Cement,20181215,16799.00,16890.00,15518.00,15636.00,980977950,62740,57,D,16334.00,15518.00
