<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
NiroCholor,20190227,5700.00,5893.00,5700.00,5878.00,9358165623,1592075,335,D,5613.00,5893.00
NiroCholor,20190226,5710.00,5749.00,5523.00,5613.00,4502046309,802098,212,D,5813.00,5720.00
NiroCholor,20190225,5901.00,5901.00,5730.00,5813.00,4479990801,770743,247,D,5901.00,5730.00
NiroCholor,20190224,5846.00,5999.00,5846.00,5901.00,3256654429,551850,155,D,5889.00,5899.00
NiroCholor,20190223,5917.00,5970.00,5822.00,5889.00,3501047035,594494,175,D,5802.00,5831.00
NiroCholor,20190220,5801.00,5880.00,5710.00,5802.00,2649466482,456624,134,D,5801.00,5870.00
NiroCholor,20190219,5770.00,5900.00,5700.00,5801.00,4421393978,762202,193,D,5820.00,5780.00
NiroCholor,20190218,5872.00,5998.00,5741.00,5820.00,3099258401,532487,234,D,5910.00,5811.00
NiroCholor,20190217,6000.00,6000.00,5876.00,5910.00,3698575251,625765,128,D,6014.00,5900.00
NiroCholor,20190216,6000.00,6097.00,5955.00,6014.00,1108117956,184072,88,D,5948.00,5992.00
NiroCholor,20190213,5900.00,6070.00,5867.00,5948.00,3240753024,544834,202,D,6076.00,5977.00
NiroCholor,20190212,6049.00,6145.00,5865.00,6076.00,12314106150,2026563,591,D,6037.00,6005.00
NiroCholor,20190210,6040.00,6150.00,5800.00,6037.00,4588731273,760043,156,D,5951.00,6001.00
NiroCholor,20190206,5991.00,6050.00,5851.00,5951.00,4415715690,742048,193,D,5987.00,5910.00
NiroCholor,20190205,6006.00,6149.00,5950.00,5987.00,5036424908,841201,249,D,6157.00,5979.00
NiroCholor,20190204,6166.00,6270.00,6082.00,6157.00,9488495604,1541050,333,D,6042.00,6100.00
NiroCholor,20190203,6140.00,6140.00,5801.00,6042.00,1761645007,291561,151,D,6089.00,6100.00
NiroCholor,20190202,5980.00,6166.00,5979.00,6089.00,7669453036,1259458,308,D,5914.00,6134.00
NiroCholor,20190130,5895.00,5979.00,5854.00,5914.00,3984635810,673752,174,D,5834.00,5900.00
NiroCholor,20190129,5900.00,5990.00,5750.00,5834.00,3732926704,639851,212,D,5817.00,5790.00
NiroCholor,20190128,6019.00,6019.00,5790.00,5817.00,3298871381,567130,128,D,5921.00,5800.00
NiroCholor,20190127,6075.00,6075.00,5760.00,5921.00,7911385208,1336245,278,D,5988.00,5851.00
NiroCholor,20190126,6285.00,6285.00,5900.00,5988.00,6240242512,1042096,336,D,6155.00,5908.00
NiroCholor,20190123,6220.00,6240.00,6100.00,6155.00,3638791483,591226,148,D,6134.00,6139.00
NiroCholor,20190122,5874.00,6248.00,5873.00,6134.00,4930911521,803928,203,D,5977.00,6222.00
NiroCholor,20190121,6077.00,6200.00,5930.00,5977.00,6912272386,1156472,244,D,6181.00,5950.00
NiroCholor,20190120,6569.00,6569.00,6141.00,6181.00,11611548300,1878669,360,D,6464.00,6141.00
NiroCholor,20190119,6500.00,6650.00,6324.00,6464.00,6311612416,976380,283,D,6513.00,6430.00
NiroCholor,20190116,6450.00,6601.00,6300.00,6513.00,28792457081,4420637,675,D,6287.00,6563.00
NiroCholor,20190115,6035.00,6361.00,5965.00,6287.00,19462031029,3095547,519,D,6059.00,6268.00
NiroCholor,20190114,6070.00,6197.00,6020.00,6059.00,7293289755,1203735,255,D,6117.00,6052.00
NiroCholor,20190113,6260.00,6260.00,6001.00,6117.00,18121690405,2962396,657,D,6094.00,6065.00
NiroCholor,20190112,6094.00,6094.00,6090.00,6094.00,14229697384,2335036,181,D,5804.00,6094.00
NiroCholor,20190109,5563.00,5851.00,5563.00,5804.00,17818449525,3070131,454,D,5573.00,5851.00
NiroCholor,20190108,5550.00,5649.00,5505.00,5573.00,2955897163,530360,151,D,5572.00,5578.00
NiroCholor,20190107,5600.00,5632.00,5510.00,5572.00,5004153236,898122,264,D,5640.00,5510.00
NiroCholor,20190106,5600.00,5696.00,5550.00,5640.00,5625199032,997337,235,D,5578.00,5660.00
NiroCholor,20190105,5465.00,5690.00,5465.00,5578.00,2374767905,425724,119,D,5544.00,5600.00
NiroCholor,20190102,5602.00,5602.00,5470.00,5544.00,5408780050,975602,235,D,5667.00,5470.00
NiroCholor,20190101,5723.00,5740.00,5602.00,5667.00,4816782632,849900,197,D,5757.00,5635.00
NiroCholor,20181231,5746.00,5877.00,5652.00,5757.00,4644731015,806751,208,D,5833.00,5745.00
NiroCholor,20181230,5803.00,5998.00,5703.00,5833.00,14212438226,2436748,553,D,5663.00,5799.00
NiroCholor,20181226,5403.00,5714.00,5403.00,5663.00,20698346972,3654930,549,D,5442.00,5714.00
NiroCholor,20181225,5449.00,5528.00,5413.00,5442.00,3914340969,719218,158,D,5460.00,5476.00
NiroCholor,20181224,5400.00,5539.00,5351.00,5460.00,8428190801,1543563,287,D,5515.00,5500.00
NiroCholor,20181223,5636.00,5636.00,5400.00,5515.00,11846438407,2147920,451,D,5478.00,5435.00
NiroCholor,20181222,5440.00,5488.00,5360.00,5478.00,15112949717,2758938,259,D,5227.00,5488.00
NiroCholor,20181219,5121.00,5298.00,5120.00,5227.00,4128914526,789888,140,D,5166.00,5290.00
NiroCholor,20181218,5080.00,5270.00,5080.00,5166.00,2695219294,521730,103,D,5176.00,5210.00
NiroCholor,20181217,5200.00,5250.00,5080.00,5176.00,3393598440,655643,164,D,5205.00,5170.00
NiroCholor,20181216,5325.00,5325.00,5150.00,5205.00,3534190977,679010,169,D,5362.00,5189.00
NiroCholor,20181215,5328.00,5489.00,5300.00,5362.00,6882734342,1283697,215,D,5271.00,5330.00
NiroCholor,20181212,5250.00,5369.00,5199.00,5271.00,2407243632,456730,156,D,5316.00,5305.00
NiroCholor,20181211,5400.00,5400.00,5222.00,5316.00,4883033100,918556,155,D,5414.00,5270.00
NiroCholor,20181210,5378.00,5549.00,5300.00,5414.00,7044545311,1301282,351,D,5328.00,5330.00
NiroCholor,20181209,5300.00,5450.00,5221.00,5328.00,6658847439,1249776,353,D,5225.00,5350.00
NiroCholor,20181208,5180.00,5275.00,5083.00,5225.00,20453625795,3914717,513,D,5078.00,5240.00
NiroCholor,20181205,5195.00,5195.00,5002.00,5078.00,3808146253,749929,201,D,5089.00,5090.00
