<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Niromohareke.M.,20190227,1652.00,1719.00,1650.00,1676.00,2742617808,1636872,220,D,1667.00,1699.00
Niromohareke.M.,20190226,1664.00,1714.00,1630.00,1667.00,2069464065,1241445,198,D,1686.00,1683.00
Niromohareke.M.,20190225,1743.00,1743.00,1665.00,1686.00,1795494355,1064687,186,D,1707.00,1665.00
Niromohareke.M.,20190224,1740.00,1750.00,1691.00,1707.00,1122570322,657661,96,D,1695.00,1694.00
Niromohareke.M.,20190223,1700.00,1740.00,1632.00,1695.00,181137438,105474,28,D,1683.00,1735.00
Niromohareke.M.,20190220,1671.00,1761.00,1655.00,1683.00,2209574957,1312628,219,D,1709.00,1719.00
Niromohareke.M.,20190219,1700.00,1789.00,1679.00,1709.00,927971133,542930,122,D,1732.00,1705.00
Niromohareke.M.,20190218,1844.00,1844.00,1705.00,1732.00,756997788,437173,139,D,1771.00,1706.00
Niromohareke.M.,20190217,1865.00,1865.00,1751.00,1771.00,942336749,532004,109,D,1831.00,1768.00
Niromohareke.M.,20190216,1860.00,1880.00,1790.00,1831.00,1564258723,854492,257,D,1808.00,1790.00
Niromohareke.M.,20190213,1768.00,1867.00,1710.00,1808.00,7469597506,4132467,575,D,1799.00,1840.00
Niromohareke.M.,20190212,1864.00,1864.00,1750.00,1799.00,2568552840,1427441,242,D,1826.00,1750.00
Niromohareke.M.,20190210,1795.00,1833.00,1721.00,1826.00,6605323462,3617025,445,D,1746.00,1833.00
Niromohareke.M.,20190206,1799.00,1799.00,1708.00,1746.00,3144916116,1800953,315,D,1777.00,1750.00
Niromohareke.M.,20190205,1726.00,1786.00,1720.00,1777.00,7532704215,4237847,495,D,1701.00,1760.00
Niromohareke.M.,20190204,1720.00,1740.00,1661.00,1701.00,3097121467,1820473,233,D,1678.00,1730.00
Niromohareke.M.,20190203,1670.00,1740.00,1656.00,1678.00,738140743,439822,93,D,1727.00,1660.00
Niromohareke.M.,20190202,1729.00,1765.00,1663.00,1727.00,1442975350,835412,135,D,1691.00,1680.00
Niromohareke.M.,20190130,1631.00,1711.00,1615.00,1691.00,5676595577,3357132,324,D,1630.00,1711.00
Niromohareke.M.,20190129,1621.00,1689.00,1611.00,1630.00,896165827,549811,98,D,1636.00,1623.00
Niromohareke.M.,20190128,1669.00,1700.00,1615.00,1636.00,1553755115,949601,124,D,1700.00,1631.00
Niromohareke.M.,20190127,1666.00,1727.00,1599.00,1700.00,3023422761,1778551,316,D,1649.00,1721.00
Niromohareke.M.,20190126,1770.00,1770.00,1620.00,1649.00,1612815913,977933,165,D,1705.00,1650.00
Niromohareke.M.,20190123,1699.00,1714.00,1661.00,1705.00,3527544265,2068389,236,D,1633.00,1714.00
Niromohareke.M.,20190122,1630.00,1699.00,1581.00,1633.00,3790579960,2321428,331,D,1664.00,1699.00
Niromohareke.M.,20190121,1749.00,1775.00,1662.00,1664.00,4040722154,2428326,248,D,1749.00,1662.00
Niromohareke.M.,20190120,1840.00,1844.00,1728.00,1749.00,1423997445,814222,179,D,1818.00,1728.00
Niromohareke.M.,20190119,1831.00,1860.00,1779.00,1818.00,1954566396,1074872,203,D,1796.00,1791.00
Niromohareke.M.,20190116,1800.00,1831.00,1751.00,1796.00,4594872974,2558864,287,D,1832.00,1817.00
Niromohareke.M.,20190115,1904.00,1904.00,1805.00,1832.00,5849873402,3192968,338,D,1900.00,1805.00
Niromohareke.M.,20190114,1872.00,1904.00,1801.00,1900.00,22283532415,11730196,858,D,1814.00,1858.00
Niromohareke.M.,20190113,1845.00,1871.00,1752.00,1814.00,7969778449,4393662,597,D,1836.00,1860.00
Niromohareke.M.,20190112,1866.00,1872.00,1750.00,1836.00,5685784512,3097149,531,D,1783.00,1798.00
Niromohareke.M.,20190109,1780.00,1822.00,1701.00,1783.00,6621649472,3714455,506,D,1736.00,1822.00
Niromohareke.M.,20190108,1736.00,1736.00,1716.00,1736.00,10772762064,6206349,520,D,1654.00,1736.00
Niromohareke.M.,20190107,1672.00,1672.00,1600.00,1654.00,6843268201,4137161,485,D,1593.00,1672.00
Niromohareke.M.,20190106,1593.00,1593.00,1593.00,1593.00,1332471222,836454,71,D,1518.00,1593.00
Niromohareke.M.,20190105,1465.00,1526.00,1445.00,1518.00,1747099099,1151298,115,D,1454.00,1526.00
Niromohareke.M.,20190102,1513.00,1513.00,1420.00,1454.00,434422304,299437,66,D,1473.00,1465.00
