<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ofogh.Koorosh,20190227,23499.00,23989.00,23250.00,23541.00,99495832290,4226504,11217,D,23395.00,23400.00
Ofogh.Koorosh,20190226,22970.00,23900.00,22500.00,23395.00,383685644787,16400513,22494,D,23039.00,23660.00
Ofogh.Koorosh,20190225,22650.00,23389.00,22374.00,23039.00,255619855360,11095263,54716,D,22276.00,23300.00
Ofogh.Koorosh,20190224,22000.00,22374.00,20244.00,22276.00,561654898968,25213944,80888,D,21309.00,22374.00
Ofogh.Koorosh,20190223,21480.00,21480.00,19571.00,21309.00,542677871272,25466789,128107,D,20601.00,21150.00
Ofogh.Koorosh,20190220,20601.00,20601.00,20601.00,20601.00,132937655571,6452971,11422,D,19620.00,20601.00
Ofogh.Koorosh,20190219,19620.00,19620.00,19620.00,19620.00,137808819900,7023895,6216,D,18686.00,19620.00
Ofogh.Koorosh,20190218,18686.00,18686.00,18686.00,18686.00,178735439316,9565206,1677,D,17797.00,18686.00
Ofogh.Koorosh,20190217,17797.00,17797.00,17797.00,17797.00,18670369978,1049074,499,D,16950.00,17797.00
Ofogh.Koorosh,20190216,16950.00,16950.00,16950.00,16950.00,1069315717350,63086473,386816,D,1000.00,16950.00
