<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Omid.Inv..Mng.,20190227,4267.00,4403.00,4267.00,4394.00,4649548020,1057438,161,D,4391.00,4400.00
Omid.Inv..Mng.,20190226,4270.00,4400.00,4184.00,4391.00,2902980248,666557,81,D,4404.00,4400.00
Omid.Inv..Mng.,20190225,4445.00,4450.00,4350.00,4404.00,16966861913,3852601,239,D,4391.00,4402.00
Omid.Inv..Mng.,20190224,4362.00,4501.00,4300.00,4391.00,35838979530,8161559,542,D,4319.00,4450.00
Omid.Inv..Mng.,20190223,4103.00,4354.00,4100.00,4319.00,86392654698,20003842,743,D,4147.00,4354.00
Omid.Inv..Mng.,20190220,4225.00,4225.00,4117.00,4147.00,9028960851,2177166,154,D,4142.00,4127.00
Omid.Inv..Mng.,20190219,4026.00,4288.00,4026.00,4142.00,5855950733,1408658,159,D,4120.00,4100.00
Omid.Inv..Mng.,20190218,4145.00,4200.00,4018.00,4120.00,3423564485,828779,71,D,4114.00,4100.00
Omid.Inv..Mng.,20190217,4026.00,4100.00,4008.00,4114.00,3416296270,846165,64,D,4156.00,4020.00
Omid.Inv..Mng.,20190216,4155.00,4199.00,4010.00,4156.00,2527251326,619760,90,D,4183.00,4023.00
Omid.Inv..Mng.,20190213,4124.00,4150.00,4110.00,4183.00,2165233927,524704,52,D,4199.00,4112.00
Omid.Inv..Mng.,20190212,4200.00,4200.00,4124.00,4199.00,1357043069,327034,41,D,4207.00,4125.00
Omid.Inv..Mng.,20190210,4242.00,4300.00,4101.00,4207.00,5836212917,1386454,100,D,4203.00,4186.00
Omid.Inv..Mng.,20190206,4240.00,4260.00,4110.00,4203.00,4165635641,982955,90,D,4178.00,4160.00
Omid.Inv..Mng.,20190205,4150.00,4200.00,4091.00,4178.00,12347803781,2955394,141,D,4191.00,4200.00
Omid.Inv..Mng.,20190204,4148.00,4240.00,4093.00,4191.00,7416113316,1770416,188,D,4196.00,4093.00
Omid.Inv..Mng.,20190203,4081.00,4339.00,4081.00,4196.00,11211714589,2671683,222,D,4187.00,4090.00
Omid.Inv..Mng.,20190202,4250.00,4262.00,4090.00,4187.00,7420255029,1778288,125,D,4231.00,4150.00
Omid.Inv..Mng.,20190130,4221.00,4221.00,4124.00,4231.00,4369619508,1047922,133,D,4285.00,4200.00
Omid.Inv..Mng.,20190129,4183.00,4390.00,4183.00,4285.00,3947926183,921844,92,D,4287.00,4221.00
Omid.Inv..Mng.,20190128,4201.00,4448.00,4193.00,4287.00,15138553370,3530887,238,D,4355.00,4193.00
Omid.Inv..Mng.,20190127,4313.00,4390.00,4300.00,4355.00,7597256561,1753508,143,D,4433.00,4300.00
Omid.Inv..Mng.,20190126,4514.00,4520.00,4378.00,4433.00,6264869165,1414297,111,D,4439.00,4380.00
