<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
P..Animal.Feed,20190227,11509.00,11509.00,11509.00,11044.00,86432590,7510,9,D,10961.00,11509.00
P..Animal.Feed,20190226,11211.00,11211.00,11211.00,10961.00,294770823,26293,9,D,10678.00,11211.00
P..Animal.Feed,20190225,10927.00,10927.00,10927.00,10678.00,281982162,25806,7,D,10407.00,10927.00
P..Animal.Feed,20190224,10691.00,10691.00,10691.00,10407.00,234549849,21939,10,D,10182.00,10691.00
P..Animal.Feed,20190223,10598.00,10598.00,10598.00,10182.00,91715092,8654,9,D,10094.00,10598.00
P..Animal.Feed,20190220,10337.00,10337.00,10337.00,10094.00,314968390,30470,13,D,9845.00,10337.00
P..Animal.Feed,20190219,10013.00,10013.00,10013.00,9845.00,390016363,38951,7,D,9537.00,10013.00
P..Animal.Feed,20190218,9547.00,9547.00,9121.00,9537.00,1106973744,116070,60,D,9093.00,9547.00
P..Animal.Feed,20190217,9093.00,9093.00,9093.00,9093.00,858497409,94413,24,D,8660.00,9093.00
P..Animal.Feed,20190216,8719.00,8719.00,8718.00,8660.00,450492292,51668,36,D,8304.00,8719.00
P..Animal.Feed,20190213,8498.00,8498.00,7700.00,8304.00,334943723,39753,48,D,8094.00,8498.00
P..Animal.Feed,20190212,8395.00,8395.00,8395.00,8094.00,129669170,15446,8,D,7996.00,8395.00
P..Animal.Feed,20190210,8345.00,8345.00,8345.00,7996.00,63113235,7563,4,D,7948.00,8345.00
P..Animal.Feed,20190206,8335.00,8335.00,8335.00,7948.00,12785890,1534,3,D,7939.00,8335.00
P..Animal.Feed,20190205,8298.00,8298.00,8298.00,7939.00,49074372,5914,5,D,7903.00,8298.00
P..Animal.Feed,20190204,8290.00,8290.00,8290.00,7903.00,9243350,1115,2,D,7896.00,8290.00
P..Animal.Feed,20190203,8229.00,8229.00,8229.00,7896.00,79862445,9705,5,D,7838.00,8229.00
P..Animal.Feed,20190202,8081.00,8081.00,7951.00,7838.00,197673878,24495,33,D,7697.00,8081.00
P..Animal.Feed,20190130,7931.00,7931.00,7931.00,7697.00,209830467,26457,19,D,7554.00,7931.00
P..Animal.Feed,20190129,7905.00,7905.00,7905.00,7554.00,37430175,4735,7,D,7529.00,7905.00
P..Animal.Feed,20190128,7870.00,7870.00,7870.00,7529.00,48455590,6157,3,D,7496.00,7870.00
P..Animal.Feed,20190127,7298.00,7507.00,7298.00,7496.00,1673922318,223316,92,D,7150.00,7507.00
P..Animal.Feed,20190126,6802.00,7201.00,6802.00,7150.00,100789153,14137,19,D,7155.00,7200.00
